file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\NetworkTrainer.java,func.nn.NetworkTrainer,class,4,6,2,4,4,1,2,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,34,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\test\NNClassificationTest.java,func.test.NNClassificationTest,class,12,12,0,12,3,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,3,19,9,1,8,1,0,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\shared\reader\DataSetLabelBinarySeperator.java,shared.reader.DataSetLabelBinarySeperator,class,3,5,2,3,9,1,0,11,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,38,2,4,1,0,0,0,12,17,3,12,2,0,0,0,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,class,5,8,3,5,8,1,0,6,0,0.35000002,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,36,4,2,0,0,0,6,4,12,4,8,1,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\shared\MixedDistanceMeasure.java,shared.MixedDistanceMeasure,class,3,3,0,3,5,2,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,20,1,1,2,0,2,0,3,5,3,3,3,0,0,0,27,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\backprop\BackPropagationLayer.java,func.nn.backprop.BackPropagationLayer,class,5,8,3,5,8,3,1,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,3,0,4,5,0,5,1,0,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\dist\DiscretePermutationDistribution.java,dist.DiscretePermutationDistribution,class,6,10,4,6,6,2,0,3,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,2,26,4,1,0,0,0,0,3,6,2,4,1,0,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\dist\test\HMMConditionalMonsterTest.java,dist.test.HMMConditionalMonsterTest,class,10,10,0,10,19,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,13,13,0,13,0,0,0,0,9,110,0,5,0,0,0,9,22,49,5,33,5,0,0,0,90,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\opt\ga\FitnessOrderedGeneticAlgorithm.java,opt.ga.FitnessOrderedGeneticAlgorithm,class,6,6,0,6,14,2,0,13,0,0.23809525,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,1,0,7,0,0,1,0,5,76,3,9,1,0,0,0,13,42,2,28,2,0,0,0,65,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\opt\test\TwoColorsTest.java,opt.test.TwoColorsTest,class,23,23,0,23,1,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,1,33,0,0,0,0,0,0,15,20,2,17,0,0,0,0,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\shared\AbstractErrorMeasure.java,shared.AbstractErrorMeasure,class,2,3,1,2,2,1,1,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,2,3,0,2,1,0,0,0,22,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\util\test\QRDecompositionTest.java,util.test.QRDecompositionTest,class,4,4,0,4,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,3,0,3,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\dist\hmm\StateSequenceCalculator.java,dist.hmm.StateSequenceCalculator,class,5,9,4,5,12,1,0,9,0,0.125,0.0,0.0,4,0,2,2,0,0,2,0,0,0,4,0,0,4,0,0,0,0,4,53,2,6,0,0,0,0,18,26,10,16,4,0,0,0,79,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\BackpropNetworkBuilder.java,func.nn.BackpropNetworkBuilder,class,20,22,2,20,18,1,0,17,8,0.70370364,0.0,0.0,9,0,8,1,0,0,8,0,0,0,9,0,0,9,0,0,0,0,1,110,8,3,1,3,0,8,9,32,7,23,2,0,0,0,86,1,0
