file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\NetworkTrainer.java,func.nn.NetworkTrainer,"NetworkTrainer/3[shared.DataSet,func.nn.NeuralNetwork,shared.ErrorMeasure]",true,36,3,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\NetworkTrainer.java,func.nn.NetworkTrainer,getErrorMeasure/0,false,54,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\NetworkTrainer.java,func.nn.NetworkTrainer,getDataSet/0,false,62,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\nn\NetworkTrainer.java,func.nn.NetworkTrainer,getNetwork/0,false,46,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\test\NNClassificationTest.java,func.test.NNClassificationTest,main/1[java.lang.String[]],false,23,12,16,0,16,3,11,21,0,8,1,11,0,0,2,0,0,0,3,19,9,1,1,0,0,0,38,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\shared\reader\DataSetLabelBinarySeperator.java,shared.reader.DataSetLabelBinarySeperator,combineLabels/1[shared.Instance],false,51,1,4,1,3,4,2,15,2,4,1,2,0,0,1,1,0,0,0,5,6,2,2,0,0,0,34,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\shared\reader\DataSetLabelBinarySeperator.java,shared.reader.DataSetLabelBinarySeperator,seperateLabels/1[shared.DataSet],false,18,3,8,1,7,5,9,21,0,8,1,9,0,0,3,0,0,0,0,7,11,1,2,0,0,0,15,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,margin/1[shared.Instance],false,65,3,3,1,2,2,2,8,1,2,1,2,0,0,1,0,0,0,0,2,4,1,1,0,0,0,15,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,"SingleClassSupportVectorMachine/4[shared.DataSet,double[],func.svm.Kernel,double]",true,41,3,3,1,2,1,2,8,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,toString/0,false,86,1,2,0,2,2,2,8,1,2,0,2,0,0,1,0,0,0,6,1,4,3,1,0,0,0,6,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,value/1[shared.Instance],false,56,2,2,0,2,2,1,3,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\ABAGAIL\src\func\svm\SingleClassSupportVectorMachine.java,func.svm.SingleClassSupportVectorMachine,getSupportVectors/0,false,78,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
