file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\common\io\plugin\ResourcesPluginDirectory.java,com.alibaba.alink.common.io.plugin.ResourcesPluginDirectory,class,3,5,2,3,4,1,0,5,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,2,0,1,23,2,0,0,1,0,2,0,4,0,4,1,0,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\stream\recommendation\ItemCfSimilarItemsRecommStreamOp.java,com.alibaba.alink.operator.stream.recommendation.ItemCfSimilarItemsRecommStreamOp,class,7,8,1,7,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,2,1,1,0,1,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\common\feature\featurebuilder\DateUtil.java,com.alibaba.alink.operator.common.feature.featurebuilder.DateUtil$YearTime,innerclass,2,2,0,2,8,1,0,2,0,0.33333334,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,0,0,3,0,0,1,37,3,0,0,0,3,11,3,6,9,4,1,0,0,0,28,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\params\timeseries\holtwinters\HasBeta.java,com.alibaba.alink.params.timeseries.holtwinters.HasBeta,interface,5,6,1,5,2,1,0,7,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,4,1,1,0,1,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\common\similarity\modeldata\KDTreeModelData.java,com.alibaba.alink.operator.common.similarity.modeldata.KDTreeModelData,class,7,8,1,7,10,2,0,15,0,0.5833333,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,2,0,3,0,0,3,0,1,37,3,2,3,0,0,0,8,12,0,12,3,0,0,1,43,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\common\similarity\modeldata\MinHashModelData.java,com.alibaba.alink.operator.common.similarity.modeldata.MinHashModelData,class,6,7,1,6,5,3,0,8,0,0.4166667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,4,1,0,4,0,0,4,0,2,23,2,0,0,0,0,0,1,9,0,9,0,0,0,1,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\stream\dataproc\format\CsvToKvStreamOp.java,com.alibaba.alink.operator.stream.dataproc.format.CsvToKvStreamOp,class,7,8,1,7,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,3,1,1,0,1,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\batch\feature\CrossFeatureTrainBatchOp.java,com.alibaba.alink.operator.batch.feature.CrossFeatureTrainBatchOp$Anonymous1,anonymous,4,4,0,4,2,1,0,5,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,1,0,0,0,2,3,0,2,1,0,0,0,23,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\common\feature\binning\Bins.java,com.alibaba.alink.operator.common.feature.binning.Bins,class,3,6,3,3,1,1,0,0,0,0.8,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,2,4,1,0,0,1,0,0,90,0,0,0,0,0,4,1,3,0,5,0,0,1,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\params\feature\featuregenerator\OverCountWindowParams.java,com.alibaba.alink.params.feature.featuregenerator.OverCountWindowParams,interface,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\common\fe\define\over\LatestTimeIntervalCrossCategoricalStatFeatures.java,com.alibaba.alink.common.fe.define.over.LatestTimeIntervalCrossCategoricalStatFeatures,class,3,5,2,3,3,3,0,0,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\operator\batch\feature\BinningTrainBatchOp.java,com.alibaba.alink.operator.batch.feature.BinningTrainBatchOp$FeatureBinsKey,innerclass,2,2,0,2,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,13,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\params\timeseries\HasMaxGarch.java,com.alibaba.alink.params.timeseries.HasMaxGarch,interface,5,5,0,5,2,1,0,6,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,4,1,1,0,1,0,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\core\src\main\java\com\alibaba\alink\pipeline\regression\RidgeRegressionModel.java,com.alibaba.alink.pipeline.regression.RidgeRegressionModel,class,5,7,2,5,2,5,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Alink\connectors\connector-datahub\src\main\java\com\alibaba\alink\common\io\catalog\datahub\common\MetricUtils.java,com.alibaba.alink.common.io.catalog.datahub.common.MetricUtils,class,8,11,3,8,7,1,0,7,0,0.8981481,0.0,0.0,6,6,6,0,0,0,6,0,0,0,18,18,14,4,0,0,18,0,1,62,6,0,0,0,0,24,3,23,5,22,1,0,1,0,46,1,0
