file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,innerclass,0,0,0,0,8,1,0,2,0,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,1,34,4,0,3,0,0,5,1,8,3,5,1,0,0,0,42,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\test\java\com\amitshekhar\tflite\ExampleUnitTest.java,com.amitshekhar.tflite.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,class,11,13,2,11,6,2,0,15,7,0.86363626,0.0,0.0,6,0,0,2,4,0,4,0,0,0,10,4,0,10,0,0,4,0,1,90,0,0,0,0,0,2,1,10,0,11,0,6,0,0,72,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous1,anonymous,7,7,0,7,4,1,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,2,0,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\androidTest\java\com\amitshekhar\tflite\ExampleInstrumentedTest.java,com.amitshekhar.tflite.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\TensorFlowImageClassifier.java,com.amitshekhar.tflite.TensorFlowImageClassifier$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\TensorFlowImageClassifier.java,com.amitshekhar.tflite.TensorFlowImageClassifier$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous5,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,1,0,1,0,0,1,0,0,0,13,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\TensorFlowImageClassifier.java,com.amitshekhar.tflite.TensorFlowImageClassifier,class,11,13,2,11,23,1,0,32,4,0.74444443,0.0,0.0,9,1,2,6,0,1,3,0,0,0,10,6,0,10,0,0,6,0,5,126,8,7,1,0,16,6,33,42,16,40,3,2,0,0,90,1,0
