file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,getId/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,"Recognition/4[java.lang.String,java.lang.String,java.lang.Float,boolean]",true,36,0,2,2,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,getTitle/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,getConfidence/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier$Recognition,toString/0,false,56,0,0,0,0,4,2,13,1,1,0,2,0,0,0,3,0,0,5,1,4,3,1,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\test\java\com\amitshekhar\tflite\ExampleUnitTest.java,com.amitshekhar.tflite.ExampleUnitTest,addition_isCorrect/0,false,14,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,onCreate/1[com.amitshekhar.tflite.Bundle],false,39,5,1,0,1,1,7,39,0,0,1,7,1,1,0,0,0,0,0,0,5,0,0,3,0,0,41,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,onResume/0,false,100,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,onDestroy/0,false,112,0,1,0,1,1,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,onPause/0,false,106,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,initTensorFlowAndLoadModel/0,false,122,0,2,1,1,1,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity,makeButtonVisible/0,false,141,0,2,1,1,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier,close/0,false,77,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\Classifier.java,com.amitshekhar.tflite.Classifier,recognizeImage/1[com.amitshekhar.tflite.Bitmap],false,75,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous2,onClick/1[com.amitshekhar.tflite.View],false,84,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous1,onEvent/1[com.amitshekhar.tflite.CameraKitEvent],false,52,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous1,onVideo/1[com.amitshekhar.tflite.CameraKitVideo],false,77,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous1,onError/1[com.amitshekhar.tflite.CameraKitError],false,57,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Android-TensorFlow-Lite-Example\app\src\main\java\com\amitshekhar\tflite\MainActivity.java,com.amitshekhar.tflite.MainActivity$Anonymous1,onImage/1[com.amitshekhar.tflite.CameraKitImage],false,62,4,1,0,1,1,6,7,0,2,1,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
