file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,class,14,16,2,14,21,2,0,20,23,0.75757575,0.0,0.0,11,0,8,3,0,0,8,0,0,0,9,0,0,9,0,0,0,0,1,110,4,1,6,0,0,0,22,43,13,30,1,0,0,0,81,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\androidTest\java\com\mindorks\tensorflowexample\ExampleInstrumentedTest.java,com.mindorks.tensorflowexample.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\test\java\com\mindorks\tensorflowexample\ExampleUnitTest.java,com.mindorks.tensorflowexample.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\Classifier.java,com.mindorks.tensorflowexample.Classifier,interface,2,5,3,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawModel.java,com.mindorks.tensorflowexample.view.DrawModel$Line,innerclass,1,1,0,1,4,1,0,3,0,0.25,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0,0,0,0,0,0,1,0,1,0,0,0,0,8,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\Classifier.java,com.mindorks.tensorflowexample.Classifier$Recognition,innerclass,1,1,0,1,11,1,0,2,0,0.53571427,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,3,0,1,43,5,0,4,0,0,6,1,10,4,5,1,0,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawModel.java,com.mindorks.tensorflowexample.view.DrawModel$LineElem,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\TensorFlowImageClassifier.java,com.mindorks.tensorflowexample.TensorFlowImageClassifier,class,7,9,2,7,11,1,0,25,1,0.6818182,0.0,0.0,6,1,5,1,0,0,5,0,0,0,11,3,0,11,0,0,3,0,1,75,3,3,1,0,1,11,8,23,4,21,2,1,0,0,92,1,0
