file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,onResume/0,false,123,1,2,1,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,setModel/1[com.mindorks.tensorflowexample.view.DrawModel],false,45,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,"calcPos/3[float,float,com.mindorks.tensorflowexample.view.PointF]",false,115,1,2,2,0,1,1,7,0,0,3,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,16,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,"DrawView/2[com.mindorks.tensorflowexample.view.Context,com.mindorks.tensorflowexample.view.AttributeSet]",true,41,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,onPause/0,false,127,1,2,1,1,1,1,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,setup/0,false,59,1,3,1,2,2,7,21,0,11,0,7,0,0,0,0,0,0,0,4,14,10,1,0,0,0,20,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,onDraw/1[com.mindorks.tensorflowexample.view.Canvas],false,90,4,3,0,3,5,4,18,2,1,1,4,1,1,0,2,0,0,0,3,3,1,1,0,0,0,16,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,releaseBitmap/0,false,140,1,2,1,1,2,2,8,0,0,0,2,1,1,0,1,0,0,0,0,2,0,1,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,reset/0,false,49,1,3,3,0,2,4,9,0,2,0,4,0,0,0,1,0,0,0,3,3,0,1,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,createBitmap/0,false,131,3,4,1,3,2,5,8,0,0,0,5,1,1,0,1,0,0,0,0,2,0,1,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\main\java\com\mindorks\tensorflowexample\view\DrawView.java,com.mindorks.tensorflowexample.view.DrawView,getPixelData/0,false,152,2,1,1,0,3,3,16,2,7,0,3,0,0,1,1,0,0,0,6,8,2,1,0,0,0,21,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMNISTExample\app\src\androidTest\java\com\mindorks\tensorflowexample\ExampleInstrumentedTest.java,com.mindorks.tensorflowexample.ExampleInstrumentedTest,useAppContext/0,false,36,2,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
