file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\androidTest\java\com\mindorks\tensorflowexample\ExampleInstrumentedTest.java,com.mindorks.tensorflowexample.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\test\java\com\mindorks\tensorflowexample\ExampleUnitTest.java,com.mindorks.tensorflowexample.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\Classifier.java,com.mindorks.tensorflowexample.Classifier,interface,2,6,4,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\Classifier.java,com.mindorks.tensorflowexample.Classifier$Recognition,innerclass,1,1,0,1,11,1,0,2,0,0.53571427,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,0,0,4,0,0,3,0,1,43,5,0,4,0,0,6,1,10,4,5,1,0,0,0,54,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity$Anonymous5,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,1,0,1,0,0,1,0,0,0,13,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\TensorFlowImageClassifier.java,com.mindorks.tensorflowexample.TensorFlowImageClassifier,class,9,11,2,9,12,1,0,28,1,0.6777777,0.0,0.0,6,1,5,1,0,0,5,0,0,0,15,3,0,15,0,0,3,0,1,92,3,4,1,0,9,12,26,32,19,27,2,1,0,0,104,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\TensorFlowImageClassifier.java,com.mindorks.tensorflowexample.TensorFlowImageClassifier$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\AndroidTensorFlowMachineLearningExample\app\src\main\java\com\mindorks\tensorflowexample\MainActivity.java,com.mindorks.tensorflowexample.MainActivity,class,11,13,2,11,6,2,0,15,7,0.89285713,0.0,0.0,6,0,0,2,4,0,4,0,0,0,13,7,0,13,0,0,7,0,1,93,0,0,0,0,0,4,3,13,0,14,0,6,0,0,73,1,0
