file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\InternalUrlService.java,de.tum.in.www1.artemis.service.InternalUrlService,class,7,11,4,7,11,1,1,16,2,0.53333336,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,1,2,0,1,0,0,48,10,0,3,1,0,3,0,5,0,5,1,0,0,0,56,1025,3
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\connectors\vcs\VersionControlService.java,de.tum.in.www1.artemis.service.connectors.vcs.VersionControlService,interface,10,24,14,10,24,1,0,2,276,0.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,233,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\analytics\TextAssessmentEvent.java,de.tum.in.www1.artemis.domain.analytics.TextAssessmentEvent,class,12,13,1,12,19,1,0,11,153,0.8947368,0.0,0.0,19,0,19,0,0,0,19,0,0,0,9,0,0,9,0,0,0,0,1,68,10,0,0,0,0,30,0,10,2,9,0,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\exercise\quizexercise\QuizExerciseFactory.java,de.tum.in.www1.artemis.exercise.quizexercise.QuizExerciseFactory,class,28,46,18,28,53,1,0,118,435,0.0,0.0,0.0,30,30,29,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,56,424,31,6,5,1,21,53,80,82,4,84,4,0,0,2,227,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\config\localvcci\LocalCIConfiguration.java,de.tum.in.www1.artemis.config.localvcci.LocalCIConfiguration,class,14,15,1,14,15,1,0,34,7,0.75,0.0,0.0,6,1,5,1,0,0,5,0,0,0,6,1,0,2,0,4,2,0,7,79,8,1,0,0,1,27,18,20,9,26,2,0,0,2,115,1,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\flowchart\FlowchartFlowline.java,de.tum.in.www1.artemis.service.compass.umlmodel.flowchart.FlowchartFlowline,class,3,7,4,3,11,2,0,11,8,0.5925926,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,1,1,2,0,0,3,0,6,50,10,0,0,0,1,3,5,13,5,8,1,0,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\connectors\jira\dto\JiraUserDTO.java,de.tum.in.www1.artemis.service.connectors.jira.dto.JiraUserDTO,class,3,4,1,3,16,1,0,0,62,0.7708333,0.0,0.0,16,0,16,0,0,0,16,0,0,0,6,0,0,6,0,0,0,0,0,96,6,0,0,0,0,0,0,17,0,6,0,0,2,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\participation\ProgrammingExerciseStudentParticipation.java,de.tum.in.www1.artemis.domain.participation.ProgrammingExerciseStudentParticipation,class,14,22,8,14,16,3,0,12,93,0.84999996,0.0,0.0,15,0,15,0,0,0,15,0,0,0,4,0,0,4,0,0,0,0,0,58,9,0,0,0,0,20,0,7,1,6,1,0,0,0,88,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\repository\ApollonDiagramRepository.java,de.tum.in.www1.artemis.repository.ApollonDiagramRepository,interface,9,9,0,9,3,1,0,2,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,0,0,0,0,0,0,1,49,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\metis\Reaction.java,de.tum.in.www1.artemis.domain.metis.Reaction,class,15,20,5,15,11,1,0,4,45,0.8181818,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,1,40,6,0,0,0,0,21,0,6,2,5,0,0,0,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\dto\UserInitializationDTO.java,de.tum.in.www1.artemis.service.dto.UserInitializationDTO,class,1,1,0,1,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\communication\UMLCommunicationDiagram.java,de.tum.in.www1.artemis.service.compass.umlmodel.communication.UMLCommunicationDiagram,class,5,8,3,5,11,2,0,8,0,0.4166667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,42,7,3,0,0,0,0,0,4,0,4,2,0,0,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\dto\UserDTO.java,de.tum.in.www1.artemis.service.dto.UserDTO,class,10,10,0,10,42,2,0,34,632,0.91249996,0.0,0.0,40,0,40,0,0,0,40,0,0,0,18,0,0,18,0,0,0,0,1,161,19,0,1,0,0,15,8,39,2,18,1,0,0,0,103,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\exercise\programmingexercise\CourseBitbucketBambooJiraIntegrationTest.java,de.tum.in.www1.artemis.exercise.programmingexercise.CourseBitbucketBambooJiraIntegrationTest,class,21,21,0,21,146,3,0,186,0,0.6479452,0.0,0.0,146,1,0,1,0,145,145,0,0,0,5,1,0,5,0,0,1,0,6,515,1,0,0,0,0,393,2,13,160,13,0,0,0,0,258,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\programming\ProgrammingExerciseGradingService.java,de.tum.in.www1.artemis.service.programming.ProgrammingExerciseGradingService,class,53,55,2,53,101,1,0,210,607,0.9224378,0.0,0.0,38,0,8,28,2,0,10,0,0,0,19,1,0,19,0,0,19,0,21,450,31,8,10,2,5,15,28,133,21,144,3,0,0,30,487,1,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\security\Role.java,de.tum.in.www1.artemis.security.Role,enum,1,7,6,1,5,1,0,0,0,0.5,0.0,0.0,5,1,4,0,0,1,5,0,0,0,2,1,1,1,0,0,2,0,0,18,4,0,0,0,0,7,0,2,1,2,0,0,0,0,41,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\web\websocket\localci\LocalCIWebsocketMessagingService.java,de.tum.in.www1.artemis.web.websocket.localci.LocalCIWebsocketMessagingService,class,7,8,1,7,10,1,0,11,6,0.5555556,0.0,0.0,9,3,9,0,0,0,9,0,0,0,3,2,0,3,0,0,3,0,4,46,4,0,0,0,0,17,1,9,2,9,1,0,0,0,90,1,5
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\config\CacheConfiguration.java,de.tum.in.www1.artemis.config.CacheConfiguration,class,30,31,1,30,22,1,0,58,31,0.8181818,0.0,0.0,11,0,5,6,0,0,5,0,0,0,12,1,0,12,0,0,8,0,5,129,8,2,3,0,1,38,0,16,4,20,3,0,0,0,129,1,13
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\repository\AttachmentUnitRepository.java,de.tum.in.www1.artemis.repository.AttachmentUnitRepository,interface,10,12,2,10,5,1,0,4,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,5,0,1,0,1,1,0,0,1,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\service\ComplaintResponseServiceTest.java,de.tum.in.www1.artemis.service.ComplaintResponseServiceTest,class,22,22,0,22,11,3,0,28,0,0.5358852,0.0,0.0,11,0,0,0,0,11,11,0,0,0,19,1,0,19,0,0,1,0,6,123,0,0,0,0,0,25,31,37,15,44,0,0,0,3,69,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\config\connector\GitLabApiConfiguration.java,de.tum.in.www1.artemis.config.connector.GitLabApiConfiguration,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,7,1,0,0,0,0,3,0,0,0,2,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\OrganizationService.java,de.tum.in.www1.artemis.service.OrganizationService,class,8,9,1,8,8,1,0,29,0,0.45833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,1,0,4,0,0,4,0,0,54,3,0,0,0,0,4,0,10,0,12,1,0,0,4,88,1,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\security\SpringSecurityAuditorAware.java,de.tum.in.www1.artemis.security.SpringSecurityAuditorAware,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\ExerciseSpecificationService.java,de.tum.in.www1.artemis.service.ExerciseSpecificationService,class,12,17,5,12,10,1,0,12,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,60,4,0,0,0,0,7,0,26,3,27,3,0,0,2,96,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\domain\ResultTest.java,de.tum.in.www1.artemis.domain.ResultTest,class,14,14,0,14,10,3,0,35,0,0.60714287,0.0,0.0,8,0,0,0,0,8,8,0,0,0,7,0,0,4,0,3,0,0,8,95,0,0,2,0,0,2,27,36,8,40,0,0,0,2,71,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\connectors\vcs\VersionControlServerHealthIndicator.java,de.tum.in.www1.artemis.service.connectors.vcs.VersionControlServerHealthIndicator,class,7,7,0,7,3,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,1,0,1,0,1,1,0,0,0,26,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\config\LiquibaseConfiguration.java,de.tum.in.www1.artemis.config.LiquibaseConfiguration,class,16,17,1,16,28,1,0,55,0,0.61224496,0.0,0.0,7,0,3,4,0,0,3,0,0,0,7,1,0,6,0,1,3,0,0,135,7,0,2,3,2,31,0,20,3,20,2,0,0,0,138,1,15
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\connectors\BuildScriptProviderService.java,de.tum.in.www1.artemis.service.connectors.BuildScriptProviderService,class,10,15,5,10,17,1,0,36,1,0.5,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,1,0,3,0,0,3,0,4,76,6,1,1,2,0,24,2,15,6,15,3,0,0,0,118,1,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\service\connectors\gitlab\GitLabPersonalAccessTokenManagementServiceTest.java,de.tum.in.www1.artemis.service.connectors.gitlab.GitLabPersonalAccessTokenManagementServiceTest,class,20,20,0,20,11,3,0,46,0,0.29545456,0.0,0.0,11,0,0,0,0,11,11,0,0,0,4,1,0,4,0,0,1,0,5,137,0,0,0,0,0,37,19,20,11,24,0,4,0,9,77,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\connectors\gitlab\GitLabService.java,de.tum.in.www1.artemis.service.connectors.gitlab.GitLabService$Endpoints,enum,1,1,0,1,2,1,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,8,1,0,0,0,0,40,0,1,0,1,0,0,0,0,33,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\config\ProgrammingLanguageConfigurationTest.java,de.tum.in.www1.artemis.config.ProgrammingLanguageConfigurationTest,class,7,8,1,7,17,1,0,34,0,0.39285716,0.0,0.0,14,0,0,2,0,12,12,0,0,0,2,1,0,2,0,0,1,0,16,81,2,3,0,0,0,44,0,14,0,14,1,0,0,4,57,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\parsers\v3\ActivityDiagramParser.java,de.tum.in.www1.artemis.service.compass.umlmodel.parsers.v3.ActivityDiagramParser,class,10,11,1,10,15,1,0,26,6,0.0,NaN,NaN,4,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,62,4,3,4,0,0,3,0,22,1,22,3,0,0,0,101,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\plagiarism\PlagiarismCase.java,de.tum.in.www1.artemis.domain.plagiarism.PlagiarismCase,class,16,20,4,16,26,2,0,3,212,0.8787878,0.0,0.0,24,0,24,0,0,0,24,0,0,0,11,0,0,11,0,0,0,0,2,91,15,0,2,0,0,19,0,11,2,11,1,0,0,0,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\util\classpath\RootNode.java,de.tum.in.www1.artemis.util.classpath.RootNode,class,4,6,2,4,9,3,0,14,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,37,5,0,0,0,0,4,1,6,3,5,1,0,0,0,96,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\util\RequestUtilService.java,de.tum.in.www1.artemis.util.RequestUtilService$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\modeling\ModelElement.java,de.tum.in.www1.artemis.domain.modeling.ModelElement,class,11,12,1,11,8,1,0,0,20,0.8,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,1,0,5,0,0,1,0,0,31,4,0,0,0,0,4,4,5,0,5,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\petrinet\PetriNetTransition.java,de.tum.in.www1.artemis.service.compass.umlmodel.petrinet.PetriNetTransition,class,4,8,4,4,8,2,0,4,9,0.6666666,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,1,1,0,0,2,0,1,32,7,0,0,0,2,2,2,5,1,4,1,0,0,0,43,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\hestia\ProgrammingExerciseGitDiffReportService.java,de.tum.in.www1.artemis.service.hestia.ProgrammingExerciseGitDiffReportService,class,23,27,4,23,25,1,0,56,10,0.7592593,0.0,0.0,12,0,6,6,0,0,6,0,0,0,9,1,0,9,0,0,9,0,1,157,18,1,4,3,2,3,3,59,1,56,2,0,0,0,200,1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\GradingCriterion.java,de.tum.in.www1.artemis.domain.GradingCriterion,class,12,15,3,12,9,1,0,6,18,0.7083333,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,33,4,0,1,0,0,9,0,4,2,4,1,0,0,1,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\bpmn\BPMNStartEvent.java,de.tum.in.www1.artemis.service.compass.umlmodel.bpmn.BPMNStartEvent,class,5,8,3,5,9,2,0,4,7,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,1,2,0,0,3,0,2,43,7,0,1,0,3,1,4,4,1,4,1,0,1,0,75,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\parsers\v3\ComponentDiagramParser.java,de.tum.in.www1.artemis.service.compass.umlmodel.parsers.v3.ComponentDiagramParser,class,9,11,2,9,17,1,0,32,15,0.0,0.0,0.0,6,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,10,73,5,3,3,0,0,1,0,25,0,22,2,0,0,0,107,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\enumeration\GraphType.java,de.tum.in.www1.artemis.domain.enumeration.GraphType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\compass\umlmodel\petrinet\PetriNetArc.java,de.tum.in.www1.artemis.service.compass.umlmodel.petrinet.PetriNetArc,class,4,8,4,4,12,2,0,11,3,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,1,1,3,0,0,4,0,4,53,11,0,0,0,1,5,5,12,4,9,1,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\web\rest\plagiarism\PlagiarismResultResponseBuilderTest.java,de.tum.in.www1.artemis.web.rest.plagiarism.PlagiarismResultResponseBuilderTest,class,5,6,1,5,4,1,0,22,6,0.0,0.0,0.0,4,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,52,1,0,0,0,0,4,11,11,0,11,0,0,0,0,33,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\util\RequestUtilService.java,de.tum.in.www1.artemis.util.RequestUtilService$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\exercise\programmingexercise\ProgrammingSubmissionAndResultGitlabJenkinsIntegrationTest.java,de.tum.in.www1.artemis.exercise.programmingexercise.ProgrammingSubmissionAndResultGitlabJenkinsIntegrationTest,class,38,39,1,38,20,3,0,88,34,0.6846154,0.0,0.0,20,2,0,8,0,12,12,0,0,0,13,1,0,13,0,0,2,0,25,265,6,0,0,0,1,85,32,101,25,99,0,0,0,2,217,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\enumeration\LegalDocumentType.java,de.tum.in.www1.artemis.domain.enumeration.LegalDocumentType,enum,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\quiz\SubmittedAnswer.java,de.tum.in.www1.artemis.domain.quiz.SubmittedAnswer,class,25,46,21,25,9,1,3,3,22,0.75,0.0,0.0,8,0,8,0,0,0,8,1,0,0,3,0,0,3,0,0,0,0,0,31,3,0,1,0,0,10,0,4,0,4,1,0,0,0,59,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\test\java\de\tum\in\www1\artemis\service\BitbucketServiceTest.java,de.tum.in.www1.artemis.service.BitbucketServiceTest,class,16,16,0,16,7,3,0,30,9,0.71428573,0.0,0.0,7,0,0,0,0,7,7,0,0,0,5,1,0,5,0,0,1,0,0,50,0,0,0,0,0,17,5,8,3,11,0,0,0,0,73,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\repository\StudentScoreRepository.java,de.tum.in.www1.artemis.repository.StudentScoreRepository,interface,12,12,0,12,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\config\LocaleConfiguration.java,de.tum.in.www1.artemis.config.LocaleConfiguration,class,8,8,0,8,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,2,0,2,0,2,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\domain\view\QuizView.java,de.tum.in.www1.artemis.domain.view.QuizView$Before,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\service\plagiarism\PlagiarismDetectionService.java,de.tum.in.www1.artemis.service.plagiarism.PlagiarismDetectionService,class,17,21,4,17,8,1,0,23,1,0.69387764,0.0,0.0,7,0,5,2,0,0,5,0,0,0,7,1,0,7,0,0,6,0,0,52,4,0,0,0,0,4,0,11,0,12,1,0,0,0,61,1,3
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Artemis\src\main\java\de\tum\in\www1\artemis\web\rest\dto\pageablesearch\UserPageableSearchDTO.java,de.tum.in.www1.artemis.web.rest.dto.pageablesearch.UserPageableSearchDTO,class,2,3,1,2,10,3,0,0,35,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,9,0,5,0,0,0,0,28,1,0
