file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous7,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,16,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous6,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,16,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous5,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,class,2,5,3,2,12,1,0,8,10,0.6888889,0.0,0.0,9,0,0,1,0,8,8,0,0,0,5,1,0,3,0,2,1,0,1,50,4,3,0,0,2,0,4,13,3,11,1,0,0,0,27,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous4,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$GPanel,innerclass,3,3,0,3,19,5,0,19,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,8,4,0,8,3,68,28,34,20,4,0,0,0,36,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous9,anonymous,2,2,0,2,6,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,1,0,0,1,2,0,0,3,0,0,0,17,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\NeuralNetwork.java,Backpropagation.Algorithm.NeuralNetwork,class,5,8,3,5,65,1,0,41,7,0.7045455,0.0,0.0,11,0,4,7,0,0,4,0,0,0,8,0,0,8,0,0,4,0,11,275,5,42,5,0,6,8,75,122,49,95,5,0,0,0,79,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous8,anonymous,2,2,0,2,6,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,1,0,0,1,2,0,0,3,0,0,0,17,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Connection.java,Backpropagation.Algorithm.Connection,class,1,3,2,1,8,1,0,0,16,0.78571427,0.0,0.0,8,0,0,0,0,8,8,0,0,0,7,1,0,4,0,3,2,0,0,36,3,0,0,0,0,0,5,12,0,7,0,0,0,0,20,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous3,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous2,anonymous,1,1,0,1,4,1,0,2,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous10,anonymous,2,2,0,2,5,1,0,4,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,0,1,2,0,0,1,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame,class,4,14,10,4,35,5,0,80,48,0.8887068,NaN,NaN,13,3,1,12,0,0,1,0,0,0,47,3,0,47,0,0,0,0,26,539,3,10,5,2,5,32,44,71,16,95,4,10,1,14,156,1,0
