file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous7,insertUpdate/1[javax.swing.event.DocumentEvent],false,233,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous7,removeUpdate/1[javax.swing.event.DocumentEvent],false,229,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous7,changeMinError/0,false,237,1,4,3,1,2,3,10,0,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,10,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous7,changedUpdate/1[javax.swing.event.DocumentEvent],false,225,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous6,changedUpdate/1[javax.swing.event.DocumentEvent],false,202,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous6,changeMaxTimes/0,false,214,1,4,3,1,2,3,10,0,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,10,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous6,removeUpdate/1[javax.swing.event.DocumentEvent],false,206,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous6,insertUpdate/1[javax.swing.event.DocumentEvent],false,210,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous5,removeUpdate/1[javax.swing.event.DocumentEvent],false,183,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous5,insertUpdate/1[javax.swing.event.DocumentEvent],false,187,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous5,changeThreshold/0,false,191,1,4,3,1,2,3,10,0,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,9,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous5,changedUpdate/1[javax.swing.event.DocumentEvent],false,179,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,setOutput/1[double],false,61,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,calculateOutput/0,false,18,2,5,1,4,2,4,10,0,4,0,4,2,1,1,0,0,0,0,1,6,1,1,0,0,0,12,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,getConnection/1[int],false,49,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,getOutput/0,false,57,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,sigmoid/1[double],false,29,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,Neuron/0,true,13,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,addConnections/1[Backpropagation.Algorithm.Neuron[]],false,41,2,2,1,1,2,2,7,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,getAllConnections/0,false,53,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\Algorithm\Neuron.java,Backpropagation.Algorithm.Neuron,addConnections/1[java.util.ArrayList<Backpropagation.Algorithm.Neuron>],false,33,2,2,1,1,2,2,7,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous4,changedUpdate/1[javax.swing.event.DocumentEvent],false,156,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous4,removeUpdate/1[javax.swing.event.DocumentEvent],false,160,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous4,changeRate/0,false,168,1,4,3,1,2,3,10,0,0,0,3,0,0,0,0,1,0,0,1,2,0,1,0,0,0,9,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$Anonymous4,insertUpdate/1[javax.swing.event.DocumentEvent],false,164,1,9,0,9,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Backpropagation\src\Backpropagation\MainFrame.java,Backpropagation.MainFrame$GPanel,paintComponent/1[java.awt.Graphics],false,542,3,3,0,3,17,19,52,0,17,1,19,1,1,8,3,0,2,3,49,23,15,4,0,0,0,29,1,0,false
