file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\botlibre-web\source\org\botlibre\web\servlet\TwitterServlet.java,org.botlibre.web.servlet.TwitterServlet,class,8,8,0,8,17,4,0,28,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,108,2,0,13,1,0,70,0,50,0,42,3,0,0,0,65,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\sdk\android\BotLibreOffline\app\src\main\java\org\botlibre\sdk\activity\ChatActivity.java,ChatActivity$Anonymous37$Anonymous38,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,1,0,1,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,class,23,40,17,23,1048,1,0,358,12663,0.95347404,0.0,0.0,214,4,211,0,3,0,214,0,0,72,23,5,4,1,18,0,1,0,69,3484,316,103,260,8,128,113,200,787,58,456,8,3,1,0,520,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\botlibre-web\source\org\botlibre\web\admin\UserPayment.java,org.botlibre.web.admin.UserPayment,class,6,14,8,6,39,1,0,7,463,0.909804,0.0,0.0,34,0,34,0,0,0,34,0,0,0,15,0,0,0,15,0,0,0,13,150,16,0,5,0,0,11,5,29,7,15,1,0,2,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\ai-engine-test\source\org\botlibre\client\gui\HttpPanel.java,org.botlibre.client.gui.HttpPanel,class,7,9,2,7,8,7,0,20,4,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,5,1,0,1,4,0,1,0,2,62,2,0,3,1,1,10,41,12,1,11,1,1,1,0,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\botlibre-web\source\org\botlibre\web\bean\WeChatBean.java,org.botlibre.web.bean.WeChatBean,class,12,14,2,12,17,2,0,35,91,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,75,6,0,1,0,0,6,0,12,4,5,1,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\ai-engine\source\org\botlibre\util\HttpDeleteWithBody.java,org.botlibre.util.HttpDeleteWithBody,class,2,3,1,2,4,4,0,2,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,1,17,1,0,0,0,0,1,0,1,0,1,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\emotion\BasicMood.java,org.botlibre.emotion.BasicMood,class,10,12,1,11,79,1,0,57,235,0.7820513,0.0,0.0,26,0,26,0,0,0,26,0,0,0,3,0,0,0,3,0,0,0,8,278,14,14,23,2,6,12,14,63,7,46,10,0,0,0,114,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\sdk\android\BotLibre\app\src\main\java\org\botlibre\sdk\activity\actions\HttpUserMessageAction.java,org.botlibre.sdk.activity.actions.HttpUserMessageAction,class,4,4,0,4,5,3,0,2,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,22,2,0,1,1,0,1,0,2,0,1,1,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\sdk\android\BotLibreOffline\app\src\main\java\org\botlibre\sdk\activity\actions\HttpUnsubscribeForumAction.java,HttpUnsubscribeForumAction,class,4,4,0,4,5,1,0,2,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,22,2,0,1,1,0,1,0,2,0,1,1,0,0,0,21,1,0
