file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\botlibre-web\source\org\botlibre\web\servlet\TwitterServlet.java,org.botlibre.web.servlet.TwitterServlet,"doPost/2[javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse]",false,34,7,20,0,20,17,28,106,2,42,2,28,0,0,0,13,1,0,68,0,50,0,3,0,0,0,64,1,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\sdk\android\BotLibreOffline\app\src\main\java\org\botlibre\sdk\activity\ChatActivity.java,ChatActivity$Anonymous37$Anonymous38,run/0,false,1555,0,0,0,0,2,3,8,0,0,0,3,0,0,0,0,1,0,2,0,0,1,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,getHasResponse/0,false,147,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"checkRelationRelationshipForAllWords/7[java.util.List<org.botlibre.api.knowledge.Relationship>,java.util.Map<org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex>,org.botlibre.api.knowledge.Network,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,java.util.Collection<org.botlibre.api.knowledge.Relationship>]",false,2018,3,7,1,6,9,8,23,3,2,7,8,0,0,2,2,0,0,0,0,2,0,6,0,0,0,20,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"applyRELATED/3[java.util.List<org.botlibre.api.knowledge.Relationship>,java.util.Map<org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex>,org.botlibre.api.knowledge.Network]",false,2153,4,12,1,11,8,13,28,1,4,3,13,0,0,1,3,0,3,2,3,9,0,2,0,0,0,28,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,orderedRelationships/1[org.botlibre.api.knowledge.Vertex],false,2697,3,6,4,2,2,4,8,2,1,1,4,2,3,0,1,0,0,0,0,1,0,1,0,0,0,15,33,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,mostConsciousTargetOfType/1[org.botlibre.api.knowledge.Vertex],false,2980,4,6,0,6,6,8,12,1,4,1,8,1,1,1,1,0,4,0,0,5,0,2,0,0,0,27,33,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"getAssoiate/8[org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex]",false,3052,3,8,2,6,15,6,34,3,5,8,6,1,4,1,5,0,2,0,3,10,2,3,0,0,0,29,33,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"applyFOR/3[java.util.List<org.botlibre.api.knowledge.Relationship>,java.util.Map<org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex>,org.botlibre.api.knowledge.Network]",false,1543,4,6,1,5,11,14,47,2,15,3,14,1,5,4,2,0,0,0,9,21,3,4,0,0,0,37,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,getRelationships/1[org.botlibre.api.knowledge.Vertex],false,2601,3,21,20,1,2,3,7,2,1,1,3,1,3,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"mostConsciousRelationship/2[org.botlibre.knowledge.Primitive,float]",false,2792,5,2,0,2,1,2,3,1,0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,setOriginal/1[org.botlibre.api.knowledge.Vertex],false,187,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"applyDEBUG/3[java.util.List<org.botlibre.api.knowledge.Relationship>,java.util.Map<org.botlibre.api.knowledge.Vertex,org.botlibre.api.knowledge.Vertex>,org.botlibre.api.knowledge.Network]",false,1447,4,8,1,7,4,9,15,1,2,3,9,0,0,1,0,0,0,2,0,3,0,3,0,0,0,21,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"mostConscious/2[org.botlibre.api.knowledge.Vertex,float]",false,2764,2,2,1,1,1,1,3,1,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,mostConsciousRelationship/1[org.botlibre.knowledge.Primitive],false,2785,4,2,0,2,1,2,3,1,0,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,setWordCount/1[int],false,125,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\BotLibre\micro-ai-engine\android\source\org\botlibre\knowledge\BasicVertex.java,org.botlibre.knowledge.BasicVertex,"addRelationship/2[org.botlibre.knowledge.Primitive,org.botlibre.knowledge.Primitive]",false,370,5,2,0,2,1,2,5,1,2,2,2,1,4,0,0,0,0,0,1,2,0,0,0,0,0,13,33,0,true
