file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\bibref\parsing\features\IsLaquoFeature.java,pl.edu.icm.cermine.bibref.parsing.features.IsLaquoFeature,class,3,4,1,3,3,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,1,0,4,1,0,1,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,class,13,17,4,13,32,1,0,54,103,0.9111111,0.0,0.0,15,0,2,13,0,0,4,0,0,0,3,3,2,1,0,0,3,0,4,233,2,5,4,1,0,158,0,25,5,23,2,0,0,0,90,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\content\headers\features\WordsUppercaseFeature.java,pl.edu.icm.cermine.content.headers.features.WordsUppercaseFeature,class,3,4,1,3,4,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,1,2,3,3,1,3,2,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\zoneclassification\features\IsLowestOnThePageFeature.java,pl.edu.icm.cermine.metadata.zoneclassification.features.IsLowestOnThePageFeature,class,5,9,4,5,3,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,2,22,3,0,0,0,1,0,5,3,4,3,1,0,1,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,class,15,18,3,15,8,1,0,17,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,52,3,1,0,1,0,12,0,14,0,12,2,0,0,0,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\zoneclassification\features\AbstractFeatureCalculator.java,pl.edu.icm.cermine.metadata.zoneclassification.features.AbstractFeatureCalculator,class,4,17,13,4,6,2,0,8,1,0.0,0.0,0.0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,2,4,4,0,0,0,2,10,0,6,1,0,0,0,20,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\ZoneClassifier.java,pl.edu.icm.cermine.structure.ZoneClassifier,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\test\java\pl\edu\icm\cermine\ContentExtractorTest.java,pl.edu.icm.cermine.ContentExtractorTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\extraction\enhancers\HindawiCornerInfoEnhancer.java,pl.edu.icm.cermine.metadata.extraction.enhancers.HindawiCornerInfoEnhancer,class,4,5,1,4,3,4,0,7,3,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,1,0,1,0,0,1,0,2,16,2,0,0,0,0,1,2,1,0,1,0,0,0,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\content\transformers\BxContentToDocContentConverter.java,pl.edu.icm.cermine.content.transformers.BxContentToDocContentConverter,class,6,11,5,6,15,1,0,15,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,56,5,3,2,0,0,1,9,10,2,10,2,0,0,0,29,1,0
