file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\bibref\parsing\features\IsLaquoFeature.java,pl.edu.icm.cermine.bibref.parsing.features.IsLaquoFeature,"calculateFeatureValue/2[pl.edu.icm.cermine.bibref.parsing.model.CitationToken,pl.edu.icm.cermine.bibref.parsing.model.Citation]",false,31,2,1,0,1,3,3,4,1,1,2,3,0,0,0,2,0,1,0,4,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,(initializer 1),false,49,0,161,0,161,1,1,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendFont/6[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,230,3,4,1,3,1,3,8,0,1,6,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,6,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendCharacter/4[org.w3c.dom.Document,org.w3c.dom.Element,pl.edu.icm.cermine.structure.model.BxChunk,java.lang.Object[]]",false,137,6,12,1,11,1,11,14,0,2,4,11,3,3,0,0,0,0,13,0,2,0,0,0,0,0,12,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendVertex/5[org.w3c.dom.Document,org.w3c.dom.Element,double,double,java.lang.Object[]]",false,110,3,4,1,3,2,6,10,0,2,5,6,0,0,0,0,0,0,5,0,3,0,1,0,0,0,25,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendLine/4[org.w3c.dom.Document,org.w3c.dom.Element,pl.edu.icm.cermine.structure.model.BxLine,java.lang.Object[]]",false,164,6,10,1,9,2,9,11,0,1,4,9,4,5,1,0,0,0,6,0,1,0,1,0,0,0,15,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendWord/4[org.w3c.dom.Document,org.w3c.dom.Element,pl.edu.icm.cermine.structure.model.BxWord,java.lang.Object[]]",false,152,6,10,1,9,2,9,11,0,1,4,9,4,4,1,0,0,0,6,0,1,0,1,0,0,0,16,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendLanguage/5[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,java.lang.String,java.lang.String]",false,222,3,4,1,3,1,3,7,0,1,5,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,(initializer 2),false,55,0,7,0,7,1,1,40,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"write/2[java.util.List<pl.edu.icm.cermine.structure.model.BxPage>,java.lang.Object[]]",false,273,2,1,0,1,1,3,6,1,1,2,3,1,11,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendZone/4[org.w3c.dom.Document,org.w3c.dom.Element,pl.edu.icm.cermine.structure.model.BxZone,java.lang.Object[]]",false,183,7,14,1,13,5,15,25,0,2,4,15,5,7,1,2,0,0,17,0,2,1,2,0,0,0,24,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendProperty/4[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,java.lang.String]",false,96,3,11,8,3,1,3,5,0,1,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendBounds/5[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,pl.edu.icm.cermine.structure.model.BxBounds,java.lang.Object[]]",false,121,5,12,4,8,4,9,15,0,1,5,9,1,1,0,1,0,0,0,0,2,4,1,0,0,0,24,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendClassification/4[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,java.lang.String]",false,176,4,5,2,3,1,3,6,0,1,4,3,1,1,0,0,0,0,3,0,1,0,0,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"createDocument/2[java.util.List<pl.edu.icm.cermine.structure.model.BxPage>,java.lang.Object[]]",false,239,5,8,1,7,2,9,31,1,3,2,9,5,9,1,0,0,0,45,0,3,0,1,0,0,0,19,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"write/3[java.io.Writer,java.util.List<pl.edu.icm.cermine.structure.model.BxPage>,java.lang.Object[]]",false,280,4,6,4,2,3,5,14,0,2,3,5,1,10,0,0,1,0,0,0,2,0,1,0,0,0,28,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendPropertyIfNotNull/4[org.w3c.dom.Document,org.w3c.dom.Element,java.lang.String,java.lang.String]",false,102,3,6,5,1,2,1,8,0,0,4,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\structure\transformers\BxDocumentToTrueVizWriter.java,pl.edu.icm.cermine.structure.transformers.BxDocumentToTrueVizWriter,"appendPage/4[org.w3c.dom.Document,org.w3c.dom.Element,pl.edu.icm.cermine.structure.model.BxPage,java.lang.Object[]]",false,208,6,8,1,7,2,7,13,0,1,4,7,3,8,1,0,0,0,11,0,1,0,1,0,0,0,16,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\content\headers\features\WordsUppercaseFeature.java,pl.edu.icm.cermine.content.headers.features.WordsUppercaseFeature,"calculateFeatureValue/2[pl.edu.icm.cermine.structure.model.BxLine,pl.edu.icm.cermine.structure.model.BxPage]",false,31,2,1,0,1,4,3,11,1,3,2,3,0,0,1,1,0,1,2,3,3,1,2,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\zoneclassification\features\IsLowestOnThePageFeature.java,pl.edu.icm.cermine.metadata.zoneclassification.features.IsLowestOnThePageFeature,"calculateFeatureValue/2[pl.edu.icm.cermine.structure.model.BxZone,pl.edu.icm.cermine.structure.model.BxPage]",false,45,4,3,0,3,3,8,14,3,2,2,8,0,0,0,0,0,1,0,4,2,4,1,0,0,0,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,"readAll/2[java.lang.String,java.lang.Object[]]",false,97,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,"read/2[java.io.Reader,java.lang.Object[]]",false,49,12,5,1,4,4,12,32,1,10,2,12,1,1,1,0,1,0,6,0,12,0,2,0,0,0,38,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,"readAll/2[java.io.Reader,java.lang.Object[]]",false,102,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,"read/2[java.lang.String,java.lang.Object[]]",false,44,2,1,0,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-tools\src\main\java\pl\edu\icm\cermine\evaluation\transformers\GrobidToDocumentReader.java,pl.edu.icm.cermine.evaluation.transformers.GrobidToDocumentReader,getRoot/1[java.io.Reader],false,85,3,1,1,0,1,4,9,1,2,1,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,22,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\zoneclassification\features\AbstractFeatureCalculator.java,pl.edu.icm.cermine.metadata.zoneclassification.features.AbstractFeatureCalculator,getOtherZones/1[pl.edu.icm.cermine.structure.model.BxZone],false,49,2,2,0,2,3,4,14,1,3,1,4,0,0,2,2,0,0,0,1,5,0,1,0,0,0,10,12,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\CERMINE\cermine-impl\src\main\java\pl\edu\icm\cermine\metadata\zoneclassification\features\AbstractFeatureCalculator.java,pl.edu.icm.cermine.metadata.zoneclassification.features.AbstractFeatureCalculator,getOtherPages/1[pl.edu.icm.cermine.structure.model.BxPage],false,33,2,2,0,2,3,4,14,1,3,1,4,0,0,2,2,0,0,0,1,5,0,1,0,0,0,10,12,0,false
