file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\panel\UploadProgramPanel.java,eml.studio.client.ui.panel.UploadProgramPanel,class,13,15,2,13,6,3,0,32,7,0.8,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,1,0,4,1,0,1,0,3,74,1,0,0,0,0,57,0,11,4,5,0,2,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\server\oozie\workflow\DistributeActionNodeDef.java,eml.studio.server.oozie.workflow.DistributeActionNodeDef,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\IndexPage.java,eml.studio.client.IndexPage,class,20,22,2,20,4,1,0,27,0,0.6666666,0.0,0.0,3,0,2,1,0,0,2,0,0,0,5,0,0,0,5,0,0,0,0,245,0,0,0,0,0,3,0,9,0,7,1,7,4,0,57,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\mvp\presenter\ProgramLoader.java,eml.studio.client.mvp.presenter.ProgramLoader$Anonymous4$Anonymous5$Anonymous6,anonymous,5,5,0,5,3,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,2,0,0,0,1,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\widget\program\ETLProgramWidget.java,eml.studio.client.ui.widget.program.ETLProgramWidget,class,6,6,0,6,5,4,0,5,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,1,0,0,0,3,0,2,1,0,0,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\panel\DataTypeSelectPanel.java,eml.studio.client.ui.panel.DataTypeSelectPanel$Anonymous2$Anonymous3,anonymous,0,0,0,0,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,2,0,2,0,0,0,0,0,7,-1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\widget\shape\Segment.java,eml.studio.client.ui.widget.shape.Segment,class,2,6,4,2,12,1,0,9,0,0.18181819,0.0,0.0,11,0,11,0,0,0,11,0,0,0,2,0,0,2,0,0,0,0,5,41,7,0,0,0,5,1,7,6,14,3,1,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\shared\oozie\OozieJob.java,eml.studio.shared.oozie.OozieJob,class,4,25,21,4,48,1,0,1,1031,0.9565219,0.0,0.0,47,0,47,0,0,0,47,0,0,0,23,0,0,23,0,0,0,0,0,169,23,0,1,0,0,7,0,24,0,23,1,0,0,0,60,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\shared\model\Account.java,eml.studio.shared.model.Account,class,3,41,38,3,25,1,0,0,276,0.92,0.0,0.0,25,0,25,0,0,0,25,0,0,0,12,0,0,12,0,0,0,0,0,88,12,0,0,0,0,0,0,12,0,12,0,0,0,0,78,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\server\visual\service\freqBarChartService.java,eml.studio.server.visual.service.freqBarChartService,class,6,7,1,6,61,2,0,34,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,19,227,1,14,16,1,5,42,47,78,44,51,9,1,0,0,102,1,11
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\binding\ProgramBinder.java,eml.studio.client.ui.binding.ProgramBinder,interface,3,5,2,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\widget\command\FileHolder.java,eml.studio.client.ui.widget.command.FileHolder,class,4,11,7,4,21,1,0,4,174,0.8835979,0.0,0.0,21,0,21,0,0,0,21,0,0,0,9,0,0,9,0,0,0,0,0,81,10,0,0,0,0,6,0,14,1,10,0,0,1,0,43,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\menu\ProgramUpdateMenu.java,eml.studio.client.ui.menu.ProgramUpdateMenu,class,5,6,1,5,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,2,0,2,0,1,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\widget\command\ValueCheck.java,eml.studio.client.ui.widget.command.ValueCheck,class,3,6,3,3,23,1,0,13,1,1.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,7,51,3,0,3,1,1,22,0,14,3,8,3,0,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\mvp\presenter\AccountLoader.java,eml.studio.client.mvp.presenter.AccountLoader$Anonymous15$Anonymous16$Anonymous17,anonymous,4,4,0,4,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,7,0,8,6,2,1,1,0,0,10,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\mvp\view\HeaderView.java,eml.studio.client.mvp.view.HeaderView$HeaderViewUiBinder,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\shared\oozie\OozieAction.java,eml.studio.shared.oozie.OozieAction,class,2,17,15,2,48,1,0,0,1080,0.9600001,0.0,0.0,48,0,48,0,0,0,48,0,0,0,25,1,1,24,0,0,0,0,0,171,24,0,0,0,0,23,0,25,0,25,0,0,0,0,60,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\server\visual\charts\ScatterChart.java,eml.studio.server.visual.charts.ScatterChart,class,2,5,3,2,11,1,0,4,25,0.70454544,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,0,0,0,41,4,0,0,0,0,0,0,4,0,4,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\server\rpc\JobServiceImpl.java,eml.studio.server.rpc.JobServiceImpl,class,16,17,1,16,96,2,0,84,440,0.875,0.0,0.0,32,0,28,4,0,0,28,0,0,0,2,2,0,2,0,0,1,0,58,511,37,14,11,29,0,69,7,92,13,74,4,0,0,0,191,1,13
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\menu\DatasetDeprecateMenu.java,eml.studio.client.ui.menu.DatasetDeprecateMenu$Anonymous1,anonymous,6,6,0,6,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,3,1,3,1,1,0,0,9,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\util\TimeUtils.java,eml.studio.client.util.TimeUtils,class,2,14,12,2,7,1,0,5,1,0.6666667,0.0,0.0,3,3,3,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,1,30,6,0,3,1,0,8,6,12,9,12,1,0,0,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\ui\tree\DatasetTreeLoader.java,eml.studio.client.ui.tree.DatasetTreeLoader,class,19,25,6,19,15,1,0,24,3,0.8333334,0.0,0.0,3,3,3,0,0,0,3,0,0,0,2,2,0,1,1,0,0,0,7,74,1,0,0,0,0,13,0,8,0,8,2,2,0,0,51,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\rpc\ProgramServiceAsync.java,eml.studio.client.rpc.ProgramServiceAsync,interface,2,14,12,2,13,1,0,0,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\EasyML\src\main\java\eml\studio\client\mvp\presenter\RegisterPresenter.java,eml.studio.client.mvp.presenter.RegisterPresenter$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
