file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\alert\Calert.java,com.gc.fakeimagedetection.ui.alert.Calert,class,2,14,12,2,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,class,24,24,0,24,16,1,0,38,10,0.8605769,0.0,0.0,8,0,3,5,0,0,3,0,0,0,26,0,0,19,0,7,0,0,10,131,3,0,4,2,0,29,0,23,2,38,2,1,0,0,114,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\alert\CommonUtil.java,com.gc.fakeimagedetection.ui.alert.CommonUtil,class,3,10,7,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\NeuralnetInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.NeuralnetInterfaceController,class,20,23,3,20,16,1,0,31,52,0.8525641,0.0,0.0,12,1,5,4,0,3,8,0,0,0,13,1,1,7,0,5,0,0,2,211,1,0,1,1,0,14,10,15,2,19,1,4,0,0,105,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\errorlevelanalysis\ImageStandardizer.java,com.gc.fakeimagedetection.core.errorlevelanalysis.ImageStandardizer,class,5,8,3,5,10,1,0,13,5,0.69387764,0.0,0.0,7,0,5,0,0,2,7,0,0,0,7,0,0,0,0,7,0,0,2,51,2,0,1,0,0,7,2,13,2,8,1,0,0,0,48,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\errorlevelanalysis\ErrorLevelAnalyzer.java,com.gc.fakeimagedetection.core.errorlevelanalysis.ErrorLevelAnalyzer,class,9,11,2,9,17,3,0,29,0,0.6190477,0.0,0.0,7,0,6,1,0,0,6,0,0,0,9,0,0,0,0,9,0,0,4,123,2,2,0,3,2,29,14,45,17,34,3,0,0,0,93,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\listener\NeuralnetProcessorListener.java,com.gc.fakeimagedetection.core.listener.NeuralnetProcessorListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\metadata\MetadataProcessor.java,com.gc.fakeimagedetection.core.metadata.MetadataProcessor,class,4,6,2,4,6,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,1,1,0,0,2,0,0,3,25,0,3,0,1,0,4,0,6,2,3,3,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\FIDNetworkTrainer.java,com.gc.fakeimagedetection.core.FIDNetworkTrainer,class,3,4,1,3,6,1,0,10,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,3,0,0,3,0,0,3,0,3,32,1,0,1,0,0,5,9,10,1,10,1,0,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\NetworkcreatorController.java,com.gc.fakeimagedetection.ui.controllers.NetworkcreatorController,class,16,16,0,16,19,1,0,22,0,0.56666666,0.0,0.0,3,0,2,1,0,0,2,0,0,0,10,0,0,10,0,0,0,0,6,111,1,1,1,0,0,36,0,25,1,22,1,0,0,0,75,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\listener\BatchImageTestingListener.java,com.gc.fakeimagedetection.core.listener.BatchImageTestingListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\listener\NeuralNetworkCreationCompleteListener.java,com.gc.fakeimagedetection.core.listener.NeuralNetworkCreationCompleteListener,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\SingleImageCheck.java,com.gc.fakeimagedetection.ui.SingleImageCheck,class,5,6,1,5,2,2,0,12,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,2,1,2,0,2,1,0,0,1,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\core\listener\ErrorLevelAnalysisUpdateListener.java,com.gc.fakeimagedetection.core.listener.ErrorLevelAnalysisUpdateListener,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
