file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\alert\Calert.java,com.gc.fakeimagedetection.ui.alert.Calert,"showAlert/3[java.lang.String,java.lang.String,Alert.AlertType]",false,7,2,17,17,0,1,4,7,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,startTraining/1[com.gc.fakeimagedetection.ui.controllers.ActionEvent],false,114,4,6,0,6,6,17,41,1,5,1,17,0,0,0,2,1,0,12,0,8,0,2,0,0,0,35,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,batchImageTrainingCompleted/0,false,201,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,loadImageSource/1[com.gc.fakeimagedetection.ui.controllers.ActionEvent],false,100,4,1,0,1,2,8,11,1,1,1,8,0,0,0,1,0,0,4,0,2,1,1,0,0,0,18,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,"batchImageTrainingUpdate/2[int,java.lang.Double]",false,207,0,1,0,1,1,1,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,loadNeuralNetwork/1[com.gc.fakeimagedetection.ui.controllers.ActionEvent],false,169,4,1,0,1,2,9,12,1,1,1,9,0,0,0,1,0,0,6,0,2,1,1,0,0,0,16,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,loadNewTrainingWindow/1[com.gc.fakeimagedetection.ui.controllers.ActionEvent],false,186,7,1,0,1,2,9,14,0,3,1,9,0,0,0,0,1,0,3,0,3,0,1,0,0,0,25,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,"initialize/2[java.net.URL,java.util.ResourceBundle]",false,89,1,0,0,0,1,4,7,0,0,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\controllers\TrainingInterfaceController.java,com.gc.fakeimagedetection.ui.controllers.TrainingInterfaceController,saveLearnedNetwork/1[com.gc.fakeimagedetection.ui.controllers.ActionEvent],false,161,4,1,0,1,1,6,6,0,2,1,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\FakeImageDetection\src\com\gc\fakeimagedetection\ui\alert\CommonUtil.java,com.gc.fakeimagedetection.ui.alert.CommonUtil,attachIcon/1[com.gc.fakeimagedetection.ui.alert.Stage],false,11,3,7,7,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,false
