file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,innerclass,10,10,0,10,14,2,0,7,78,0.0,0.0,0.0,13,0,12,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,2,0,0,0,0,0,0,0,0,14,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,class,7,10,3,7,45,1,0,50,0,0.14705883,0.0,0.0,34,2,33,1,0,0,33,0,0,0,1,0,0,1,0,0,0,0,3,158,27,4,0,0,0,6,18,19,1,18,1,0,1,0,82,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$RealVector$Iterator,innerclass,6,6,0,6,5,2,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\test\java\com\github\jfasttext\JFastTextTest.java,com.github.jfasttext.JFastTextTest,class,4,4,0,4,10,1,0,22,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,71,0,1,0,0,0,56,1,16,0,16,1,0,0,0,79,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FastTextApi,innerclass,14,14,0,14,48,2,0,5,1081,0.0,0.0,0.0,47,0,45,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,0,0,7,0,0,0,0,0,0,0,0,66,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$StringVector$Iterator,innerclass,7,7,0,7,5,2,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$RealVector,innerclass,9,9,0,9,31,3,0,10,276,0.0,0.0,0.0,24,0,22,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,85,7,2,3,0,0,7,12,7,3,6,1,0,1,0,30,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\config\FastTextWrapper.java,com.github.jfasttext.config.FastTextWrapper,class,5,6,1,5,1,1,1,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPairVector,innerclass,10,10,0,10,25,2,0,11,171,0.0,0.0,0.0,19,0,17,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,52,3,2,1,0,0,12,4,2,0,2,1,0,0,0,22,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText$ProbLabel,innerclass,0,0,0,0,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,11,1,0,0,0,0,1,0,2,0,2,0,0,0,0,6,9,0
