file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,(initializer 5),false,207,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,second/0,false,218,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,second/1[com.github.jfasttext.BytePointer],false,218,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,FloatStringPair/1[com.github.jfasttext.Pointer],true,209,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,"FloatStringPair/2[float,com.github.jfasttext.BytePointer]",true,210,2,1,0,1,1,1,4,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,first/1[float],false,217,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,"put/2[float,com.github.jfasttext.BytePointer]",false,221,2,3,1,2,1,2,5,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,put/1[com.github.jfasttext.FastTextWrapper.FloatStringPair],false,214,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,"put/2[float,java.lang.String]",false,227,1,3,1,2,1,2,5,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,second/1[java.lang.String],false,219,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,first/0,false,217,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,"FloatStringPair/2[float,java.lang.String]",true,211,1,1,0,1,1,1,4,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,FloatStringPair/0,true,212,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$FloatStringPair,allocate/0,false,213,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getNWords/0,false,96,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,stringVec2Strings/1[com.github.jfasttext.FastTextWrapper.StringVector],false,180,1,4,2,2,2,4,7,1,2,1,4,0,0,1,0,0,0,0,1,2,0,1,0,0,0,6,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,"predictProba/2[java.lang.String,int]",false,73,3,7,2,5,3,6,13,1,5,2,6,0,0,1,0,0,0,1,2,5,0,1,0,0,0,16,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getWords/0,false,100,2,3,1,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getMinn/0,false,160,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getMaxn/0,false,164,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getBucket/0,false,156,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getDim/0,false,120,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,loadModel/1[java.lang.String],false,25,1,9,7,2,3,3,9,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getLabels/0,false,108,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getPretrainedVectorsFileName/0,false,176,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,"predict/2[java.lang.String,int]",false,56,2,4,1,3,3,5,11,1,3,2,5,0,0,1,0,0,0,1,2,3,0,1,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,predictProba/1[java.lang.String],false,68,2,3,2,1,2,3,4,1,1,1,3,1,1,0,0,0,0,0,3,1,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getNSampledNegatives/0,false,140,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,"test/2[java.lang.String,int]",false,44,1,2,1,1,2,1,6,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,predict/1[java.lang.String],false,51,1,2,1,1,2,3,4,1,1,1,3,1,1,0,0,0,0,0,3,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getNLabels/0,false,104,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getLrUpdateRate/0,false,116,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,JFastText/0,true,13,1,12,11,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getWordNgrams/0,false,144,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getVector/1[java.lang.String],false,87,2,4,1,3,2,4,8,1,3,1,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getContextWindowSize/0,false,124,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,main/1[java.lang.String[]],false,201,1,2,0,2,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getLabelPrefix/0,false,172,1,2,1,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getLr/0,false,112,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,unloadModel/0,false,36,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,test/1[java.lang.String],false,40,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getModelName/0,false,152,1,2,1,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getSamplingThreshold/0,false,168,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,runCmd/1[java.lang.String[]],false,17,2,6,5,1,1,2,6,0,1,1,2,0,0,0,0,0,0,1,4,2,1,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getLossName/0,false,148,1,2,1,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getEpoch/0,false,128,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getMinCount/0,false,132,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\JFastText.java,com.github.jfasttext.JFastText,getMinCountLabel/0,false,136,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$RealVector$Iterator,Iterator/0,true,126,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JFastText\src\main\java\com\github\jfasttext\FastTextWrapper.java,com.github.jfasttext.FastTextWrapper$RealVector$Iterator,Iterator/1[com.github.jfasttext.Pointer],true,125,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
