file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\canonicizers\StripComments.java,com.jgaap.canonicizers.StripComments$LanguageEnum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\distances\SoergleDistance.java,com.jgaap.distances.SoergleDistance,class,4,5,1,4,5,3,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,23,4,1,0,0,0,2,3,9,2,6,1,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\distances\IntersectionDistanceTest.java,com.jgaap.distances.IntersectionDistanceTest,class,7,7,0,7,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,54,0,0,3,0,0,21,9,16,0,5,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventCullers\RangeCullerTest.java,com.jgaap.eventCullers.RangeCullerTest,class,6,6,0,6,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,32,1,7,0,7,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventDrivers\PorterStemmerEventDriverTest.java,com.jgaap.eventDrivers.PorterStemmerEventDriverTest,class,6,6,0,6,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,166,0,0,0,0,1,175,0,5,1,5,0,0,0,0,202,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\distances\ChordDistanceTest.java,com.jgaap.distances.ChordDistanceTest,class,7,7,0,7,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,0,0,0,20,4,7,0,5,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,class,3,34,31,3,13,1,12,1,33,0.775,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,37,7,0,3,0,0,4,0,8,0,4,1,0,0,0,122,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventDrivers\SyllableTransitionEventDriverTest.java,com.jgaap.eventDrivers.SyllableTransitionEventDriverTest,class,7,7,0,7,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,0,0,1,83,0,9,1,6,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventDrivers\V24LetterWordEventDriverTest.java,com.jgaap.eventDrivers.V24LetterWordEventDriverTest,class,7,7,0,7,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,1,50,2,5,1,5,0,0,0,0,171,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\classifiers\MahalanobisDistance.java,com.jgaap.classifiers.MahalanobisDistance,class,13,14,1,13,12,3,0,25,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,6,64,4,6,1,0,3,2,11,23,6,19,3,0,0,0,80,1,0
