file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\distances\SoergleDistance.java,com.jgaap.distances.SoergleDistance,displayName/0,false,22,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\distances\SoergleDistance.java,com.jgaap.distances.SoergleDistance,tooltipText/0,false,27,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\distances\SoergleDistance.java,com.jgaap.distances.SoergleDistance,"distance/2[com.jgaap.util.Histogram,com.jgaap.util.Histogram]",false,38,3,4,1,3,2,5,12,1,6,2,5,0,0,1,0,0,0,0,3,9,2,1,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\distances\SoergleDistance.java,com.jgaap.distances.SoergleDistance,showInGUI/0,false,32,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\distances\IntersectionDistanceTest.java,com.jgaap.distances.IntersectionDistanceTest,testDistance/0,false,43,7,8,0,8,4,5,52,0,5,0,5,0,0,0,3,0,0,21,9,16,0,0,0,0,0,15,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventCullers\RangeCullerTest.java,com.jgaap.eventCullers.RangeCullerTest,testProcess/0,false,18,6,7,0,7,1,7,45,0,7,0,7,0,0,0,0,0,0,32,1,7,0,0,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\eventDrivers\PorterStemmerEventDriverTest.java,com.jgaap.eventDrivers.PorterStemmerEventDriverTest,testCreateEventSetDocumentSet/0,false,56,6,7,0,7,1,6,164,0,5,0,6,0,0,0,0,0,1,175,0,5,1,0,0,0,0,159,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\unittests\com\jgaap\distances\ChordDistanceTest.java,com.jgaap.distances.ChordDistanceTest,testDistance/0,false,18,7,8,0,8,1,6,34,0,5,0,6,0,0,0,0,0,0,20,4,7,0,0,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,setParseable/1[java.lang.Boolean],false,88,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,Language/0,true,59,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,getLanguage/0,false,76,0,12,12,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,"Language/3[java.lang.String,java.lang.String,java.lang.String]",true,50,0,0,0,0,4,0,5,0,0,3,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,35,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,isParseable/0,false,96,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JGAAP\src\com\jgaap\generics\Language.java,com.jgaap.generics.Language,parseLanguage/1[java.lang.String],false,68,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,true
