file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,SimpleListTest/0,true,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,setUp/0,false,34,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,tearDownClass/0,false,29,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,testGet/0,false,47,2,0,0,0,4,6,33,0,4,0,6,0,0,0,0,3,0,15,10,4,3,1,0,0,0,21,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,testSize/0,false,98,2,0,0,0,1,5,13,0,1,0,5,0,0,0,0,0,0,6,5,1,0,0,0,0,0,10,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,setUpClass/0,false,24,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,testAdd/0,false,114,2,0,0,0,1,4,10,0,1,0,4,0,0,0,0,0,0,7,5,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,testSet/0,false,130,2,0,0,0,4,8,37,0,4,0,8,0,0,0,0,3,0,15,18,4,3,1,0,0,0,19,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\test\jsat\utils\SimpleListTest.java,jsat.utils.SimpleListTest,tearDown/0,false,39,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\JSAT\JSAT\src\jsat\linear\vectorcollection\ScoreDTLazy.java,jsat.linear.vectorcollection.ScoreDTLazy,"score/3[jsat.linear.vectorcollection.IndexNode,jsat.linear.vectorcollection.IndexNode,double]",false,26,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
