file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier$Anonymous1,"compare/2[de.daslaboratorium.machinelearning.classifier.Classification<T,K>,de.daslaboratorium.machinelearning.classifier.Classification<T,K>]",false,77,3,2,0,2,3,4,5,1,1,2,4,0,0,0,1,0,1,0,2,2,0,1,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\example\RunnableExample.java,RunnableExample,main/1[java.lang.String[]],false,8,3,6,0,6,1,8,13,0,5,1,8,0,0,0,0,0,1,10,1,5,0,0,0,0,0,16,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\IFeatureProbability.java,de.daslaboratorium.machinelearning.classifier.IFeatureProbability,"featureProbability/2[T,K]",false,15,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier,classifyDetailed/1[java.util.Collection<T>],false,117,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier,categoryProbabilities/1[java.util.Collection<T>],false,63,5,4,0,4,2,3,12,1,1,1,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,25,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier,classify/1[java.util.Collection<T>],false,100,4,1,0,1,2,3,7,2,1,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier,"featuresProbabilityProduct/2[java.util.Collection<T>,K]",false,33,3,1,0,1,2,1,5,1,1,2,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,22,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\bayes\BayesClassifier.java,de.daslaboratorium.machinelearning.classifier.bayes.BayesClassifier,"categoryProbability/2[java.util.Collection<T>,K]",false,49,4,3,0,3,1,3,3,1,0,2,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,17,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\Classification.java,de.daslaboratorium.machinelearning.classifier.Classification,"Classification/2[java.util.Collection<T>,K]",true,48,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\Java-Naive-Bayes-Classifier\src\main\java\de\daslaboratorium\machinelearning\classifier\Classification.java,de.daslaboratorium.machinelearning.classifier.Classification,"Classification/3[java.util.Collection<T>,K,float]",true,62,2,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,true
