file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity,onDestroy/0,false,60,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity,showStatus/0,false,37,0,2,1,1,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity,onResume/0,false,48,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity,onCreate/1[com.pd.lookme.Bundle],false,19,3,4,0,4,1,10,11,0,0,1,10,1,1,0,0,0,0,2,0,2,1,0,0,0,0,19,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity,onPause/0,false,54,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\test\java\com\pd\lookatme\ExampleUnitTest.java,com.pd.lookatme.ExampleUnitTest,addition_isCorrect/0,false,14,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\androidTest\java\com\pd\lookme\ExampleInstrumentedTest.java,com.pd.lookme.ExampleInstrumentedTest,useAppContext/0,false,20,2,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$EyesTracker,EyesTracker/0,true,149,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$EyesTracker,onMissing/1[Detector.Detections<Face>],false,172,2,1,0,1,1,2,5,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$EyesTracker,"onUpdate/2[Detector.Detections<Face>,Face]",false,154,2,4,0,4,5,5,12,0,0,2,5,0,0,0,0,0,0,2,0,2,0,2,0,0,0,20,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$EyesTracker,onDone/0,false,179,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\test\java\com\pd\lookme\ExampleUnitTest.java,com.pd.lookme.ExampleUnitTest,addition_isCorrect/0,false,14,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\androidTest\java\com\pd\lookatme\ExampleInstrumentedTest.java,com.pd.lookatme.ExampleInstrumentedTest,useAppContext/0,false,20,2,0,0,0,1,3,4,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$FaceTracker,"onUpdate/2[Detector.Detections<Face>,Face]",false,192,2,4,0,4,3,4,14,0,0,2,4,0,0,0,0,0,0,5,2,3,0,2,0,0,0,19,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$FaceTracker,onMissing/1[Detector.Detections<Face>],false,211,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$FaceTracker,onDone/0,false,216,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe$FaceTracker,FaceTracker/0,true,187,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\app\src\main\java\com\pd\lookme\MainActivity.java,com.pd.lookme.MainActivity$Anonymous1,run/0,false,40,1,1,0,1,1,2,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe,paused/0,false,68,1,3,1,2,3,3,8,0,0,0,3,2,1,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe,"LookAtMe/2[com.pd.lookatme.Context,com.pd.lookatme.AttributeSet]",true,88,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe,getTimesSmiled/0,false,126,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\LookAtMe\LookAtMe\src\main\java\com\pd\lookatme\LookAtMe.java,com.pd.lookatme.LookAtMe,"LookAtMe/3[com.pd.lookatme.Context,com.pd.lookatme.AttributeSet,int]",true,92,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
