file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\app\src\main\java\com\king\mlkit\vision\app\util\HexUtil.java,com.king.mlkit.vision.app.util.HexUtil,class,3,4,1,3,11,1,0,9,6,0.0,0.0,0.0,4,3,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,43,5,2,1,0,6,2,21,16,13,9,2,0,0,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-common\src\test\java\com\king\mlkit\vision\common\ExampleUnitTest.java,com.king.mlkit.vision.common.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-text-recognition\src\androidTest\java\com\king\mlkit\vision\text\ExampleInstrumentedTest.java,com.king.mlkit.vision.text.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-barcode-scanning\src\main\java\com\king\mlkit\vision\barcode\BarcodeCameraScanActivity.java,com.king.mlkit.vision.barcode.BarcodeCameraScanActivity,class,7,9,2,7,6,2,1,3,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,19,3,0,2,0,0,0,1,2,0,2,1,0,0,0,22,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-common\src\androidTest\java\com\king\mlkit\vision\common\ExampleInstrumentedTest.java,com.king.mlkit.vision.common.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-detection\src\main\java\com\king\mlkit\vision\face\FaceCameraScanActivity.java,com.king.mlkit.vision.face.FaceCameraScanActivity,class,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-pose-detection-accurate\src\androidTest\java\com\king\mlkit\vision\pose\accurate\ExampleInstrumentedTest.java,com.king.mlkit.vision.pose.accurate.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-segmentation-selfie\src\main\java\com\king\mlkit\vision\segmentation\analyze\SegmentationAnalyzer.java,com.king.mlkit.vision.segmentation.analyze.SegmentationAnalyzer,class,7,9,2,7,4,2,0,5,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,1,0,0,0,0,2,0,1,1,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-text-recognition\src\main\java\com\king\mlkit\vision\text\TextCameraScanFragment.java,com.king.mlkit.vision.text.TextCameraScanFragment,class,5,5,0,5,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-detection\src\androidTest\java\com\king\mlkit\vision\face\ExampleInstrumentedTest.java,com.king.mlkit.vision.face.ExampleInstrumentedTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,19,1,0
