file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\app\src\main\java\com\king\mlkit\vision\app\util\HexUtil.java,com.king.mlkit.vision.app.util.HexUtil,hexStringToByte/1[java.lang.String],false,39,3,1,0,1,4,3,23,1,6,1,3,1,1,1,1,0,3,2,12,13,8,2,0,0,0,11,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\app\src\main\java\com\king\mlkit\vision\app\util\HexUtil.java,com.king.mlkit.vision.app.util.HexUtil,toByte/1[char],false,73,0,1,1,0,3,0,5,3,0,1,0,0,0,0,0,0,3,0,5,0,5,1,0,0,0,4,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\app\src\main\java\com\king\mlkit\vision\app\util\HexUtil.java,com.king.mlkit.vision.app.util.HexUtil,HexUtil/0,true,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\app\src\main\java\com\king\mlkit\vision\app\util\HexUtil.java,com.king.mlkit.vision.app.util.HexUtil,bytesToHexString/1[byte[]],false,19,1,0,0,0,3,7,10,1,3,1,7,0,0,1,0,0,0,0,4,3,0,2,0,0,0,13,25,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-common\src\test\java\com\king\mlkit\vision\common\ExampleUnitTest.java,com.king.mlkit.vision.common.ExampleUnitTest,addition_isCorrect/0,false,14,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-text-recognition\src\androidTest\java\com\king\mlkit\vision\text\ExampleInstrumentedTest.java,com.king.mlkit.vision.text.ExampleInstrumentedTest,useAppContext/0,false,36,2,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-barcode-scanning\src\main\java\com\king\mlkit\vision\barcode\BarcodeCameraScanActivity.java,com.king.mlkit.vision.barcode.BarcodeCameraScanActivity,createAnalyzer/0,false,57,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-barcode-scanning\src\main\java\com\king\mlkit\vision\barcode\BarcodeCameraScanActivity.java,com.king.mlkit.vision.barcode.BarcodeCameraScanActivity,initUI/0,false,42,1,1,0,1,3,3,7,0,1,0,3,1,1,0,2,0,0,0,1,2,0,1,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-barcode-scanning\src\main\java\com\king\mlkit\vision\barcode\BarcodeCameraScanActivity.java,com.king.mlkit.vision.barcode.BarcodeCameraScanActivity,getLayoutId/0,false,67,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-barcode-scanning\src\main\java\com\king\mlkit\vision\barcode\BarcodeCameraScanActivity.java,com.king.mlkit.vision.barcode.BarcodeCameraScanActivity,getViewfinderViewId/0,false,77,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-common\src\androidTest\java\com\king\mlkit\vision\common\ExampleInstrumentedTest.java,com.king.mlkit.vision.common.ExampleInstrumentedTest,useAppContext/0,false,21,2,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-detection\src\main\java\com\king\mlkit\vision\face\FaceCameraScanActivity.java,com.king.mlkit.vision.face.FaceCameraScanActivity,createAnalyzer/0,false,38,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-pose-detection-accurate\src\androidTest\java\com\king\mlkit\vision\pose\accurate\ExampleInstrumentedTest.java,com.king.mlkit.vision.pose.accurate.ExampleInstrumentedTest,useAppContext/0,false,21,2,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-segmentation-selfie\src\main\java\com\king\mlkit\vision\segmentation\analyze\SegmentationAnalyzer.java,com.king.mlkit.vision.segmentation.analyze.SegmentationAnalyzer,SegmentationAnalyzer/0,true,37,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-segmentation-selfie\src\main\java\com\king\mlkit\vision\segmentation\analyze\SegmentationAnalyzer.java,com.king.mlkit.vision.segmentation.analyze.SegmentationAnalyzer,SegmentationAnalyzer/1[com.king.mlkit.vision.segmentation.analyze.SelfieSegmenterOptions],true,41,1,0,0,0,2,4,8,0,0,1,4,0,0,0,1,0,0,0,0,2,0,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-segmentation-selfie\src\main\java\com\king\mlkit\vision\segmentation\analyze\SegmentationAnalyzer.java,com.king.mlkit.vision.segmentation.analyze.SegmentationAnalyzer,detectInImage/1[com.king.mlkit.vision.segmentation.analyze.InputImage],false,54,4,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-text-recognition\src\main\java\com\king\mlkit\vision\text\TextCameraScanFragment.java,com.king.mlkit.vision.text.TextCameraScanFragment,createAnalyzer/0,false,36,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-detection\src\androidTest\java\com\king\mlkit\vision\face\ExampleInstrumentedTest.java,com.king.mlkit.vision.face.ExampleInstrumentedTest,useAppContext/0,false,36,2,0,0,0,1,4,4,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-mesh-detection\src\main\java\com\king\mlkit\vision\facemesh\FaceMeshCameraScanFragment.java,com.king.mlkit.vision.facemesh.FaceMeshCameraScanFragment,createAnalyzer/0,false,38,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-object-detection\src\test\java\com\king\mlkit\vision\object\ExampleUnitTest.java,com.king.mlkit.vision.object.ExampleUnitTest,addition_isCorrect/0,false,29,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-pose-detection-accurate\src\main\java\com\king\mlkit\vision\pose\accurate\AccuratePoseCameraScanActivity.java,com.king.mlkit.vision.pose.accurate.AccuratePoseCameraScanActivity,createAnalyzer/0,false,36,4,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\MLKit\mlkit-face-mesh-detection\src\main\java\com\king\mlkit\vision\facemesh\analyze\FaceMeshDetectionAnalyzer.java,com.king.mlkit.vision.facemesh.analyze.FaceMeshDetectionAnalyzer,FaceMeshDetectionAnalyzer/0,true,39,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
