file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp$Anonymous1,mousePressed/1[java.awt.event.MouseEvent],false,166,1,1,0,1,3,3,8,1,0,1,3,0,0,0,1,0,0,0,3,2,1,1,0,0,1,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp$Anonymous2,done/0,false,473,1,2,0,2,3,5,15,0,1,0,5,0,0,0,0,1,0,0,0,3,0,1,0,0,0,14,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp$Anonymous2,doInBackground/0,false,466,2,2,0,2,1,3,5,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,"setProperty/2[core.Config,java.lang.String]",false,110,2,4,3,1,1,1,3,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,SimpleProperties/1[java.lang.String],true,79,1,4,1,3,5,5,17,0,1,1,5,3,1,0,0,1,0,3,0,3,0,3,0,0,0,24,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,checkPath/0,false,165,0,1,1,0,4,6,17,3,1,0,6,0,0,0,0,1,0,2,0,1,0,3,0,0,0,12,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getInstance/0,false,70,1,7,6,1,2,1,7,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,17,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getBooleanProperty/1[java.lang.String],false,123,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,store/0,false,140,0,2,2,0,2,4,10,0,1,0,4,0,0,0,0,1,0,3,0,1,1,1,0,0,0,13,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getIntProperty/1[java.lang.String],false,131,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getIntProperty/1[core.Config],false,135,2,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getProperty/1[java.lang.String],false,115,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getBooleanProperty/1[core.Config],false,127,2,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,getProperty/1[core.Config],false,119,2,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,updateProperties/0,false,151,1,2,1,1,3,4,11,1,1,0,4,0,0,1,0,0,0,1,0,2,1,2,0,0,0,8,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.SimpleProperties,"setProperty/2[java.lang.String,java.lang.String]",false,101,1,2,1,1,2,5,7,0,0,2,5,1,1,0,0,0,0,3,0,0,1,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\Upscale.java,core.Upscale,Upscale/0,true,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\Upscale.java,core.Upscale,"run/2[java.lang.String,java.lang.String]",false,15,5,4,1,3,9,28,65,7,12,2,28,0,0,0,1,1,0,29,12,16,9,2,0,0,0,59,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,"Config/2[java.lang.String,java.lang.Object]",true,25,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,setValue/1[int],false,40,1,2,0,2,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,getString/0,false,45,1,4,2,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,setValue/1[java.lang.String],false,31,1,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,getInt/0,false,53,1,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,setValue/1[boolean],false,36,1,3,1,2,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\SimpleProperties.java,core.Config,getBoolean/0,false,49,1,4,2,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,initialize/0,false,140,2,4,1,3,2,38,207,0,40,0,38,2,1,0,1,0,3,38,67,54,4,2,1,0,1,94,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,printStopwatch/0,false,490,1,2,1,1,7,3,17,0,4,0,3,1,1,0,2,0,0,10,6,12,3,2,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,getMode/0,false,543,0,1,1,0,3,3,5,2,2,0,3,0,0,1,0,0,0,1,2,2,0,2,0,0,0,4,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,createWorker/0,false,463,1,2,1,1,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,setSkin/1[boolean],false,572,1,4,2,2,4,5,12,0,0,1,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,MainApp/0,true,131,1,3,1,2,1,6,8,0,0,0,6,2,2,0,0,0,0,3,0,2,0,0,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,getPath/0,false,108,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,"write/2[java.lang.String,java.awt.Color]",false,513,0,3,3,0,4,12,20,0,3,2,12,0,0,0,1,1,0,4,5,5,1,1,0,0,0,22,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,"enableComponents/2[java.awt.Container,boolean]",false,533,1,3,2,1,3,3,9,0,1,2,3,1,0,1,0,0,0,0,0,1,0,2,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,setSelected/0,false,551,1,2,1,1,3,7,8,0,2,0,7,0,0,1,0,0,0,0,0,2,0,2,0,0,0,7,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,main/1[java.lang.String[]],false,117,1,3,0,3,2,6,15,0,0,1,6,2,1,0,0,1,0,0,0,1,0,2,0,0,1,10,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,startTabbedPanel/0,false,561,1,2,1,1,4,3,17,0,1,0,3,0,0,0,0,0,0,3,6,4,0,1,0,0,0,4,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\PNG-Upscale\src\main\java\core\MainApp.java,core.MainApp,setMode/1[boolean],false,400,2,4,2,2,3,7,22,1,0,1,7,1,1,0,0,0,0,1,0,0,0,1,0,0,0,19,1,0,false
