file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,class,5,8,3,5,199,1,0,74,2485,0.0,0.0,0.0,71,70,66,5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,123,494,136,13,36,11,8,23,28,47,15,40,3,0,0,0,103,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\activity\CameraActivity.java,com.tfcamerademo.activity.CameraActivity,class,7,8,1,7,6,2,0,12,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,1,0,0,1,5,6,0,2,2,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\model\TensorFlowImageClassifier2.java,com.tfcamerademo.model.TensorFlowImageClassifier2$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\Camera2BasicFragment3.java,com.tfcamerademo.Camera2BasicFragment3$ErrorDialog$Anonymous7,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\ConstUtils.java,com.tfcamerademo.utils.ConstUtils$MemoryUnit,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\Camera2BasicFragment3.java,com.tfcamerademo.Camera2BasicFragment3$ErrorDialog,innerclass,7,7,0,7,2,2,0,8,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,0,0,0,1,0,4,0,4,0,1,0,0,27,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\Camera2BasicFragment2.java,com.tfcamerademo.Camera2BasicFragment2$ErrorDialog,innerclass,7,7,0,7,2,2,0,8,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,0,0,0,1,0,4,0,4,0,1,0,0,27,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\Camera2BasicFragment2.java,com.tfcamerademo.Camera2BasicFragment2$Anonymous1,anonymous,3,3,0,3,4,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\Camera2BasicFragment2.java,com.tfcamerademo.Camera2BasicFragment2$Anonymous2,anonymous,6,6,0,6,4,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,4,0,1,1,0,0,0,17,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\SizeUtils.java,com.tfcamerademo.utils.SizeUtils,class,5,5,0,5,7,1,0,10,10,0.8,0.0,0.0,5,4,4,1,0,0,4,0,0,0,1,1,0,1,0,0,0,0,0,40,1,1,1,0,2,3,5,9,3,7,1,1,1,0,39,1,0
