file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"readFile2String/2[java.io.File,java.lang.String]",false,905,1,2,1,1,3,2,10,3,0,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,14,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,isFile/1[java.lang.String],false,131,1,2,0,2,1,2,3,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,getDirName/1[java.lang.String],false,1037,1,2,1,1,3,3,5,2,1,1,3,0,0,0,1,0,0,1,3,1,1,1,0,0,0,7,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,listFilesInDir/1[java.io.File],false,484,1,4,2,2,5,6,12,2,2,1,6,2,2,1,1,0,0,0,0,2,0,2,0,0,0,10,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,getFileName/1[java.lang.String],false,1060,1,2,1,1,3,3,5,2,1,1,3,0,0,0,1,0,0,0,2,1,1,1,0,0,0,7,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,deleteFile/1[java.lang.String],false,437,1,2,0,2,1,2,3,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"writeFileFromIS/3[java.lang.String,java.io.InputStream,boolean]",false,666,1,3,1,2,1,2,3,1,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,createFileByDeleteOldFile/1[java.io.File],false,211,1,2,1,1,7,7,12,5,0,1,7,1,1,0,1,1,0,0,0,0,0,1,0,0,0,16,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"listFilesInDirWithFilter/2[java.lang.String,java.lang.String]",false,537,1,2,0,2,1,2,3,1,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"moveFile/2[java.io.File,java.io.File]",false,393,1,2,1,1,1,1,3,1,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"listFilesInDirWithFilter/3[java.lang.String,java.io.FilenameFilter,boolean]",false,570,1,2,0,2,1,2,3,1,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"readFile2List/4[java.io.File,int,int,java.lang.String]",false,860,2,4,2,2,9,5,29,4,4,4,5,1,1,1,2,1,1,0,1,6,0,3,0,0,0,24,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,isDir/1[java.lang.String],false,111,1,2,0,2,1,2,3,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,createOrExistsFile/1[java.io.File],false,182,1,4,3,1,5,6,12,5,0,1,6,1,1,0,1,1,0,0,0,0,0,1,0,0,0,13,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"listFilesInDirWithFilter/2[java.io.File,java.io.FilenameFilter]",false,610,1,5,3,2,6,9,14,2,2,2,9,2,2,1,1,0,0,0,0,2,0,2,0,0,0,13,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TensorFlowAndroidDemo\app\src\main\java\com\tfcamerademo\utils\FileUtils.java,com.tfcamerademo.utils.FileUtils,"copyOrMoveFile/3[java.lang.String,java.lang.String,boolean]",false,280,1,2,0,2,1,2,3,1,0,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,true
