file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\rpc\impl\TaskStatus.java,com.linkedin.tony.rpc.impl.TaskStatus,enum,2,7,5,2,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\rpc\MetricWritable.java,com.linkedin.tony.rpc.MetricWritable,class,1,4,3,1,8,1,0,4,0,0.375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,30,2,0,0,0,0,0,0,6,0,2,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\util\ShutdownHookUtil.java,com.linkedin.tony.util.ShutdownHookUtil,class,1,2,1,1,9,1,0,7,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,31,3,0,2,2,0,5,0,0,3,0,1,0,0,0,51,1,3
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\rpc\GetTaskInfosResponse.java,com.linkedin.tony.rpc.GetTaskInfosResponse,interface,1,7,6,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-portal\app\hadoop\Configuration.java,hadoop.Configuration,class,6,10,4,6,4,1,0,6,0,0.53333336,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,5,0,5,0,0,3,0,1,26,2,0,1,0,0,3,0,7,4,7,1,0,0,0,36,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\test\java\com\linkedin\tony\TestTaskExecutor.java,com.linkedin.tony.TestTaskExecutor,class,3,3,0,3,3,1,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,0,13,4,10,1,9,1,0,0,0,35,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\rpc\impl\MetricsWritable.java,com.linkedin.tony.rpc.impl.MetricsWritable,class,3,7,4,3,9,1,0,10,0,0.14285715,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,31,2,2,0,0,0,0,1,6,0,4,1,0,0,1,30,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\runtime\HorovodRuntime.java,com.linkedin.tony.runtime.HorovodRuntime$HorovodAMAdapter,innerclass,13,13,0,13,25,2,0,46,15,0.71428573,0.0,0.0,7,0,5,2,0,0,5,0,0,0,5,0,0,5,0,0,0,0,4,106,17,0,8,0,0,19,1,18,6,20,2,0,0,4,109,0,9
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-cli\src\main\java\com\linkedin\tony\cli\ClusterSubmitter.java,com.linkedin.tony.cli.ClusterSubmitter,class,8,11,3,8,7,2,0,28,0,0.4375,0.0,0.0,4,1,3,1,0,0,3,0,0,0,4,1,0,4,0,0,1,0,9,58,2,0,0,3,0,6,2,12,4,11,2,0,0,1,82,1,5
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\util\ProtoUtils.java,com.linkedin.tony.util.ProtoUtils,class,3,3,0,3,3,1,0,19,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\rpc\GetTaskInfosRequest.java,com.linkedin.tony.rpc.GetTaskInfosRequest,interface,0,5,5,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\test\java\com\linkedin\tony\util\gpu\TestGpuDeviceInformationParser.java,com.linkedin.tony.util.gpu.TestGpuDeviceInformationParser,class,7,7,0,7,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4,6,5,0,5,0,0,0,0,31,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-portal\test\controllers\JobsMetadataPageControllerTest.java,controllers.JobsMetadataPageControllerTest,class,6,6,0,6,2,2,0,7,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,4,0,3,0,3,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\TonyConfigurationKeys.java,com.linkedin.tony.TonyConfigurationKeys,class,1,19,18,1,21,1,0,5,0,0.94665265,0.0,0.0,21,20,20,1,0,0,20,0,0,0,158,158,158,0,0,0,158,0,17,224,20,0,0,0,0,142,34,158,122,158,0,0,2,0,117,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\main\java\com\linkedin\tony\TonyConfig.java,com.linkedin.tony.TonyConfig,class,1,3,2,1,6,1,0,0,3,0.5,0.0,0.0,6,0,5,0,0,1,6,0,0,0,2,0,0,2,0,0,0,0,0,44,2,0,0,0,0,0,0,4,0,2,0,0,1,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\test\java\com\linkedin\tony\runtime\TestHorovodRuntime.java,com.linkedin.tony.runtime.TestHorovodRuntime,class,7,7,0,7,3,1,0,14,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,33,0,0,0,0,0,28,3,12,0,8,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TonY\tony-core\src\test\java\com\linkedin\tony\util\TestUtils.java,com.linkedin.tony.util.TestUtils,class,10,10,0,10,28,1,0,79,351,0.0,0.0,0.0,27,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,62,264,0,0,0,1,0,200,69,43,6,34,1,3,0,4,127,1,0
