file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\opencl\src\main\java\uk\ac\manchester\tornado\drivers\opencl\graal\lir\OCLControlFlow.java,uk.ac.manchester.tornado.drivers.opencl.graal.lir.OCLControlFlow$LoopBreakOp,innerclass,5,5,0,5,2,3,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\graal\nodes\SPIRVFMANode.java,uk.ac.manchester.tornado.drivers.spirv.graal.nodes.SPIRVFMANode,class,12,13,1,12,3,2,0,6,1,0.4166667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,1,0,3,0,1,0,0,22,1,0,0,0,0,2,0,8,0,8,0,0,0,0,35,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\graal\SPIRVCodeProvider.java,uk.ac.manchester.tornado.drivers.spirv.graal.SPIRVCodeProvider,class,9,10,1,9,9,1,0,2,34,0.7777778,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,32,7,0,0,0,0,2,2,1,0,1,0,0,0,0,66,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-benchmarks\src\main\java\uk\ac\manchester\tornado\benchmarks\rotateimage\JMHRotateImage.java,uk.ac.manchester.tornado.benchmarks.rotateimage.JMHRotateImage,class,14,15,1,14,3,1,0,15,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,1,15,2,1,2,0,0,1,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\mm\SPIRVFloatArrayWrapper.java,uk.ac.manchester.tornado.drivers.spirv.mm.SPIRVFloatArrayWrapper,class,4,4,0,4,6,2,0,4,15,0.0,0.0,0.0,6,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\SPIRVDeviceContext.java,uk.ac.manchester.tornado.drivers.spirv.SPIRVDeviceContext,class,37,62,25,37,70,1,2,58,1132,0.86885244,0.0,0.0,61,0,57,3,1,0,58,0,0,0,9,1,0,1,8,0,1,0,5,273,40,1,1,0,0,19,4,34,0,31,2,0,0,0,127,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\graal\lir\SPIRVBinary.java,uk.ac.manchester.tornado.drivers.spirv.graal.lir.SPIRVBinary$PrivateArrayAllocation,innerclass,7,7,0,7,2,4,0,3,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,24,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-api\src\main\java\uk\ac\manchester\tornado\api\profiler\ChromeEventTracer.java,uk.ac.manchester.tornado.api.profiler.ChromeEventTracer$Builder,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-drivers\spirv\src\main\java\uk\ac\manchester\tornado\drivers\spirv\graal\asm\SPIRVAssembler.java,uk.ac.manchester.tornado.drivers.spirv.graal.asm.SPIRVAssembler$FunctionTable,innerclass,1,1,0,1,6,1,0,1,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,2,0,1,0,0,0,25,4,1,2,0,0,0,1,5,0,5,2,0,0,0,20,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\TornadoVM\tornado-runtime\src\main\java\uk\ac\manchester\tornado\runtime\common\KernelStackFrame.java,uk.ac.manchester.tornado.runtime.common.KernelStackFrame,interface,1,10,9,1,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,1,0
