file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\system-service-parent\system-service\src\main\java\com\platform\modules\system\domain\Job.java,com.platform.modules.system.domain.Job,class,13,19,6,13,5,2,0,3,0,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,2,19,4,0,3,0,0,6,0,1,0,5,1,0,0,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\common\common-database\src\main\java\cn\datax\common\database\DbQuery.java,cn.datax.common.database.DbQuery,interface,3,6,3,3,13,1,0,0,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\system-service-parent\system-service\src\main\java\com\platform\modules\mnt\domain\App.java,com.platform.modules.mnt.domain.App,class,10,16,6,10,1,2,0,3,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,8,0,0,8,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,8,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-market-service-parent\data-market-service-mapping\src\main\java\cn\datax\service\data\market\mapping\factory\crypto\SHA256Crypto.java,cn.datax.service.data.market.mapping.factory.crypto.SHA256Crypto,class,1,2,1,1,4,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,19,3,0,0,1,0,1,0,2,0,1,1,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-compare-service-parent\data-compare-service\src\main\java\com\platform\common\antrl4\HiveSqlParser.java,com.platform.common.antrl4.HiveSqlParser$Single_quotedStringContext,innerclass,8,8,0,8,8,3,0,6,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,3,0,1,0,0,0,1,0,0,0,31,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-compare-service-parent\data-compare-service\src\main\java\com\platform\common\antrl4\HiveSqlParser.java,com.platform.common.antrl4.HiveSqlParser$Expr_case_searchedContext,innerclass,10,10,0,10,19,2,0,8,120,0.0,0.0,0.0,16,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,51,14,0,0,0,3,0,3,0,0,0,1,0,0,0,43,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\logging\src\main\java\com\platform\service\dto\LogQueryCriteria.java,com.platform.service.dto.LogQueryCriteria,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\system-service-parent\system-service\src\main\java\com\platform\modules\quartz\utils\QuartzManage.java,com.platform.modules.quartz.utils.QuartzManage,class,16,19,3,16,17,1,0,26,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,0,95,0,0,3,6,2,13,0,17,9,16,2,0,0,0,45,1,6
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-dts\src\main\java\com\platform\admin\dto\FlinkXJsonBuildDto.java,com.platform.admin.dto.FlinkXJsonBuildDto,class,11,15,4,11,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-compare-service-parent\data-compare-service\src\main\java\com\platform\common\web\page\TableDataInfo.java,com.platform.common.web.page.TableDataInfo,class,0,3,3,0,10,1,0,0,29,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,1,0,5,0,0,1,0,0,37,4,0,0,0,0,0,1,7,0,5,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-dts\src\main\java\com\platform\admin\entity\JobProject.java,com.platform.admin.entity.JobProject,class,4,7,3,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,9,0,0,0,8,0,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-dts\src\main\java\com\platform\admin\filter\JWTAuthorizationFilter.java,com.platform.admin.filter.JWTAuthorizationFilter,class,10,11,1,10,8,2,0,20,3,0.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,38,4,0,2,1,0,4,0,5,0,5,2,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-dts\src\main\java\com\platform\admin\config\SwaggerConfig.java,com.platform.admin.config.SwaggerConfig,class,10,11,1,10,2,1,0,10,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\system-service-parent\system-service\src\main\java\com\platform\modules\system\service\dto\RoleQueryCriteria.java,com.platform.modules.system.service.dto.RoleQueryCriteria,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-visual-service-parent\data-visual-service\src\main\java\cn\datax\service\data\visual\dao\ScreenDao.java,cn.datax.service.data.visual.dao.ScreenDao,interface,7,8,1,7,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\email-service-parent\email-service\src\main\java\cn\datax\service\email\mapstruct\EmailMapper.java,cn.datax.service.email.mapstruct.EmailMapper,interface,2,4,2,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-visual-service-parent\data-visual-service\src\main\java\cn\datax\service\data\visual\dao\ChartDao.java,cn.datax.service.data.visual.dao.ChartDao,interface,7,9,2,7,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\common\common-core\src\main\java\cn\datax\common\core\DataConstant.java,cn.datax.common.core.DataConstant$ApiState,enum,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,13,2,0,0,0,0,6,0,2,0,2,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-system-service-parent\data-system-service\src\main\java\cn\datax\service\system\config\AsyncConfig.java,cn.datax.service.system.config.AsyncConfig,class,4,4,0,4,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,5,1,0,1,0,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-quality-service-parent\data-quality-service\src\main\java\cn\datax\service\data\quality\schedule\rules\RuleItem.java,cn.datax.service.data.quality.schedule.rules.RuleItem,interface,1,9,8,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-market-service-parent\data-market-service-integration\src\main\java\cn\datax\service\data\market\integration\service\impl\ServiceExecuteServiceImpl.java,cn.datax.service.data.market.integration.service.impl.ServiceExecuteServiceImpl,class,19,19,0,19,16,1,0,32,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,1,79,1,2,1,4,0,10,0,20,2,20,4,2,0,0,46,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-visual-service-parent\data-visual-service\src\main\java\cn\datax\service\data\visual\config\StartedUpRunner.java,cn.datax.service.data.visual.config.StartedUpRunner,class,6,6,0,6,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,10,0,0,0,0,0,11,0,1,2,3,1,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-rpc\src\main\java\com\platform\rpc\remoting\invoker\route\impl\XxlRpcLoadBalanceRandomStrategy.java,com.platform.rpc.remoting.invoker.route.impl.XxlRpcLoadBalanceRandomStrategy,class,1,2,1,1,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\system-service-parent\system-service\src\main\java\com\platform\modules\system\domain\User.java,com.platform.modules.system.domain.User,class,21,30,9,21,5,2,0,3,0,0.8666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,15,0,0,15,0,0,0,0,3,30,4,0,3,0,0,29,0,2,0,16,1,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-visual-service-parent\data-visual-service\src\main\java\cn\datax\service\data\visual\mapstruct\BoardMapper.java,cn.datax.service.data.visual.mapstruct.BoardMapper,interface,2,4,2,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\quartz-service-parent\quartz-service\src\main\java\cn\datax\service\quartz\config\StartedUpRunner.java,cn.datax.service.quartz.config.StartedUpRunner,class,10,10,0,10,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,2,0,3,13,0,0,0,0,0,11,0,2,2,5,1,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\service-data-dts-parent\service-data-rpc\src\main\java\com\platform\rpc\util\json\BasicJsonReader.java,com.platform.rpc.util.json.BasicJsonReader,class,3,5,2,3,48,1,0,27,45,1.0,0.0,0.0,10,4,2,8,0,0,2,0,0,0,1,1,0,1,0,0,0,0,12,154,21,4,18,2,0,9,21,28,3,20,2,0,0,0,59,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\codegen-service-parent\codegen-service\src\main\java\cn\datax\service\codegen\mapstruct\GenTableMapper.java,cn.datax.service.codegen.mapstruct.GenTableMapper,interface,5,7,2,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\alldata\studio\services\data-market-service-parent\data-market-service-mapping\src\main\java\cn\datax\service\data\market\mapping\factory\FactoryProducer.java,cn.datax.service.data.market.mapping.factory.FactoryProducer,class,4,4,0,4,3,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,1,0,1,1,0,0,0,11,1,0
