file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\psagent\matrix\transport\adapter\LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,class,5,6,1,5,4,3,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,16,3,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\spark-on-angel\graph\src\main\java\com\tencent\angel\graph\common\psf\param\IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,class,7,7,0,7,8,2,0,7,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,26,2,1,2,0,0,0,4,6,0,6,2,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\spark-on-angel\mllib\src\main\scala\com\tencent\angel\spark\ml\tree\sketch\QuantileSketchException.java,com.tencent.angel.spark.ml.tree.sketch.QuantileSketchException,class,1,3,2,1,4,5,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\ml\math2\storage\IntVectorStorage.java,com.tencent.angel.ml.math2.storage.IntVectorStorage,interface,4,19,15,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\localcluster\LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,class,7,11,4,7,5,2,0,8,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,0,23,1,0,0,1,0,2,2,2,1,2,1,0,0,0,54,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\ps\storage\vector\storage\LongDoubleVectorStorage.java,com.tencent.angel.ps.storage.vector.storage.LongDoubleVectorStorage,class,16,19,3,16,65,4,0,47,123,0.38709676,0.0,0.0,31,0,27,4,0,0,27,0,0,0,1,0,0,1,0,0,0,0,13,236,15,15,11,0,0,6,14,40,14,36,3,0,0,0,74,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\graph\src\main\java\com\tencent\angel\graph\client\getNodeAttrs\GetNodeAttrsResult.java,com.tencent.angel.graph.client.getNodeAttrs.GetNodeAttrsResult,class,3,4,1,3,3,2,0,0,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\ps\storage\vector\storage\ObjectTypeStorage.java,com.tencent.angel.ps.storage.vector.storage.ObjectTypeStorage,class,6,17,11,6,4,2,4,1,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,18,1,0,0,1,0,1,0,1,0,1,1,0,0,0,32,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\psf\src\main\java\com\tencent\angel\ml\matrix\psf\update\enhance\complex\Max.java,com.tencent.angel.ml.matrix.psf.update.enhance.complex.Max,class,7,7,0,7,4,2,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,1,0,0,0,4,0,4,2,0,0,0,20,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\angel\angel-ps\core\src\main\java\com\tencent\angel\model\PSMatricesLoadContext.java,com.tencent.angel.model.PSMatricesLoadContext,class,1,5,4,1,4,1,0,0,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,32,1,0
