file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\SerializableResource.java,org.cf.apkfile.res.SerializableResource,interface,1,13,12,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Utils.java,org.cf.apkfile.manifest.Utils,class,0,2,2,0,4,1,0,3,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,0,4,2,1,1,0,0,0,7,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,class,4,6,2,4,20,1,0,24,22,0.80952376,0.0,0.0,9,5,4,5,0,0,4,0,0,0,7,4,4,3,0,0,7,0,9,89,8,7,0,0,1,40,12,25,5,26,3,0,0,1,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\ActivityAlias.java,org.cf.apkfile.manifest.ActivityAlias,class,3,4,1,3,2,2,0,2,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\PackageChunk.java,org.cf.apkfile.res.PackageChunk,class,12,17,5,12,23,3,0,33,59,0.83888894,0.0,0.0,15,0,10,0,5,0,15,0,0,0,12,2,0,12,0,0,12,0,3,113,11,2,2,0,0,3,7,26,6,23,2,0,0,0,117,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\ResourceEntry.java,org.cf.apkfile.res.ResourceEntry,class,6,7,1,6,4,1,0,6,6,0.0,0.0,0.0,4,1,3,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,4,0,4,0,0,0,0,16,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\XmlNamespaceStartChunk.java,org.cf.apkfile.res.XmlNamespaceStartChunk,class,4,5,1,4,2,4,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\ApkFile.java,org.cf.apkfile.apk.ApkFile,class,14,18,4,14,65,1,0,58,455,0.929972,0.0,0.0,34,1,25,2,0,7,32,0,0,0,21,9,7,14,0,0,13,0,11,284,35,4,7,12,0,22,10,46,5,45,4,0,0,4,105,1,5
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\XmlEndElementChunk.java,org.cf.apkfile.res.XmlEndElementChunk,class,5,8,3,5,6,3,0,9,5,0.5,0.0,0.0,6,0,3,0,3,0,6,0,0,0,2,0,0,2,0,0,2,0,1,26,4,0,0,0,0,1,0,2,0,2,0,0,0,0,58,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\XmlNamespaceChunk.java,org.cf.apkfile.res.XmlNamespaceChunk,class,4,7,3,4,5,3,2,9,0,0.4,0.0,0.0,5,0,3,0,2,0,5,0,0,0,2,0,0,2,0,0,2,0,1,23,3,0,0,0,0,1,0,2,0,2,0,0,0,0,53,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Certificate.java,org.cf.apkfile.apk.Certificate$ApkCertificate,innerclass,0,0,0,0,5,1,0,0,2,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,4,0,0,4,0,0,4,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\dex\ShortMethodReference.java,org.cf.apkfile.dex.ShortMethodReference,class,3,5,2,3,13,1,0,11,5,0.5,0.0,0.0,10,0,9,0,0,1,10,0,0,0,2,0,0,2,0,0,2,0,0,47,11,0,3,0,0,0,1,6,0,6,1,0,0,0,39,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Activity.java,org.cf.apkfile.manifest.Activity,class,3,4,1,3,28,2,0,4,324,0.9285716,0.0,0.0,28,0,27,0,0,1,28,0,0,0,27,0,0,27,0,0,27,0,0,140,27,0,0,0,0,0,8,27,0,27,0,0,0,0,90,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\UsesConfiguration.java,org.cf.apkfile.manifest.UsesConfiguration,class,1,2,1,1,6,1,0,2,5,0.6666667,0.0,0.0,6,0,5,0,0,1,6,0,5,0,5,0,0,5,0,0,5,0,0,29,5,0,0,0,0,0,3,5,0,5,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\Chunk.java,org.cf.apkfile.res.Chunk,class,20,45,25,20,34,1,8,28,110,0.8823529,0.0,0.0,17,2,8,1,8,0,16,1,5,0,8,3,2,3,3,0,7,0,4,159,11,1,4,1,1,1,8,32,5,18,2,0,1,0,222,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\ResourceValue.java,org.cf.apkfile.res.ResourceValue,class,11,17,6,11,29,1,0,26,28,0.9,0.0,0.0,8,2,6,1,1,0,7,3,0,0,10,10,1,9,0,0,10,0,13,123,17,0,3,0,10,16,29,20,22,17,3,0,1,0,123,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Screen.java,org.cf.apkfile.manifest.Screen,class,1,2,1,1,3,1,0,1,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,2,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,2,2,0,2,0,0,0,0,9,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\TypeChunk.java,org.cf.apkfile.res.TypeChunk,class,13,19,6,13,39,2,0,43,110,0.77,0.0,0.0,20,0,10,3,7,0,17,0,0,0,5,0,0,5,0,0,4,0,4,214,13,5,10,1,2,5,8,32,5,27,2,0,1,0,144,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\GrantUriPermission.java,org.cf.apkfile.manifest.GrantUriPermission,class,1,2,1,1,4,1,0,1,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,3,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\utils\Utils.java,org.cf.apkfile.utils.Utils,class,13,18,5,13,41,1,0,32,91,0.9285714,0.0,0.0,14,14,14,0,0,0,14,0,0,0,2,2,0,2,0,0,2,0,13,164,14,14,4,0,14,14,54,33,11,37,2,0,0,3,96,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\analysis\ComplexityAnalyzer.java,org.cf.apkfile.analysis.ComplexityAnalyzer,class,10,12,2,10,57,1,0,19,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,125,1,5,3,0,2,0,11,26,2,15,5,0,0,0,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\LibraryChunk.java,org.cf.apkfile.res.LibraryChunk$Entry,innerclass,6,6,0,6,5,1,0,10,10,0.8,0.0,0.0,5,1,4,0,0,1,5,2,0,0,1,1,0,1,0,0,1,0,3,19,3,0,0,0,0,0,2,4,2,4,0,0,0,0,44,1036,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\ResourceFile.java,org.cf.apkfile.res.ResourceFile,class,5,8,3,5,7,1,0,11,4,0.4,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,3,26,4,2,0,0,0,0,1,4,0,4,1,0,0,0,51,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\TypeChunk.java,org.cf.apkfile.res.TypeChunk$Entry,innerclass,8,8,0,8,24,1,0,34,118,0.9166667,0.0,0.0,16,2,15,1,0,0,15,7,7,0,3,3,1,2,0,0,3,0,5,81,10,2,3,0,3,2,9,18,4,16,2,0,0,0,127,1033,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\AttributeId.java,org.cf.apkfile.res.AttributeId,enum,0,3,3,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,1299,1,0,1,0,0,0,0,870,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\analysis\EntropyCalculatingInputStream.java,org.cf.apkfile.analysis.EntropyCalculatingInputStream,class,4,6,2,4,12,4,0,8,16,0.5625,0.0,0.0,8,1,7,1,0,0,7,0,0,0,2,0,0,2,0,0,1,0,4,45,6,2,1,0,0,0,10,8,3,6,2,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Instrumentation.java,org.cf.apkfile.manifest.Instrumentation,class,1,2,1,1,7,1,0,2,9,0.7142858,0.0,0.0,7,0,6,0,0,1,7,0,6,0,6,0,0,6,0,0,6,0,0,34,6,0,0,0,0,0,0,6,0,6,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\StringPoolChunk.java,org.cf.apkfile.res.StringPoolChunk$StringPoolSpan,innerclass,6,6,0,6,8,1,0,12,28,0.875,0.0,0.0,8,1,7,0,0,1,8,4,2,0,1,1,0,0,0,1,1,0,2,26,4,0,0,0,0,1,3,5,2,5,0,0,0,0,52,1036,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\AndroidManifestParsingException.java,org.cf.apkfile.manifest.AndroidManifestParsingException,class,0,1,1,0,1,4,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\PermissionGroup.java,org.cf.apkfile.manifest.PermissionGroup,class,1,2,1,1,5,1,0,1,2,0.6,0.0,0.0,5,0,4,0,0,1,5,0,4,0,4,0,0,4,0,0,4,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Receiver.java,org.cf.apkfile.manifest.Receiver,class,3,4,1,3,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\StringPoolChunk.java,org.cf.apkfile.res.StringPoolChunk,class,10,20,10,10,36,2,0,40,59,0.83838385,0.0,0.0,18,0,8,5,5,0,13,0,0,0,11,3,0,11,0,0,10,0,4,204,14,4,4,1,4,0,21,40,10,31,3,0,2,0,156,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\SupportsScreens.java,org.cf.apkfile.manifest.SupportsScreens,class,1,2,1,1,10,1,0,2,27,0.8000001,0.0,0.0,10,0,9,0,0,1,10,0,0,0,9,0,0,9,0,0,9,0,0,49,9,0,0,0,0,0,3,9,0,9,0,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\XmlChunk.java,org.cf.apkfile.res.XmlChunk,class,9,21,12,9,17,3,0,10,10,0.0,0.0,0.0,5,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,57,5,3,3,0,3,2,4,6,1,6,4,0,0,0,64,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Certificate.java,org.cf.apkfile.apk.Certificate,class,4,6,2,4,4,1,0,13,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,6,49,1,1,0,0,0,1,0,11,0,11,1,0,1,0,29,1,0
