file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\SerializableResource.java,org.cf.apkfile.res.SerializableResource,toByteArray/0,false,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\SerializableResource.java,org.cf.apkfile.res.SerializableResource,toByteArray/1[boolean],false,33,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\Utils.java,org.cf.apkfile.manifest.Utils,"ensureFullName/2[java.lang.String,java.lang.String]",false,4,0,2,2,0,4,3,16,1,1,2,3,0,0,0,0,0,0,3,0,4,2,1,0,0,0,6,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,"buildResourceConfigs/1[java.util.Collection<java.util.Map<java.lang.String,java.lang.String>>]",false,77,0,0,0,0,6,5,23,1,5,1,5,0,0,3,0,0,0,3,0,5,1,3,0,0,0,28,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,"buildEntries/1[java.util.Collection<java.util.Map<java.lang.String,java.lang.String>>]",false,52,0,0,0,0,4,4,15,1,3,1,4,0,0,3,0,0,0,3,0,3,1,2,0,0,0,26,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,Resources/1[java.io.InputStream],true,27,3,3,1,2,2,3,10,0,2,1,3,0,0,0,0,0,1,1,1,5,0,1,0,0,0,20,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,"zipCSV/2[java.util.List<java.lang.String>,java.util.List<java.lang.String>]",false,134,0,1,1,0,2,3,7,1,2,2,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,getEntries/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,parseCSV/1[java.lang.String],false,112,1,2,0,2,1,8,5,1,3,1,8,2,1,0,0,0,0,1,2,2,0,0,0,0,1,11,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,getResourceConfigs/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,getResourceTable/0,false,47,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\apk\Resources.java,org.cf.apkfile.apk.Resources,splitCSVLine/1[java.lang.String],false,121,0,1,1,0,2,8,11,1,4,1,8,0,0,0,0,0,0,1,8,4,3,1,0,0,0,9,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\ActivityAlias.java,org.cf.apkfile.manifest.ActivityAlias,"ActivityAlias/3[org.cf.apkfile.res.XmlStartElementChunk,org.cf.apkfile.res.XmlChunk,java.lang.String]",true,15,3,3,1,2,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\manifest\ActivityAlias.java,org.cf.apkfile.manifest.ActivityAlias,getTargetActivity/0,false,20,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\PackageChunk.java,org.cf.apkfile.res.PackageChunk,getTypeChunks/1[int],false,170,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\PackageChunk.java,org.cf.apkfile.res.PackageChunk,init/1[java.nio.ByteBuffer],false,110,6,3,0,3,6,10,23,0,3,1,10,0,0,1,0,0,0,1,0,3,0,2,0,0,0,21,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\apkfile\src\main\java\org\cf\apkfile\res\PackageChunk.java,org.cf.apkfile.res.PackageChunk,getTypeStringPool/0,false,150,3,6,5,1,1,4,5,1,1,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,21,1,0,true
