file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\experiments\low_level_sketches\DExceptLowLevel.java,edu.rice.cs.caper.bayou.application.experiments.low_level_sketches.DExceptLowLevel,class,2,3,1,2,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,2,8,1,0,0,0,0,1,0,1,1,5,0,0,0,2,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\api_synthesis_server\servlet\SynthesisRequest.java,edu.rice.cs.caper.bayou.application.api_synthesis_server.servlet.SynthesisRequest$NoMaxProgramCountFieldException,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\synthesizer\Enumerator.java,edu.rice.cs.caper.bayou.core.synthesizer.Enumerator$Anonymous1,anonymous,3,3,0,3,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,1,2,0,2,2,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,interface,0,4,4,0,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\directive\Evidence.java,edu.rice.cs.caper.floodgage.application.floodgage.model.directive.Evidence,interface,2,7,5,2,3,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMMethodInvocation.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMMethodInvocation,class,13,14,1,13,15,1,0,20,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,2,42,1,3,6,1,0,2,1,14,0,12,3,0,0,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\api_synthesis_server\synthesis\SynthesiseException.java,edu.rice.cs.caper.bayou.application.api_synthesis_server.synthesis.SynthesiseException,class,0,4,4,0,2,3,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMWhileStatement.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMWhileStatement,class,7,8,1,7,3,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,20,1,0,0,0,0,0,0,6,0,6,2,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\test\java\edu\rice\cs\caper\bayou\programming\thread\ThreadSchedulerTest.java,edu.rice.cs.caper.bayou.programming.thread.ThreadSchedulerTest,class,5,7,2,5,4,1,1,11,6,0.0,0.0,0.0,4,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,53,7,0,0,0,0,0,15,8,0,8,1,0,0,9,19,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dsl\DASTNode.java,edu.rice.cs.caper.bayou.core.dsl.DASTNode$TooManySequencesException,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
