file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\experiments\low_level_sketches\DExceptLowLevel.java,edu.rice.cs.caper.bayou.application.experiments.low_level_sketches.DExceptLowLevel,getLowLevelSketch/0,false,28,0,0,0,0,1,6,3,1,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\synthesizer\Enumerator.java,edu.rice.cs.caper.bayou.core.synthesizer.Enumerator$Anonymous1,applyAsInt/1[edu.rice.cs.caper.bayou.core.synthesizer.TypedExpression],false,361,3,2,0,2,3,2,6,1,2,1,2,0,0,1,0,0,0,0,1,2,0,2,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,containsSketchProgramSource/0,false,38,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,getDescription/0,false,23,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,getDraftProgramClassName/0,false,33,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,getDraftProgramSource/0,false,28,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\plan\Trial.java,edu.rice.cs.caper.floodgage.application.floodgage.model.plan.Trial,tryGetSketchProgramSource/1[java.lang.String],false,43,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\directive\Evidence.java,edu.rice.cs.caper.floodgage.application.floodgage.model.directive.Evidence,"make/2[java.lang.String,java.lang.String]",false,25,2,2,1,1,1,0,11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\directive\Evidence.java,edu.rice.cs.caper.floodgage.application.floodgage.model.directive.Evidence,getType/0,false,20,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\floodgage\application\floodgage\model\directive\Evidence.java,edu.rice.cs.caper.floodgage.application.floodgage.model.directive.Evidence,getContent/0,false,22,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMMethodInvocation.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMMethodInvocation,"DOMMethodInvocation/2[edu.rice.cs.caper.bayou.core.dom_driver.MethodInvocation,edu.rice.cs.caper.bayou.core.dom_driver.Visitor]",true,29,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMMethodInvocation.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMMethodInvocation,handle/0,false,35,11,13,1,12,14,20,34,1,10,0,20,0,0,3,6,1,0,2,1,12,0,3,0,0,0,32,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\api_synthesis_server\synthesis\SynthesiseException.java,edu.rice.cs.caper.bayou.application.api_synthesis_server.synthesis.SynthesiseException,SynthesiseException/1[java.lang.String],true,29,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\application\api_synthesis_server\synthesis\SynthesiseException.java,edu.rice.cs.caper.bayou.application.api_synthesis_server.synthesis.SynthesiseException,SynthesiseException/1[java.lang.Throwable],true,24,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMWhileStatement.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMWhileStatement,handle/0,false,33,4,12,1,11,2,9,12,1,4,0,9,0,0,0,0,0,0,0,0,4,0,2,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\main\java\edu\rice\cs\caper\bayou\core\dom_driver\DOMWhileStatement.java,edu.rice.cs.caper.bayou.core.dom_driver.DOMWhileStatement,"DOMWhileStatement/2[edu.rice.cs.caper.bayou.core.dom_driver.WhileStatement,edu.rice.cs.caper.bayou.core.dom_driver.Visitor]",true,27,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\test\java\edu\rice\cs\caper\bayou\programming\thread\ThreadSchedulerTest.java,edu.rice.cs.caper.bayou.programming.thread.ThreadSchedulerTest,makeScheduler/0,false,96,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\bayou\src\test\java\edu\rice\cs\caper\bayou\programming\thread\ThreadSchedulerTest.java,edu.rice.cs.caper.bayou.programming.thread.ThreadSchedulerTest,scheduleTest/0,false,61,5,3,0,3,1,8,23,3,5,0,8,2,1,0,0,0,0,0,6,5,0,1,0,0,6,14,1,0,false
