file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous6,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous5,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous4,anonymous,3,3,0,3,3,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous3,anonymous,3,3,0,3,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\LibUtils\src\main\java\com\microblink\blinkid\util\ResultUtils.java,com.microblink.blinkid.util.ResultUtils,class,4,6,2,4,6,1,0,10,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,4,1,2,0,1,3,0,1,0,1,2,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\customcamera\camera2\AutoFitTextureView.java,com.microblink.blinkid.customcamera.camera2.AutoFitTextureView,class,3,4,1,3,10,2,0,4,8,0.6,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,0,0,0,37,0,0,2,0,0,1,7,6,6,4,2,0,0,0,62,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID_AllRecognizersSample\src\main\java\com\microblink\blinkid\MenuActivity.java,MenuActivity,class,28,46,0,46,24,1,0,27,184,0.85,0.0,0.0,20,0,0,15,5,0,5,0,0,0,1,1,1,0,0,0,1,0,0,137,15,0,2,0,2,11,1,14,1,14,1,0,0,10,117,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\LibUtils\src\main\java\com\microblink\blinkid\util\FileUtils.java,com.microblink.blinkid.util.FileUtils,class,4,5,1,4,12,1,0,15,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,66,5,2,3,4,2,1,3,10,0,8,2,0,0,0,35,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-CustomCombinedSample\src\main\java\com\microblink\blinkid\managers\DocumentViewfinderManager.java,com.microblink.blinkid.managers.DocumentViewfinderManager$Anonymous1,anonymous,0,0,0,0,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,-1,0
