file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous6,run/0,false,240,0,8,0,8,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous5,"onClick/2[com.microblink.blinkid.imagescan.DialogInterface,int]",false,224,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous4,onUnrecoverableError/1[java.lang.Throwable],false,206,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous4,onScanningDone/1[com.microblink.blinkid.imagescan.RecognitionSuccessType],false,196,3,4,0,4,2,4,9,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous3,onScanningDone/1[com.microblink.blinkid.imagescan.RecognitionSuccessType],false,174,3,4,0,4,2,3,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\imagescan\CombinedScanImageActivity.java,com.microblink.blinkid.imagescan.CombinedScanImageActivity$Anonymous3,onUnrecoverableError/1[java.lang.Throwable],false,189,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\LibUtils\src\main\java\com\microblink\blinkid\util\ResultUtils.java,com.microblink.blinkid.util.ResultUtils,stringifyRecognitionResults/1[com.microblink.blinkid.util.Recognizer<?>[]],false,9,1,0,0,0,4,8,15,2,1,1,8,0,0,1,2,0,0,3,0,1,0,2,0,0,0,9,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\LibUtils\src\main\java\com\microblink\blinkid\util\ResultUtils.java,com.microblink.blinkid.util.ResultUtils,getEntitySimpleName/1[com.microblink.blinkid.util.Entity<?>],false,26,3,3,2,1,2,4,8,2,0,1,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,11,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\customcamera\camera2\AutoFitTextureView.java,com.microblink.blinkid.customcamera.camera2.AutoFitTextureView,"AutoFitTextureView/2[com.microblink.blinkid.customcamera.camera2.Context,com.microblink.blinkid.customcamera.camera2.AttributeSet]",true,35,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\customcamera\camera2\AutoFitTextureView.java,com.microblink.blinkid.customcamera.camera2.AutoFitTextureView,AutoFitTextureView/1[com.microblink.blinkid.customcamera.camera2.Context],true,31,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\blinkid-android\BlinkIDSample\BlinkID-DirectApiSample\src\main\java\com\microblink\blinkid\customcamera\camera2\AutoFitTextureView.java,com.microblink.blinkid.customcamera.camera2.AutoFitTextureView,"AutoFitTextureView/3[com.microblink.blinkid.customcamera.camera2.Context,com.microblink.blinkid.customcamera.camera2.AttributeSet,int]",true,39,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
