file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap10\spark\MovieRecommendations.java,org.dataalgorithms.chap10.spark.MovieRecommendations$Anonymous2,"call/1[scala.Tuple2<java.lang.String,java.lang.Iterable<scala.Tuple2<java.lang.String,java.lang.Integer>>>]",false,98,2,2,0,2,3,3,18,1,8,1,3,0,0,2,0,0,0,0,1,8,0,1,0,0,0,19,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap10\spark\MovieRecommendations.java,org.dataalgorithms.chap10.spark.MovieRecommendations$Anonymous1,call/1[java.lang.String],false,58,1,61,0,61,1,1,8,1,5,1,1,0,0,0,0,0,0,1,3,5,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap10\spark\MovieRecommendations.java,org.dataalgorithms.chap10.spark.MovieRecommendations$Anonymous4,"call/1[java.lang.Iterable<org.dataalgorithms.util.Tuple7<java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer>>]",false,207,2,2,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap10\spark\MovieRecommendations.java,org.dataalgorithms.chap10.spark.MovieRecommendations$Anonymous3,"call/1[scala.Tuple2<java.lang.String,java.lang.Iterable<org.dataalgorithms.util.Tuple3<java.lang.String,java.lang.Integer,java.lang.Integer>>>]",false,173,5,5,0,5,2,6,16,1,10,1,6,0,0,1,0,0,0,0,3,10,0,1,0,0,0,19,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap08\sparkwithlambda\FindCommonFriends.java,org.dataalgorithms.chap08.sparkwithlambda.FindCommonFriends,iterableToList/1[java.lang.Iterable<java.lang.Long>],false,150,0,1,1,0,2,1,7,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap08\sparkwithlambda\FindCommonFriends.java,org.dataalgorithms.chap08.sparkwithlambda.FindCommonFriends,main/1[java.lang.String[]],false,27,7,11,0,11,16,24,78,3,24,1,24,2,1,9,4,0,2,12,11,24,5,4,0,0,2,52,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\chap08\sparkwithlambda\FindCommonFriends.java,org.dataalgorithms.chap08.sparkwithlambda.FindCommonFriends,"buildSortedTuple/2[long,long]",false,141,1,2,1,1,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\util\InputOutputUtil.java,org.dataalgorithms.util.InputOutputUtil,close/1[org.apache.hadoop.fs.FSDataInputStream],false,55,1,1,1,0,3,1,10,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,10,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\util\InputOutputUtil.java,org.dataalgorithms.util.InputOutputUtil,close/1[java.io.OutputStream],false,31,0,1,1,0,3,1,10,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\data-algorithms-book\src\main\java\org\dataalgorithms\util\InputOutputUtil.java,org.dataalgorithms.util.InputOutputUtil,close/1[java.io.InputStream],false,43,0,1,1,0,3,1,10,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,9,0,false
