file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\SaturnClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.SaturnClassifier,class,17,18,1,17,3,1,0,23,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,4,43,0,0,0,0,0,5,19,22,0,22,1,0,0,0,84,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,class,5,7,2,5,19,1,0,10,51,0.73333335,0.0,0.0,15,0,15,0,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,81,15,0,3,0,0,0,0,13,0,8,1,0,0,0,39,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\nlp\paragraphvectors\tools\LabelSeeker.java,org.deeplearning4j.examples.nlp.paragraphvectors.tools.LabelSeeker,class,4,5,1,4,5,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,19,1,1,1,0,0,3,0,5,1,5,2,0,0,0,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\presave\LoadPreSavedLenetMnistExample.java,org.deeplearning4j.examples.misc.presave.LoadPreSavedLenetMnistExample,class,17,19,2,17,3,1,0,29,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,34,0,2,0,0,0,10,37,15,0,15,2,0,0,0,121,1,7
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\customlayers\CustomLayerExample.java,org.deeplearning4j.examples.misc.customlayers.CustomLayerExample,class,14,15,1,14,7,1,0,43,3,0.0,0.0,0.0,3,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,69,0,3,0,0,2,13,41,33,7,33,1,0,0,0,93,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\LinearDataClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.LinearDataClassifier,class,18,19,1,18,4,1,0,28,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,4,50,0,1,0,0,0,5,19,26,0,26,1,0,0,0,88,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\features\transferlearning\editlastlayer\presave\FeaturizedPreSave.java,org.deeplearning4j.examples.advanced.features.transferlearning.editlastlayer.presave.FeaturizedPreSave,class,8,10,2,8,8,1,0,15,0,0.25,NaN,NaN,2,2,1,1,0,0,1,0,0,0,4,4,1,2,1,0,4,0,5,41,0,2,1,0,1,14,5,17,3,15,1,0,0,0,75,1,5
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\data-pipeline-examples\src\main\java\org\deeplearning4j\datapipelineexamples\utils\DownloaderUtility.java,org.deeplearning4j.datapipelineexamples.utils.DownloaderUtility,enum,1,14,13,1,8,1,0,10,4,0.5416667,0.0,0.0,4,0,2,0,0,2,4,0,0,0,6,1,0,6,0,0,6,0,2,44,2,0,1,0,0,35,3,13,5,12,1,0,0,0,110,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\features\userinterface\UIStorageExample.java,org.deeplearning4j.examples.quickstart.features.userinterface.UIStorageExample,class,8,8,0,8,2,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,5,1,6,0,6,1,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\utils\VAEPlotUtil.java,org.deeplearning4j.examples.utils.VAEPlotUtil$MNISTLatentSpaceVisualizer$Anonymous3,anonymous,1,1,0,1,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,3,0,3,1,0,0,0,15,-1,0
