file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\SaturnClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.SaturnClassifier,main/1[java.lang.String[]],false,61,15,2,0,2,1,19,26,0,14,1,19,1,1,0,0,0,0,4,13,15,0,0,0,0,0,49,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\SaturnClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.SaturnClassifier,"generateVisuals/3[org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.MultiLayerNetwork,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.DataSetIterator,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.DataSetIterator]",false,113,4,4,1,3,2,4,13,0,6,3,4,0,0,0,0,0,0,0,6,6,0,1,0,0,0,24,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,"AnomalyDataSetIterator/2[java.lang.String,int]",true,40,1,2,1,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,totalOutcomes/0,false,71,2,1,0,1,2,2,11,2,1,0,2,1,2,0,1,0,0,0,0,3,0,1,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,inputColumns/0,false,59,2,1,0,1,2,2,11,2,1,0,2,1,2,0,1,0,0,0,0,3,0,1,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,batch/0,false,100,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,next/1[int],false,46,2,2,1,1,2,2,7,1,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,hasNext/0,false,120,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,totalExamples/0,false,54,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,reset/0,false,93,1,1,0,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,getCurrentLines/0,false,133,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,setPreProcessor/1[org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.DataSetPreProcessor],false,105,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,getPreProcessor/0,false,110,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,next/0,false,125,2,3,2,1,2,1,9,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,resetSupported/0,false,83,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,asyncSupported/0,false,88,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\modelling\sequenceanomalydetection\AnomalyDataSetIterator.java,org.deeplearning4j.examples.advanced.modelling.sequenceanomalydetection.AnomalyDataSetIterator,getLabels/0,false,115,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\nlp\paragraphvectors\tools\LabelSeeker.java,org.deeplearning4j.examples.nlp.paragraphvectors.tools.LabelSeeker,getScores/1[org.deeplearning4j.examples.nlp.paragraphvectors.tools.INDArray],false,34,2,1,1,0,3,3,10,1,3,1,3,0,0,1,1,0,0,2,0,3,1,2,0,0,0,34,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\nlp\paragraphvectors\tools\LabelSeeker.java,org.deeplearning4j.examples.nlp.paragraphvectors.tools.LabelSeeker,"LabelSeeker/2[java.util.List<java.lang.String>,org.deeplearning4j.examples.nlp.paragraphvectors.tools.InMemoryLookupTable<org.deeplearning4j.examples.nlp.paragraphvectors.tools.VocabWord>]",true,23,1,1,1,0,2,1,5,0,0,2,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\presave\LoadPreSavedLenetMnistExample.java,org.deeplearning4j.examples.misc.presave.LoadPreSavedLenetMnistExample,main/1[java.lang.String[]],false,59,15,0,0,0,3,28,31,0,14,1,28,0,0,2,0,0,0,10,37,14,0,2,0,0,0,48,9,7,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\customlayers\CustomLayerExample.java,org.deeplearning4j.examples.misc.customlayers.CustomLayerExample,main/1[java.lang.String[]],false,45,1,2,0,2,1,2,4,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\customlayers\CustomLayerExample.java,org.deeplearning4j.examples.misc.customlayers.CustomLayerExample,doGradientCheck/0,false,127,9,2,1,1,3,24,25,0,15,0,24,0,0,2,0,0,0,3,23,15,1,1,0,0,0,45,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\customlayers\CustomLayerExample.java,org.deeplearning4j.examples.misc.customlayers.CustomLayerExample,runInitialTests/0,false,50,11,2,1,1,2,34,35,0,18,0,34,0,0,1,0,0,2,10,18,18,6,1,0,0,0,49,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\oreilly-book-dl4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\misc\customlayers\CustomLayerExample.java,org.deeplearning4j.examples.misc.customlayers.CustomLayerExample,(initializer 1),false,39,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\LinearDataClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.LinearDataClassifier,main/1[java.lang.String[]],false,61,17,2,0,2,2,24,33,0,18,1,24,1,1,1,0,0,0,4,13,19,0,1,0,0,0,57,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\quickstart\modeling\feedforward\classification\LinearDataClassifier.java,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.LinearDataClassifier,"generateVisuals/3[org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.MultiLayerNetwork,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.DataSetIterator,org.deeplearning4j.examples.quickstart.modeling.feedforward.classification.DataSetIterator]",false,122,4,4,1,3,2,4,13,0,6,3,4,0,0,0,0,0,0,0,6,6,0,1,0,0,0,24,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\features\transferlearning\editlastlayer\presave\FeaturizedPreSave.java,org.deeplearning4j.examples.advanced.features.transferlearning.editlastlayer.presave.FeaturizedPreSave,main/1[java.lang.String[]],false,47,7,5,1,4,3,12,24,0,9,1,12,1,1,2,0,0,0,2,2,9,0,1,0,0,0,31,9,4,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\dl4j-examples\src\main\java\org\deeplearning4j\examples\advanced\features\transferlearning\editlastlayer\presave\FeaturizedPreSave.java,org.deeplearning4j.examples.advanced.features.transferlearning.editlastlayer.presave.FeaturizedPreSave,"saveToDisk/3[org.deeplearning4j.examples.advanced.features.transferlearning.editlastlayer.presave.DataSet,int,boolean]",false,81,1,1,1,0,5,3,11,0,2,3,3,0,0,0,1,0,1,11,1,4,3,1,0,0,0,16,10,1,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j-examples\data-pipeline-examples\src\main\java\org\deeplearning4j\datapipelineexamples\utils\DownloaderUtility.java,org.deeplearning4j.datapipelineexamples.utils.DownloaderUtility,Download/0,false,97,1,13,12,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
