file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\deeplearning4j\deeplearning4j-ui-parent\deeplearning4j-ui-components\src\main\java\org\deeplearning4j\ui\components\component\style\StyleDiv.java,org.deeplearning4j.ui.components.component.style.StyleDiv,class,8,10,2,8,1,3,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,1,0,0,2,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\linalg\factory\NDValidation.java,org.nd4j.linalg.factory.NDValidation,class,3,13,10,3,63,1,0,5,136,0.0,0.0,0.0,17,16,16,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,94,16,6,33,0,0,43,13,10,14,9,4,0,0,0,100,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\platform-tests\src\test\java\org\eclipse\deeplearning4j\integration\IntegrationTestRunner.java,org.eclipse.deeplearning4j.integration.IntegrationTestRunner,class,43,47,4,43,190,1,0,217,243,0.9217392,0.0,0.0,23,23,9,14,0,0,10,0,0,0,15,15,7,8,0,0,7,0,60,879,12,48,62,7,18,103,85,266,36,206,6,1,0,0,301,1,35
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\graph\UISystemInfo.java,org.nd4j.graph.UISystemInfo$Vector,innerclass,3,3,0,3,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\linalg\api\ops\impl\transforms\custom\MatrixSetDiag.java,org.nd4j.linalg.api.ops.impl.transforms.custom.MatrixSetDiag,class,6,6,0,6,11,2,0,10,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,30,4,0,3,0,0,5,6,3,0,3,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-backend-impls\nd4j-minimizer\src\main\java\org\nd4j\linalg\minimal\bindings\Nd4jMinimal.java,org.nd4j.linalg.minimal.bindings.Nd4jMinimal$KeyPair,innerclass,10,10,0,10,16,2,0,6,105,0.0,0.0,0.0,15,0,11,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,9,0,0,0,0,0,0,0,0,24,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-backend-impls\nd4j-minimizer\src\main\java\org\nd4j\linalg\minimal\bindings\Nd4jMinimal.java,org.nd4j.linalg.minimal.bindings.Nd4jMinimal$segment_mean_bp,innerclass,7,7,0,7,9,4,0,5,28,0.0,0.0,0.0,8,0,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,27,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\linalg\api\ops\ReduceFloatOp.java,org.nd4j.linalg.api.ops.ReduceFloatOp,interface,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\linalg\api\ops\impl\transforms\same\Sign.java,org.nd4j.linalg.api.ops.impl.transforms.same.Sign,class,6,7,1,6,10,2,0,4,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,32,4,0,0,0,0,3,1,1,1,1,0,0,0,0,30,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-backend-impls\nd4j-minimizer\src\main\java\org\nd4j\linalg\minimal\bindings\Nd4jMinimal.java,org.nd4j.linalg.minimal.bindings.Nd4jMinimal$space_to_depth,innerclass,7,7,0,7,9,4,0,5,28,0.0,0.0,0.0,8,0,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,63,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-backend-impls\nd4j-minimizer\src\main\java\org\nd4j\linalg\minimal\bindings\Nd4jMinimal.java,org.nd4j.linalg.minimal.bindings.Nd4jMinimal$extract_image_patches,innerclass,7,7,0,7,9,4,0,5,28,0.0,0.0,0.0,8,0,6,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,49,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\deeplearning4j\nd4j\nd4j-backends\nd4j-api-parent\nd4j-api\src\main\java\org\nd4j\graph\LongPair.java,org.nd4j.graph.LongPair,class,4,7,3,4,14,3,0,16,66,0.0,0.0,0.0,12,8,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,58,7,0,2,0,1,1,12,3,3,3,0,0,1,0,33,17,0
