file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,class,17,20,3,17,17,1,0,39,4,0.53333336,0.0,0.0,5,0,3,2,0,0,3,0,0,0,6,0,0,6,0,0,0,0,2,123,4,9,0,0,2,27,57,74,19,61,4,0,0,0,96,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\training\dataset\Dataset.java,ai.djl.training.dataset.Dataset$Usage,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\modality\cv\output\Mask.java,ai.djl.modality.cv.output.Mask,class,2,5,3,2,2,2,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,11,1,0,0,0,0,0,1,2,0,2,0,0,0,0,48,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\timeseries\src\main\java\ai\djl\timeseries\distribution\output\ArgProj.java,ai.djl.timeseries.distribution.output.ArgProj,class,10,12,2,10,9,2,0,14,0,0.3,0.0,0.0,5,1,2,0,2,1,5,0,0,0,2,0,0,2,0,0,0,0,2,55,3,4,0,0,0,2,2,6,0,5,1,0,1,0,56,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\tokenizers\src\main\java\ai\djl\huggingface\tokenizers\jni\CharSpan.java,ai.djl.huggingface.tokenizers.jni.CharSpan,class,0,3,3,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\nn\Block.java,ai.djl.nn.Block,interface,13,47,34,13,30,1,0,7,253,0.0,0.0,0.0,23,1,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,4,50,3,3,3,0,0,4,1,1,2,1,2,0,0,0,365,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\training\TrainWithOptimizers.java,ai.djl.examples.training.TrainWithOptimizers$OptimizerArguments,innerclass,3,3,0,3,5,2,0,11,4,0.5,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,22,2,0,0,0,0,7,0,3,0,2,1,0,0,0,12,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\integration\src\main\java\ai\djl\integration\IntegrationTest.java,ai.djl.integration.IntegrationTest,class,14,16,2,14,42,1,0,77,11,0.5714286,0.0,0.0,7,4,3,4,0,0,3,0,0,0,2,1,0,2,0,0,1,0,21,320,9,7,9,6,1,13,15,51,3,45,6,0,2,1,100,1,7
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\test\java\ai\djl\examples\training\TrainResNetTest.java,ai.djl.examples.training.TrainResNetTest,class,4,4,0,4,9,1,0,11,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,9,32,0,0,0,0,0,24,7,7,0,7,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\engine\EngineProvider.java,ai.djl.engine.EngineProvider,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\training\dataset\ArrayDataset.java,ai.djl.training.dataset.ArrayDataset$Builder,innerclass,4,4,0,4,6,2,0,1,4,0.625,0.0,0.0,4,0,3,0,1,0,4,0,0,0,2,0,0,2,0,0,0,0,0,21,4,0,2,0,0,1,1,2,0,2,1,0,0,0,39,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\whisper\WhisperModel.java,ai.djl.examples.inference.whisper.WhisperModel,class,6,8,2,6,4,1,0,18,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,19,2,0,0,1,0,2,2,4,0,4,1,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\timeseries\src\test\java\ai\djl\timeseries\evaluator\RmsseTest.java,ai.djl.timeseries.evaluator.RmsseTest,class,7,7,0,7,2,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,5,10,8,0,8,1,0,0,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\basicdataset\src\main\java\ai\djl\basicdataset\nlp\StanfordQuestionAnsweringDataset.java,ai.djl.basicdataset.nlp.StanfordQuestionAnsweringDataset$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\basicdataset\src\main\java\ai\djl\basicdataset\nlp\StanfordQuestionAnsweringDataset.java,ai.djl.basicdataset.nlp.StanfordQuestionAnsweringDataset$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\test\java\ai\djl\modality\cv\translator\StyleTransferTranslatorFactoryTest.java,ai.djl.modality.cv.translator.StyleTransferTranslatorFactoryTest,class,8,8,0,8,3,1,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,0,0,0,1,0,1,1,4,0,4,1,0,0,1,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\engines\tflite\tflite-engine\src\test\java\ai\djl\tflite\engine\TfLiteNDManagerTest.java,ai.djl.tflite.engine.TfLiteNDManagerTest,class,6,6,0,6,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,1,0,0,16,7,0,6,1,0,0,0,15,1,0
