file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,"decodeLandm/3[ai.djl.examples.inference.face.NDArray,ai.djl.examples.inference.face.NDArray,double]",false,200,2,1,1,0,1,4,8,1,5,3,4,0,0,0,0,0,0,15,1,5,0,0,0,0,0,14,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,"processOutput/2[ai.djl.examples.inference.face.TranslatorContext,ai.djl.examples.inference.face.NDList]",false,80,14,2,0,2,6,26,59,1,33,2,26,2,1,3,0,0,0,10,31,41,7,3,0,0,0,70,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,"processInput/2[ai.djl.examples.inference.face.TranslatorContext,ai.djl.examples.inference.face.Image]",false,61,6,0,0,0,2,12,12,1,2,2,12,0,0,0,0,0,0,2,10,5,0,1,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,"boxRecover/5[ai.djl.examples.inference.face.NDManager,int,int,int[][],int[]]",false,167,4,1,1,0,7,6,28,1,15,5,6,0,0,6,0,0,2,0,15,17,12,4,0,0,0,23,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\examples\src\main\java\ai\djl\examples\inference\face\FaceDetectionTranslator.java,ai.djl.examples.inference.face.FaceDetectionTranslator,"FaceDetectionTranslator/6[double,double,double[],int,int[][],int[]]",true,50,2,2,2,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\modality\cv\output\Mask.java,ai.djl.modality.cv.output.Mask,"Mask/5[double,double,double,double,float[][]]",true,34,1,1,1,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\api\src\main\java\ai\djl\modality\cv\output\Mask.java,ai.djl.modality.cv.output.Mask,getProbDist/0,false,44,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\timeseries\src\main\java\ai\djl\timeseries\distribution\output\ArgProj.java,ai.djl.timeseries.distribution.output.ArgProj,"initializeChildBlocks/3[ai.djl.timeseries.distribution.output.NDManager,ai.djl.timeseries.distribution.output.DataType,ai.djl.timeseries.distribution.output.Shape[]]",false,56,3,0,0,0,2,1,5,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,4,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\timeseries\src\main\java\ai\djl\timeseries\distribution\output\ArgProj.java,ai.djl.timeseries.distribution.output.ArgProj,"forwardInternal/4[ai.djl.timeseries.distribution.output.ParameterStore,ai.djl.timeseries.distribution.output.NDList,boolean,ai.djl.timeseries.distribution.output.PairList<java.lang.String,java.lang.Object>]",false,68,3,0,0,0,2,3,7,1,1,4,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12,4,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\djl\extensions\timeseries\src\main\java\ai\djl\timeseries\distribution\output\ArgProj.java,ai.djl.timeseries.distribution.output.ArgProj,builder/0,false,92,1,3,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
