file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\ranker\normalizer\Normalizers.java,com.o19s.es.ltr.ranker.normalizer.Normalizers,class,1,4,3,1,3,1,0,3,0,0.6666667,0.0,0.0,2,2,2,0,0,0,2,0,0,0,3,3,2,1,0,0,3,0,1,34,2,0,1,0,0,3,0,4,1,4,1,1,2,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,class,24,25,1,24,25,2,0,60,241,0.82608694,0.0,0.0,23,0,19,4,0,0,19,0,0,0,2,0,0,2,0,0,0,0,10,176,6,0,0,0,6,166,21,73,35,63,0,0,0,7,108,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\query\DerivedExpressionQuery.java,com.o19s.es.ltr.query.DerivedExpressionQuery$FVWeight,innerclass,15,15,0,15,6,2,0,12,4,0.45000002,0.0,0.0,5,0,4,0,0,1,5,0,0,0,4,0,0,4,0,0,4,0,0,40,6,0,1,0,0,1,0,10,1,12,2,0,0,2,50,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\feature\store\StoredFeature.java,com.o19s.es.ltr.feature.store.StoredFeature,class,27,59,32,27,43,2,0,55,0,0.7576923,0.0,0.0,20,2,15,1,0,4,20,0,0,0,13,8,2,11,0,0,13,0,14,211,29,0,5,3,7,14,6,32,17,26,3,0,1,3,104,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\stats\LTRStatTests.java,com.o19s.es.ltr.stats.LTRStatTests,class,2,2,0,2,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,3,0,3,0,0,0,3,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\ranker\LogLtrRanker.java,com.o19s.es.ltr.ranker.LogLtrRanker,class,5,8,3,5,8,1,0,4,0,0.25,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,64,4,0,2,0,2,2,0,6,1,3,1,0,2,0,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\action\ClearCachesAction.java,com.o19s.es.ltr.action.ClearCachesAction$RequestBuilder,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\ranker\dectree\NaiveAdditiveDecisionTree.java,com.o19s.es.ltr.ranker.dectree.NaiveAdditiveDecisionTree$Leaf,innerclass,3,3,0,3,4,1,0,1,4,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,0,16,3,0,0,0,0,0,0,2,0,2,0,0,0,0,29,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\query\DerivedExpressionQuery.java,com.o19s.es.ltr.query.DerivedExpressionQuery$FVDoubleValuesSource,innerclass,7,7,0,7,12,2,0,3,16,0.5,0.0,0.0,8,0,7,0,0,1,8,0,0,0,2,0,0,2,0,0,2,0,2,45,9,0,4,0,0,3,0,3,2,3,1,1,0,0,43,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\ranker\parser\LtrRankerParserFactoryTests.java,com.o19s.es.ltr.ranker.parser.LtrRankerParserFactoryTests,class,4,4,0,4,2,2,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,4,0,8,0,0,0,7,23,1,0
