file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\ranker\normalizer\Normalizers.java,com.o19s.es.ltr.ranker.normalizer.Normalizers,exists/1[java.lang.String],false,26,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\main\java\com\o19s\es\ltr\ranker\normalizer\Normalizers.java,com.o19s.es.ltr.ranker.normalizer.Normalizers,get/1[java.lang.String],false,18,1,10,10,0,2,1,7,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,12,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,assertTestModel/1[com.o19s.es.ltr.feature.store.StoredLtrModel],false,116,3,9,2,7,2,10,7,0,0,1,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,13,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,testSerializationUpgradeBinaryStream/0,false,312,4,5,0,5,1,9,10,0,4,0,9,0,0,0,0,0,0,3,2,4,0,0,0,0,0,17,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,testFeatureStdNormParsing/0,false,166,4,7,0,7,1,11,21,0,9,0,11,3,2,0,0,0,2,15,4,13,6,0,0,0,0,34,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,testParseWithExternalName/0,false,361,3,3,0,3,1,4,5,0,2,0,4,1,1,0,0,0,0,10,0,2,2,0,0,0,0,16,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,getTestModelAsXContent/0,false,73,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,testParseWithInconsistentName/0,false,375,2,1,0,1,1,6,4,0,1,0,6,0,0,0,0,0,0,11,0,1,2,0,0,0,1,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,getSimpleFeatureSet/0,false,86,0,4,4,0,1,0,4,1,1,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elasticsearch-learning-to-rank\src\test\java\com\o19s\es\ltr\feature\store\StoredLtrModelParserTests.java,com.o19s.es.ltr.feature.store.StoredLtrModelParserTests,testParseFailureOnMissingName/0,false,347,2,1,0,1,1,6,4,0,1,0,6,0,0,0,0,0,0,9,0,1,2,0,0,0,1,17,1,0,false
