file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-clustering\src\main\java\elki\clustering\hierarchical\birch\VarianceIncreaseDistance.java,elki.clustering.hierarchical.birch.VarianceIncreaseDistance,class,7,10,3,7,8,1,0,3,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,43,2,2,2,0,3,6,18,38,26,29,1,0,1,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-core-distance\src\main\java\elki\distance\probabilistic\TriangularDistance.java,elki.distance.probabilistic.TriangularDistance,class,6,9,3,6,10,3,0,6,28,0.875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,1,1,0,0,0,1,0,2,32,7,0,2,0,1,6,0,1,0,1,0,0,1,0,99,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-index-preprocessed\src\main\java\elki\index\preprocessed\knn\AbstractMaterializeKNNPreprocessor.java,elki.index.preprocessed.knn.AbstractMaterializeKNNPreprocessor$Factory,innerclass,8,8,0,8,4,1,0,1,0,0.75,0.0,0.0,4,0,4,0,0,0,4,1,0,0,4,2,2,0,2,0,2,0,0,27,2,0,0,0,0,4,0,4,0,4,0,0,1,0,64,1033,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\addons\batikvis\src\main\java\elki\visualization\visualizers\scatterplot\TooltipScoreVisualization.java,elki.visualization.visualizers.scatterplot.TooltipScoreVisualization$Instance,innerclass,12,12,0,12,3,4,0,13,0,0.16666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,2,0,0,2,0,0,0,0,0,39,1,0,0,0,0,1,2,10,4,10,0,0,0,0,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-clustering\src\main\java\elki\clustering\dbscan\predicates\FourCNeighborPredicate.java,elki.clustering.dbscan.predicates.FourCNeighborPredicate$Par,innerclass,4,4,0,4,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-clustering\src\main\java\elki\clustering\hierarchical\birch\CentroidEuclideanDistance.java,elki.clustering.hierarchical.birch.CentroidEuclideanDistance$Par,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-clustering\src\main\java\elki\evaluation\clustering\internal\AverageNeighborConsistency.java,elki.evaluation.clustering.internal.AverageNeighborConsistency,class,14,16,2,14,15,1,0,29,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,71,2,4,2,0,0,17,8,21,4,18,4,0,1,0,108,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\addons\batikvis\src\main\java\elki\visualization\VisualizerParameterizer.java,elki.visualization.VisualizerParameterizer,class,13,21,8,13,24,1,0,31,4,0.6785714,0.0,0.0,4,2,3,0,1,0,4,0,0,0,7,2,1,6,0,0,2,0,3,135,3,4,5,0,0,3,10,22,1,17,3,0,1,0,129,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-core\src\main\java\elki\result\textwriter\TextWriterWriterInterface.java,elki.result.textwriter.TextWriterWriterInterface,class,3,5,2,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\elki\elki-core-parallel\src\main\java\elki\parallel\processor\WriteDataStoreProcessor.java,elki.parallel.processor.WriteDataStoreProcessor$Instance,innerclass,4,4,0,4,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1,0
