file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBEntry.java,com.scienceminer.nerd.kb.db.KBEntry,class,2,30,28,2,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,4,0,2,0,0,0,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityEmbeddings.java,com.scienceminer.nerd.embeddings.EntityEmbeddings$MyCounters,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,class,18,19,1,18,83,1,0,84,8,0.5925926,0.0,0.0,9,3,8,1,0,0,8,0,0,0,3,1,0,3,0,0,1,0,17,370,4,12,31,15,5,64,60,133,27,93,9,0,0,0,249,1,10
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdServicePropertyException.java,com.scienceminer.nerd.exceptions.NerdServicePropertyException,class,1,1,0,1,4,6,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigPtWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigPtWp,class,5,7,2,5,4,3,0,13,6,0.0,0.0,0.0,4,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,56,2,0,0,0,0,75,35,2,0,2,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,innerclass,4,4,0,4,26,1,0,8,52,0.6458333,0.0,0.0,16,0,13,3,0,0,13,0,0,0,3,0,0,3,0,0,0,0,0,100,13,0,0,1,0,0,36,27,0,4,1,0,0,0,48,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\MarkupDatabase.java,com.scienceminer.nerd.kb.db.MarkupDatabase$DumpTag,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLinkLocationList.java,com.scienceminer.nerd.kb.model.hadoop.DbLinkLocationList$Comparator,innerclass,5,5,0,5,14,2,0,5,6,0.0,0.0,0.0,4,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,61,5,2,3,2,6,0,10,25,2,13,4,0,0,0,25,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,class,5,10,5,5,10,1,0,11,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,2,1,0,1,0,0,28,7,0,4,0,0,0,2,7,0,5,1,0,0,0,52,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,class,10,22,12,10,146,1,0,64,2150,0.9645308,0.0,0.0,69,2,69,0,0,0,69,0,0,0,38,6,7,31,0,0,6,0,5,447,39,13,49,1,32,16,42,113,23,68,7,0,0,0,179,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityEmbeddings.java,com.scienceminer.nerd.embeddings.EntityEmbeddings$EntityCruncher,innerclass,4,4,0,4,13,1,0,16,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,9,0,0,9,0,0,9,0,0,79,0,3,4,1,7,6,14,27,10,24,5,0,0,0,44,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\IntLongDatabase.java,com.scienceminer.nerd.kb.db.IntLongDatabase,class,10,12,2,10,16,2,0,23,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,6,71,3,1,5,3,2,8,5,23,5,15,3,0,0,0,56,1025,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigUkWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigUkWp,class,5,7,2,5,4,3,0,13,6,0.0,0.0,0.0,4,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,53,2,0,0,0,0,69,32,2,0,2,0,0,0,0,23,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdPropertyException.java,com.scienceminer.nerd.exceptions.NerdPropertyException,class,1,1,0,1,4,5,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\WikipediaLabelIDF.java,com.scienceminer.nerd.utilities.WikipediaLabelIDF,class,8,9,1,8,25,1,0,36,0,0.22222222,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,10,123,1,3,5,6,1,30,19,31,12,24,5,0,0,1,124,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\LabelSenseList.java,com.scienceminer.nerd.kb.model.avro.LabelSenseList$Builder,innerclass,5,5,0,5,12,1,0,8,0,0.25,0.0,0.0,8,0,5,3,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,47,5,0,0,1,0,0,12,10,0,2,1,0,0,0,45,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\LinkSummary.java,com.scienceminer.nerd.kb.model.avro.LinkSummary,class,8,12,4,8,29,2,0,1,67,0.7192982,0.0,0.0,19,4,19,0,0,0,19,0,0,0,6,1,6,0,0,0,1,0,0,251,15,0,0,0,0,5,10,16,0,6,1,0,1,0,75,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\UpperKnowledgeBase.java,com.scienceminer.nerd.kb.UpperKnowledgeBase,class,17,42,25,17,30,1,0,39,0,0.8095239,0.0,0.0,18,2,16,2,0,0,16,0,0,1,7,3,1,5,1,0,2,0,4,233,17,3,4,1,0,67,2,82,0,31,4,0,0,0,182,1,21
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous1,anonymous,9,9,0,9,21,1,0,26,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,78,6,1,9,4,7,9,3,22,5,15,4,0,0,0,54,-1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous2,anonymous,6,6,0,6,10,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,4,0,8,0,2,0,0,4,0,4,1,0,0,0,26,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous3,anonymous,10,10,0,10,10,1,0,20,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,41,2,2,3,1,2,5,3,12,2,9,2,0,0,0,48,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigEsWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigEsWp,class,5,7,2,5,4,3,0,13,6,0.0,0.0,0.0,4,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,55,2,0,0,0,0,73,34,2,0,2,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous4,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,15,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous5,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,11,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous6,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,1,0,1,0,4,1,3,1,0,0,0,17,-1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous7,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,13,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous8,anonymous,6,6,0,6,14,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,59,2,1,6,3,1,7,6,17,3,10,2,0,0,0,43,-1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\Disambiguation.java,com.scienceminer.nerd.kb.model.Disambiguation,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBDatabaseFactory.java,com.scienceminer.nerd.kb.db.KBDatabaseFactory$Anonymous9,anonymous,9,9,0,9,11,1,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,51,1,2,3,1,0,5,5,11,3,8,5,0,0,0,51,-1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\GenerateSpecializedVocabulary.java,com.scienceminer.nerd.utilities.GenerateSpecializedVocabulary,class,10,11,1,10,61,1,0,47,15,0.6428572,0.0,0.0,7,1,5,2,0,0,5,0,0,0,2,0,2,0,0,0,0,0,9,204,3,11,12,4,4,44,19,48,10,39,6,0,0,0,152,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\evaluation\TermVectorEvaluation.java,com.scienceminer.nerd.evaluation.TermVectorEvaluation$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\test\java\com\scienceminer\nerd\disambiguation\NerdEntityTest.java,com.scienceminer.nerd.disambiguation.NerdEntityTest,class,7,7,0,7,6,1,0,15,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,1,72,0,0,0,0,0,23,15,25,0,25,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBEnvironment.java,com.scienceminer.nerd.kb.db.KBEnvironment,class,13,44,31,13,13,1,2,11,35,0.77272725,0.0,0.0,11,4,8,0,3,0,11,3,0,0,4,2,0,1,3,0,1,0,2,50,7,1,0,0,0,1,0,7,2,6,1,0,1,0,111,1025,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\evaluation\TermVectorEvaluation.java,com.scienceminer.nerd.evaluation.TermVectorEvaluation,class,9,11,2,9,49,1,0,44,2,0.48235297,0.0,0.0,5,0,4,1,0,0,4,0,0,0,17,1,1,16,0,0,1,0,3,238,1,4,21,2,41,65,50,101,48,67,8,1,0,0,135,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\StringIntDatabase.java,com.scienceminer.nerd.kb.db.StringIntDatabase,class,10,15,5,10,17,2,1,22,13,0.6666667,0.0,0.0,6,0,6,0,0,0,6,1,0,0,1,1,0,1,0,0,1,0,6,70,3,1,5,3,2,8,3,21,4,14,3,0,0,0,55,1025,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\LREntityScorer.java,com.scienceminer.nerd.embeddings.LREntityScorer,class,6,7,1,6,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\service\HealthCheck.java,com.scienceminer.nerd.service.HealthCheck,class,8,9,1,8,3,2,0,3,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\evaluation\AnnotatedDataGeneration.java,com.scienceminer.nerd.evaluation.AnnotatedDataGeneration,class,30,32,2,30,37,1,0,102,8,0.70000005,0.0,0.0,5,1,4,0,1,0,5,0,0,0,2,1,0,1,0,1,1,0,19,237,2,4,12,5,2,85,13,84,20,71,7,0,0,4,205,1,11
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\training\CorpusArticle.java,com.scienceminer.nerd.training.CorpusArticle,class,4,8,4,4,4,3,0,2,2,0.6666667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,1,2,0,0,1,0,0,18,2,0,0,0,0,0,1,5,0,3,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\Article.java,com.scienceminer.nerd.kb.model.Article,class,10,38,28,10,31,2,4,20,66,0.0,0.0,0.0,12,0,11,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,79,21,4,15,0,0,0,12,22,0,18,1,0,0,0,88,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\training\ArticleTrainingSample.java,com.scienceminer.nerd.training.ArticleTrainingSample,class,16,22,6,16,67,2,0,62,0,0.2857143,0.0,0.0,7,2,6,1,0,0,6,0,0,0,2,1,1,1,0,0,1,0,6,185,13,6,32,6,27,20,7,52,8,40,4,0,0,0,135,1,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary,class,8,10,2,8,21,2,0,1,37,0.6666666,0.0,0.0,15,4,15,0,0,0,15,0,0,0,4,1,4,0,0,0,1,0,0,173,11,0,0,0,0,5,6,10,0,4,1,0,1,0,70,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\erd\WikipediaLabelToFreebaseRecord.java,com.scienceminer.nerd.erd.WikipediaLabelToFreebaseRecord,class,2,3,1,2,15,1,0,22,39,0.8,0.0,0.0,11,1,9,0,2,0,11,0,0,0,5,2,0,5,0,0,2,0,2,69,7,1,0,0,0,5,7,17,3,14,2,0,0,0,50,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\service\NerdRestProcessString.java,com.scienceminer.nerd.service.NerdRestProcessString,class,11,15,4,11,14,1,0,36,13,0.6666667,0.0,0.0,6,5,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,9,89,7,0,1,2,0,37,2,25,3,16,2,0,0,0,86,1,7
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBUpperEnvironment.java,com.scienceminer.nerd.kb.db.KBUpperEnvironment,class,13,18,5,13,21,2,0,25,137,0.86184216,0.0,0.0,19,0,11,7,1,0,12,0,0,0,8,1,0,8,0,0,1,0,2,96,14,0,0,0,0,9,0,21,3,13,1,0,0,0,132,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdEngine.java,com.scienceminer.nerd.disambiguation.NerdEngine,class,42,56,14,42,432,1,0,278,236,0.86781615,0.0,0.0,29,5,17,12,0,0,17,0,0,1,12,5,3,9,0,0,1,0,61,1321,41,70,158,10,75,58,124,400,47,295,9,0,0,0,456,1,22
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLabelForPageList.java,com.scienceminer.nerd.kb.model.hadoop.DbLabelForPageList,class,11,13,2,11,38,3,0,32,7,0.7,0.0,0.0,15,4,13,2,0,0,15,0,0,0,4,3,0,4,0,0,1,0,3,225,16,8,8,0,4,14,13,43,3,31,4,0,1,0,62,1,0
