file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBEntry.java,com.scienceminer.nerd.kb.db.KBEntry,getValue/0,false,22,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBEntry.java,com.scienceminer.nerd.kb.db.KBEntry,getKey/0,false,18,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\db\KBEntry.java,com.scienceminer.nerd.kb.db.KBEntry,"KBEntry/2[K,V]",true,13,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"generateDescriptionGraphRelations/2[java.lang.String,java.lang.String]",false,261,10,15,0,15,12,24,66,0,19,2,24,1,1,3,2,3,0,10,4,24,2,6,0,0,0,93,1,2,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,getLinkRegions/1[java.lang.String],false,501,1,1,1,0,4,12,22,1,8,1,12,0,0,1,1,0,0,1,3,8,2,3,0,0,0,42,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"normaliseDescription/2[java.lang.String,java.lang.String]",false,348,3,7,3,4,4,14,23,1,3,2,14,0,0,1,0,1,0,13,1,11,0,3,0,0,0,28,10,1,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"truncate/2[java.lang.String,int]",false,532,0,1,1,0,3,3,12,2,2,2,3,0,0,1,1,0,0,1,5,3,1,2,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"generateDescriptionSummaries/3[java.lang.String,java.lang.String,boolean]",false,68,9,14,1,13,18,20,69,0,12,3,20,2,1,1,9,4,0,8,6,22,2,6,0,0,0,84,1,3,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,main/1[java.lang.String[]],false,546,1,2,0,2,2,4,10,0,3,1,4,1,2,0,0,0,0,1,4,3,0,1,0,0,0,14,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"generateDescriptionMentionContexts/2[java.lang.String,java.lang.String]",false,155,15,18,0,18,22,35,81,0,26,2,35,2,1,4,9,3,4,12,24,34,6,9,0,0,0,107,1,3,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,EntityDescription/0,true,48,2,3,1,2,2,1,8,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\embeddings\EntityDescription.java,com.scienceminer.nerd.embeddings.EntityDescription,"convertIdentifierEmbeddings/2[java.lang.String,java.lang.String]",false,410,5,5,0,5,16,17,74,0,17,2,17,0,0,1,9,3,1,17,12,25,14,4,0,0,0,66,1,1,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdServicePropertyException.java,com.scienceminer.nerd.exceptions.NerdServicePropertyException,NerdServicePropertyException/1[java.lang.String],true,14,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdServicePropertyException.java,com.scienceminer.nerd.exceptions.NerdServicePropertyException,NerdServicePropertyException/1[java.lang.Throwable],true,18,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdServicePropertyException.java,com.scienceminer.nerd.exceptions.NerdServicePropertyException,"NerdServicePropertyException/2[java.lang.String,java.lang.Throwable]",true,22,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\exceptions\NerdServicePropertyException.java,com.scienceminer.nerd.exceptions.NerdServicePropertyException,NerdServicePropertyException/0,true,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigPtWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigPtWp,generate/0,false,68,2,2,1,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigPtWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigPtWp,addNamespaces/1[com.scienceminer.nerd.utilities.mediaWiki.WikiConfigImpl],false,98,2,0,0,0,1,5,37,0,0,1,5,0,0,0,0,0,0,70,35,0,0,0,0,0,0,10,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigPtWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigPtWp,configureSiteProperties/1[com.scienceminer.nerd.utilities.mediaWiki.WikiConfigImpl],false,75,1,0,0,0,1,4,6,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\utilities\mediaWiki\DefaultConfigPtWp.java,com.scienceminer.nerd.utilities.mediaWiki.DefaultConfigPtWp,configureParser/1[com.scienceminer.nerd.utilities.mediaWiki.WikiConfigImpl],false,86,2,0,0,0,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,getChildIds/0,false,215,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,hasDepthForwarded/0,false,204,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,getDepthForwarded/0,false,191,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,setDepth/1[java.lang.Integer],false,171,1,0,0,0,1,3,6,1,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,setDepthForwarded/1[boolean],false,196,1,0,0,0,1,3,6,1,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,setChildIds/1[java.util.List<java.lang.Integer>],false,220,1,0,0,0,1,3,6,1,0,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,hasChildIds/0,false,228,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,getDepth/0,false,166,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,clearChildIds/0,false,233,1,0,0,0,1,1,5,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,clearDepth/0,false,184,1,0,0,0,1,1,5,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,hasDepth/0,false,179,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,build/0,false,240,3,1,0,1,5,3,12,1,1,0,3,0,0,0,0,1,0,0,6,4,0,1,0,0,0,13,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,Builder/1[com.scienceminer.nerd.kb.model.avro.PageDepthSummary],true,149,1,1,1,0,4,6,15,0,0,1,6,0,0,0,0,0,0,0,9,6,0,1,0,0,0,21,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,Builder/0,true,127,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,clearDepthForwarded/0,false,209,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\avro\PageDepthSummary.java,com.scienceminer.nerd.kb.model.avro.PageDepthSummary$Builder,Builder/1[com.scienceminer.nerd.kb.model.avro.PageDepthSummary.Builder],true,132,1,1,1,0,4,6,15,0,0,1,6,0,0,0,0,0,0,0,9,6,0,1,0,0,0,17,2,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLinkLocationList.java,com.scienceminer.nerd.kb.model.hadoop.DbLinkLocationList$Comparator,Comparator/0,true,173,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLinkLocationList.java,com.scienceminer.nerd.kb.model.hadoop.DbLinkLocationList$Comparator,"slurpRaw/3[byte[],int,int]",false,176,2,1,0,1,3,3,20,1,5,3,3,0,0,1,0,1,1,0,1,9,1,3,0,0,0,12,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLinkLocationList.java,com.scienceminer.nerd.kb.model.hadoop.DbLinkLocationList$Comparator,"compareRaw/6[byte[],int,int,byte[],int,int]",false,194,2,2,1,1,7,3,32,3,7,6,3,0,0,1,1,1,2,0,4,15,1,4,0,0,0,16,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\model\hadoop\DbLinkLocationList.java,com.scienceminer.nerd.kb.model.hadoop.DbLinkLocationList$Comparator,"compare/6[byte[],int,int,byte[],int,int]",false,216,2,1,0,1,3,1,4,1,1,6,1,1,1,0,2,0,3,0,5,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,"Concept/2[com.scienceminer.nerd.kb.db.KBUpperEnvironment,java.lang.String]",true,25,1,2,2,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,getPageIdByLang/1[java.lang.String],false,34,2,5,3,2,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,getLabelByLang/1[java.lang.String],false,50,2,4,2,2,6,5,9,4,1,1,5,0,0,0,4,0,0,0,2,1,0,1,0,0,0,22,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,getStatements/0,false,42,3,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\kb\Concept.java,com.scienceminer.nerd.kb.Concept,getId/0,false,30,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getWikipediaCategories/0,false,268,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setBestCaseContext/1[boolean],false,229,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getNerdScore/0,false,368,0,9,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getLang/0,false,282,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,toString/0,false,409,2,2,0,2,11,5,39,1,1,0,5,0,0,1,8,0,0,15,2,1,14,2,0,0,0,29,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setMethod/1[int],false,328,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getBestCaseContext/0,false,225,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setProb_c/1[double],false,340,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getProb_c/0,false,336,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setComplexSegment/1[boolean],false,145,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getFreq_i/0,false,360,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getDomains/0,false,205,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setExpandedDomains/1[java.util.List<java.lang.String>],false,237,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,addDefinition/1[com.scienceminer.nerd.kb.Definition],false,322,1,1,1,0,2,1,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setWikiSense/1[com.scienceminer.nerd.kb.model.Label.Sense],false,193,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setFreeBaseExternalRef/1[java.lang.String],false,310,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setFreq_i/1[int],false,364,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getFreebaseHighTypes/0,false,157,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,setWikidataId/1[java.lang.String],false,264,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,isCoReference/0,false,392,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,copy/1[com.scienceminer.nerd.disambiguation.NerdEntity],false,715,2,18,1,17,1,16,12,1,1,1,16,16,1,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,getWikiSense/0,false,189,1,11,11,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\entity-fishing\src\main\java\com\scienceminer\nerd\disambiguation\NerdCandidate.java,com.scienceminer.nerd.disambiguation.NerdCandidate,addWikipediaCategories/1[com.scienceminer.nerd.kb.Category],false,276,1,3,3,0,2,1,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,false
