file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,class,20,21,1,20,19,2,0,57,0,0.7762239,0.0,0.0,13,0,12,1,0,0,12,0,0,0,11,1,1,10,0,0,8,0,30,130,2,3,2,1,0,21,89,53,0,53,3,0,0,2,85,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-iteration\flink-ml-iteration-common\src\main\java\org\apache\flink\iteration\operator\OperatorUtils.java,OperatorUtils,class,29,29,0,29,19,1,0,51,36,0.0,0.0,0.0,9,9,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,89,6,2,3,1,7,6,3,21,2,21,3,0,0,3,115,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-iteration\flink-ml-iteration-common\src\main\java\org\apache\flink\iteration\operator\HeadOperatorFactory.java,org.apache.flink.iteration.operator.HeadOperatorFactory,class,18,22,4,18,10,2,2,13,20,0.725,0.0,0.0,8,0,7,0,0,1,8,0,0,0,5,0,0,5,0,0,4,0,0,39,5,0,0,0,0,2,2,7,1,7,0,0,0,0,44,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-examples\src\main\java\org\apache\flink\ml\examples\feature\VarianceThresholdSelectorExample.java,org.apache.flink.ml.examples.feature.VarianceThresholdSelectorExample,class,9,9,0,9,2,1,0,19,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,5,44,12,0,12,1,0,0,0,33,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-core\src\main\java\org\apache\flink\ml\common\datastream\sort\CoGroupOperator.java,org.apache.flink.ml.common.datastream.sort.CoGroupOperator$TupleUnwrappingIterator,innerclass,6,6,0,6,7,1,0,3,1,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,1,0,4,0,0,1,0,0,33,4,0,0,0,0,0,1,6,0,5,1,0,0,0,28,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-benchmark\src\main\java\org\apache\flink\ml\benchmark\datagenerator\common\RandomStringArrayGenerator.java,org.apache.flink.ml.benchmark.datagenerator.common.RandomStringArrayGenerator$Anonymous1,anonymous,3,3,0,3,4,1,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,18,2,2,0,0,0,0,4,6,0,5,2,0,0,0,17,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-iteration\flink-ml-iteration-common\src\main\java\org\apache\flink\iteration\operator\coordinator\SharedProgressAlignerListener.java,org.apache.flink.iteration.operator.coordinator.SharedProgressAlignerListener,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-core\src\test\java\org\apache\flink\iteration\datacache\nonkeyed\ListStateWithCacheTest.java,org.apache.flink.iteration.datacache.nonkeyed.ListStateWithCacheTest,class,20,21,1,20,3,2,0,21,3,1.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,70,2,0,0,1,0,1,14,11,1,12,1,1,1,1,38,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-iteration\flink-ml-iteration-common\src\test\java\org\apache\flink\iteration\operator\perround\PerRoundOperatorStateTest.java,org.apache.flink.iteration.operator.perround.PerRoundOperatorStateTest$KeyedStatefulProcessFunction,innerclass,14,14,0,14,7,2,0,15,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,26,0,0,1,0,0,3,6,3,0,3,1,0,0,0,28,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-tests\src\test\java\org\apache\flink\test\iteration\operators\ReduceAllRoundProcessFunction.java,org.apache.flink.test.iteration.operators.ReduceAllRoundProcessFunction,class,15,17,2,15,13,2,0,24,2,0.625,0.0,0.0,8,0,7,0,1,0,8,0,0,0,7,0,0,7,0,0,2,0,1,61,0,0,1,0,0,4,2,8,1,12,2,1,0,3,56,1,0
