file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testFitAndPredictWithMean/0,false,165,4,1,0,1,1,6,5,0,2,0,6,1,1,0,0,0,0,0,1,2,0,0,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testGetModelData/0,false,217,5,0,0,0,1,13,11,0,5,0,13,0,0,0,0,0,0,3,5,5,0,0,0,0,0,15,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testParam/0,false,125,2,0,0,0,1,9,12,0,1,0,9,0,0,0,0,0,0,6,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testFitAndPredictWithMeanAndStd/0,false,172,4,1,0,1,1,5,5,0,2,0,5,1,1,0,0,0,0,0,1,2,0,0,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testInputTypeConversion/0,false,179,5,1,0,1,1,8,7,0,2,0,8,1,1,0,0,0,0,0,1,3,0,0,0,0,0,18,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testSaveLoadAndPredict/0,false,190,5,1,0,1,1,13,9,0,3,0,13,1,1,0,0,0,0,2,4,5,0,0,0,0,0,19,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testOutputSchema/0,false,146,3,0,0,0,1,9,6,0,3,0,9,0,0,0,0,0,0,5,1,3,0,0,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,"verifyPredictionResult/3[java.util.List<org.apache.flink.ml.linalg.DenseVector>,org.apache.flink.ml.feature.Table,java.lang.String]",false,95,4,10,7,3,5,16,23,2,9,3,16,0,0,3,1,0,0,1,4,7,0,3,0,0,1,19,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,testFitOnEmptyData/0,false,272,4,0,0,0,3,14,12,0,4,0,14,0,0,0,1,1,0,2,2,3,0,1,0,0,1,22,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\flink-ml\flink-ml-lib\src\test\java\org\apache\flink\ml\feature\StandardScalerTest.java,org.apache.flink.ml.feature.StandardScalerTest,before/0,false,87,1,0,0,0,1,5,5,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,7,1,0,false
