file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,getName/0,false,47,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,"createTreeViewer/4[java.lang.String,com.badlogic.gdx.ai.btree.BehaviorTree<?>,boolean,com.badlogic.gdx.ai.tests.btree.Skin]",false,63,3,6,5,1,1,2,6,1,1,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,4,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,dispose/0,false,73,2,4,2,2,2,3,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,BehaviorTreeTestBase/1[java.lang.String],true,34,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,createActor/1[com.badlogic.gdx.ai.tests.btree.Skin],false,45,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,getDescription/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,setDescription/1[java.lang.String],false,55,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,setName/1[java.lang.String],false,51,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\btree\BehaviorTreeTestBase.java,com.badlogic.gdx.ai.tests.btree.BehaviorTreeTestBase,"BehaviorTreeTestBase/2[java.lang.String,java.lang.String]",true,38,2,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dSeekTest,create/0,false,43,7,11,0,11,1,12,22,0,2,0,12,0,0,0,0,0,0,0,7,6,2,0,0,0,0,24,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dSeekTest,Scene2dSeekTest/1[com.badlogic.gdx.ai.tests.SteeringBehaviorsTest],true,38,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dSeekTest,draw/0,false,77,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\tests\src\com\badlogic\gdx\ai\tests\steer\scene2d\tests\Scene2dSeekTest.java,com.badlogic.gdx.ai.tests.steer.scene2d.tests.Scene2dSeekTest,dispose/0,false,81,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\StandaloneFileSystem.java,com.badlogic.gdx.ai.StandaloneFileSystem$DesktopFileHandle,child/1[java.lang.String],false,76,2,1,0,1,2,2,4,2,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\StandaloneFileSystem.java,com.badlogic.gdx.ai.StandaloneFileSystem$DesktopFileHandle,sibling/1[java.lang.String],false,81,3,1,0,1,2,3,4,1,0,1,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gdx-ai\gdx-ai\src\com\badlogic\gdx\ai\StandaloneFileSystem.java,com.badlogic.gdx.ai.StandaloneFileSystem$DesktopFileHandle,parent/0,false,86,2,1,0,1,3,1,8,1,1,0,1,0,0,0,2,0,0,2,0,3,0,2,0,0,0,6,1,0,false
