file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,SwipeTouchListener/1[org.woheller69.gptassist.Context],true,15,3,2,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,onSwipeLeft/0,false,27,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,onSwipeRight/0,false,25,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,"onTouch/2[org.woheller69.gptassist.View,org.woheller69.gptassist.MotionEvent]",false,21,3,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,onSwipeTop/0,false,29,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\SwipeTouchListener.java,org.woheller69.gptassist.SwipeTouchListener,onSwipeBottom/0,false,31,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\GithubStar.java,org.woheller69.gptassist.GithubStar$Anonymous2,"onClick/2[org.woheller69.gptassist.DialogInterface,int]",false,51,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\MainActivity.java,org.woheller69.gptassist.MainActivity$Anonymous2,onConsoleMessage/1[org.woheller69.gptassist.ConsoleMessage],false,138,1,0,0,0,2,4,7,2,0,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\MainActivity.java,org.woheller69.gptassist.MainActivity$Anonymous2,"onShowFileChooser/3[org.woheller69.gptassist.WebView,org.woheller69.gptassist.ValueCallback<org.woheller69.gptassist.Uri[]>,org.woheller69.gptassist.FileChooserParams]",false,147,4,0,0,0,4,6,17,1,1,3,6,0,0,0,2,0,0,1,1,3,0,2,0,0,0,26,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\GithubStar.java,org.woheller69.gptassist.GithubStar$Anonymous1,"onClick/2[org.woheller69.gptassist.DialogInterface,int]",false,44,3,1,0,1,1,3,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\GithubStar.java,org.woheller69.gptassist.GithubStar,"starDialog/2[org.woheller69.gptassist.Context,java.lang.String]",false,37,4,1,1,0,2,9,23,0,3,2,9,0,0,0,0,0,0,1,0,3,0,1,2,0,0,21,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\GithubStar.java,org.woheller69.gptassist.GithubStar,shouldShowStarDialog/1[org.woheller69.gptassist.Context],false,19,2,1,1,0,4,7,17,2,5,1,7,0,0,0,0,0,0,5,1,5,0,1,0,0,0,17,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\GithubStar.java,org.woheller69.gptassist.GithubStar,"setAskForStar/2[boolean,org.woheller69.gptassist.Context]",false,12,2,1,1,0,1,4,6,0,2,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\gptAssist\app\src\main\java\org\woheller69\gptassist\MainActivity.java,org.woheller69.gptassist.MainActivity$Anonymous3,"shouldOverrideUrlLoading/2[org.woheller69.gptassist.WebView,org.woheller69.gptassist.WebResourceRequest]",false,208,3,1,0,1,10,11,25,5,1,2,11,0,0,1,0,0,0,7,0,2,2,2,0,0,0,20,1,0,false
