file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-core\src\main\java\org\grobid\core\engines\label\SegmentationLabels.java,org.grobid.core.engines.label.SegmentationLabels,(initializer 1),false,54,1,2,0,2,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-core\src\main\java\org\grobid\core\engines\label\SegmentationLabels.java,org.grobid.core.engines.label.SegmentationLabels,SegmentationLabels/0,true,35,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-core\src\main\java\org\grobid\core\document\xml\NodeChildrenIterator.java,org.grobid.core.document.xml.NodeChildrenIterator$BlacklistElementNamePredicate,BlacklistElementNamePredicate/1[java.lang.String[]],true,19,0,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-core\src\main\java\org\grobid\core\document\xml\NodeChildrenIterator.java,org.grobid.core.document.xml.NodeChildrenIterator$BlacklistElementNamePredicate,apply/1[org.grobid.core.document.xml.Node],false,24,3,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-core\src\main\java\org\grobid\core\utilities\LayoutTokensUtil.java,org.grobid.core.utilities.LayoutTokensUtil$Anonymous1,apply/1[org.grobid.core.layout.LayoutToken],false,27,1,3,0,3,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-trainer\src\main\java\org\grobid\trainer\evaluation\Stats.java,org.grobid.trainer.evaluation.Stats,incrementObserved/1[java.lang.String],false,68,1,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-trainer\src\main\java\org\grobid\trainer\evaluation\Stats.java,org.grobid.trainer.evaluation.Stats,getPrecision/1[java.lang.String],false,108,3,3,0,3,2,2,5,1,1,1,2,1,1,0,1,0,0,1,0,1,1,1,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-trainer\src\main\java\org\grobid\trainer\evaluation\Stats.java,org.grobid.trainer.evaluation.Stats,computeMetrics/0,false,134,2,23,11,12,11,13,43,1,8,0,13,2,1,3,2,0,1,3,3,22,2,2,0,0,0,53,1,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-trainer\src\main\java\org\grobid\trainer\evaluation\Stats.java,org.grobid.trainer.evaluation.Stats,getMacroAverageRecall/0,false,262,1,6,5,1,2,2,5,2,0,0,2,1,2,0,1,0,0,0,3,0,1,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\grobid\grobid-trainer\src\main\java\org\grobid\trainer\evaluation\Stats.java,org.grobid.trainer.evaluation.Stats,"incrementObserved/2[java.lang.String,int]",false,72,3,4,1,3,2,2,6,0,1,2,2,1,1,0,1,0,0,1,0,2,1,1,0,0,0,14,1,0,false
