file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\WoodenMan\app\src\main\java\com\huawei\hms\mlkit\sample\views\SpaceItemDecoration.java,com.huawei.hms.mlkit.sample.views.SpaceItemDecoration,class,6,7,1,6,3,2,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,1,0,0,0,1,5,0,1,1,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-vision\src\main\java\com\huawei\mlkit\sample\activity\fragment\SliceImageFragment.java,com.huawei.mlkit.sample.activity.fragment.SliceImageFragment,class,6,7,1,6,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,2,0,1,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,class,7,7,0,7,31,1,0,20,28,0.875,0.0,0.0,8,8,7,1,0,0,7,0,0,0,1,1,0,1,0,0,1,0,0,123,7,1,5,5,0,14,0,18,6,15,3,0,0,0,65,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\ID-Photo-DIY\app\src\main\java\com\mlkit\sample\idphoto\MainActivity.java,com.mlkit.sample.idphoto.MainActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,1,1,0,0,0,0,14,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-body\src\main\java\com\huawei\mlkit\sample\activity\adapter\skeleton\GridViewAdapterSketlon.java,com.huawei.mlkit.sample.activity.adapter.skeleton.GridViewAdapterSketlon,class,7,8,1,7,8,2,0,17,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,49,4,0,1,1,0,1,0,9,0,4,2,0,1,0,30,1,1
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\activity\aft\AudioFileTranscriptionActivity.java,com.huawei.mlkit.sample.activity.aft.AudioFileTranscriptionActivity,class,27,31,4,27,50,2,0,68,191,0.90182346,0.0,0.0,23,0,2,17,4,0,6,0,0,0,31,6,0,31,0,0,6,0,1,387,8,0,17,0,0,11,7,59,3,50,2,7,0,0,167,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\ID-Photo-DIY\app\src\main\java\com\mlkit\sample\idphoto\MainActivity.java,com.mlkit.sample.idphoto.MainActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-body\src\main\java\com\huawei\mlkit\sample\views\AddPictureDialog.java,com.huawei.mlkit.sample.views.AddPictureDialog$ClickListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\CrazyChristmas\app\src\main\java\com\huawei\mlkit\sample\activity\GoodsActivity.java,com.huawei.mlkit.sample.activity.GoodsActivity,class,17,19,2,17,15,3,0,25,22,0.8571429,0.0,0.0,9,0,0,4,5,0,5,0,0,0,21,4,0,21,0,0,4,0,8,174,4,0,2,0,0,0,7,26,0,22,2,1,1,0,87,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\PhotoReader\lensengine\src\main\java\com\huawei\mlkit\lensengine\LensEnginePreview.java,com.huawei.mlkit.lensengine.LensEnginePreview,class,20,23,3,20,43,2,0,51,45,0.82500005,0.0,0.0,15,3,7,7,1,0,8,0,0,0,8,2,0,8,0,0,1,0,15,243,11,1,10,1,6,8,34,53,32,41,2,0,2,0,111,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\activity\dialog\AddPictureDialog.java,com.huawei.mlkit.sample.activity.dialog.AddPictureDialog$ClickListener,interface,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\WoodenMan\app\src\main\java\com\huawei\hms\mlkit\sample\camera\FrameMetadata.java,com.huawei.hms.mlkit.sample.camera.FrameMetadata,class,0,13,13,0,5,1,0,0,2,0.6,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,4,0,0,49,4,0,0,0,0,0,0,4,0,4,0,0,1,0,13,1,0
