file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\WoodenMan\app\src\main\java\com\huawei\hms\mlkit\sample\views\SpaceItemDecoration.java,com.huawei.hms.mlkit.sample.views.SpaceItemDecoration,"getItemOffsets/4[com.huawei.hms.mlkit.sample.views.Rect,com.huawei.hms.mlkit.sample.views.View,com.huawei.hms.mlkit.sample.views.RecyclerView,RecyclerView.State]",false,34,5,0,0,0,2,1,8,0,0,4,1,0,0,0,1,0,0,0,1,4,0,1,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\WoodenMan\app\src\main\java\com\huawei\hms\mlkit\sample\views\SpaceItemDecoration.java,com.huawei.hms.mlkit.sample.views.SpaceItemDecoration,SpaceItemDecoration/1[int],true,29,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-vision\src\main\java\com\huawei\mlkit\sample\activity\fragment\SliceImageFragment.java,com.huawei.mlkit.sample.activity.fragment.SliceImageFragment,"onCreateView/3[com.huawei.mlkit.sample.activity.fragment.LayoutInflater,com.huawei.mlkit.sample.activity.fragment.ViewGroup,com.huawei.mlkit.sample.activity.fragment.Bundle]",false,35,4,0,0,0,1,3,11,1,1,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,11,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,deleteDirectory/1[File],false,32,2,0,0,0,3,3,10,1,1,1,3,0,0,0,0,0,0,2,0,1,1,1,0,0,0,10,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,cleanDirectory/1[File],false,78,2,0,0,0,4,2,15,0,2,1,2,0,0,1,1,1,0,0,0,3,0,2,0,0,0,17,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,deleteFile/1[String],false,135,1,0,0,0,3,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,initFile/1[Context],false,119,2,0,0,0,2,5,9,1,2,1,5,0,0,0,0,0,0,3,0,2,0,1,0,0,0,16,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,"writeBufferToFile/3[byte[],String,boolean]",false,146,3,0,0,0,6,7,33,0,3,3,7,0,0,0,2,2,0,2,0,5,0,3,0,0,0,25,9,0,true
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,deleteQuietly/1[File],false,95,0,0,0,0,5,5,19,3,0,1,5,0,0,0,1,2,0,1,0,0,0,2,0,0,0,10,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,forceDelete/1[File],false,45,3,0,0,0,4,4,15,0,2,1,4,0,0,0,0,0,0,2,0,2,2,3,0,0,0,16,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-text\src\main\java\com\huawei\mlkit\sample\util\FileUtils.java,FileUtils,verifiedListFiles/1[File],false,60,4,0,0,0,4,3,15,1,3,1,3,0,0,0,1,0,0,3,0,3,3,1,0,0,0,21,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\ApplicationCases\ID-Photo-DIY\app\src\main\java\com\mlkit\sample\idphoto\MainActivity.java,com.mlkit.sample.idphoto.MainActivity$Anonymous1,"onClick/2[com.mlkit.sample.idphoto.DialogInterface,int]",false,133,2,0,0,0,1,5,6,0,1,2,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,14,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-body\src\main\java\com\huawei\mlkit\sample\activity\adapter\skeleton\GridViewAdapterSketlon.java,com.huawei.mlkit.sample.activity.adapter.skeleton.GridViewAdapterSketlon,getItem/1[int],false,55,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-body\src\main\java\com\huawei\mlkit\sample\activity\adapter\skeleton\GridViewAdapterSketlon.java,com.huawei.mlkit.sample.activity.adapter.skeleton.GridViewAdapterSketlon,getCount/0,false,51,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hms-ml-demo\MLKit-Sample\module-body\src\main\java\com\huawei\mlkit\sample\activity\adapter\skeleton\GridViewAdapterSketlon.java,com.huawei.mlkit.sample.activity.adapter.skeleton.GridViewAdapterSketlon,getItemId/1[int],false,59,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
