file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-persistence\src\main\java\io\hops\hopsworks\persistence\entity\serving\ServingTool.java,io.hops.hopsworks.persistence.entity.serving.ServingTool,enum,3,5,2,3,3,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,2,0,0,0,0,2,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\jobs\scheduler\JobScheduleV2Controller.java,io.hops.hopsworks.common.jobs.scheduler.JobScheduleV2Controller,class,14,18,4,14,27,1,0,47,25,0.75757575,0.0,0.0,11,0,8,3,0,0,8,0,0,0,3,0,0,3,0,0,0,0,4,95,8,1,8,0,0,4,2,13,2,11,2,0,0,2,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\dao\featurestore\metadata\TagSchemasFacade.java,io.hops.hopsworks.common.dao.featurestore.metadata.TagSchemasFacade$Filters,enum,0,0,0,0,6,1,0,0,3,0.62500006,0.0,0.0,6,0,5,0,0,1,6,0,0,0,4,0,0,4,0,0,4,0,0,26,5,0,0,0,0,12,0,4,0,4,0,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\test\io\hops\hopsworks\common\featurestore\utils\TestFeaturestoreUtils.java,io.hops.hopsworks.common.featurestore.utils.TestFeaturestoreUtils,class,4,4,0,4,2,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,3,0,3,0,2,0,0,0,0,10,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-api\src\main\java\io\hops\hopsworks\api\admin\conf\ConfigurationBuilder.java,io.hops.hopsworks.api.admin.conf.ConfigurationBuilder,class,9,11,2,9,5,1,0,23,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,20,3,0,1,0,0,0,0,2,0,4,1,0,0,1,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\provenance\ops\ProvLinks.java,io.hops.hopsworks.common.provenance.ops.ProvLinks$FieldsPF,enum,3,3,0,3,5,1,0,4,2,0.5,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,0,0,0,2,0,0,0,19,4,0,0,0,0,0,0,2,0,2,0,0,0,0,32,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\dao\project\jobconfig\DefaultJobConfigurationFacade.java,io.hops.hopsworks.common.dao.project.jobconfig.DefaultJobConfigurationFacade,class,17,19,2,17,19,2,0,29,16,0.44444445,0.0,0.0,9,0,5,3,1,0,6,0,0,0,1,0,0,1,0,0,0,0,1,128,7,2,2,0,1,8,0,10,0,11,3,0,2,2,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\provenance\app\ProvAppHelper.java,io.hops.hopsworks.common.provenance.app.ProvAppHelper,class,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,1,0,1,1,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\util\PayaraClusterManager.java,io.hops.hopsworks.common.util.PayaraClusterManager,class,11,15,4,11,24,1,0,35,4,0.725,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,3,0,5,0,0,3,0,9,61,11,1,7,1,0,7,3,12,0,12,2,0,0,0,49,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-api\src\main\java\io\hops\hopsworks\api\airflow\AirflowProxyServlet.java,io.hops.hopsworks.api.airflow.AirflowProxyServlet,class,16,17,1,16,33,2,0,53,10,0.9555556,0.0,0.0,5,0,0,0,5,0,5,0,0,0,9,3,0,9,0,0,3,0,5,119,5,2,11,1,1,25,12,31,6,24,4,0,0,0,176,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\featurestore\featuregroup\stream\DeltaStreamerJobConf.java,io.hops.hopsworks.common.featurestore.featuregroup.stream.DeltaStreamerJobConf,class,2,4,2,2,5,1,0,0,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\dao\git\GitOpExecutionFacade.java,io.hops.hopsworks.common.dao.git.GitOpExecutionFacade,class,13,14,1,13,10,2,0,22,0,0.5714286,0.0,0.0,7,0,6,0,1,0,7,0,0,0,2,1,0,2,0,0,1,0,7,58,8,0,0,2,0,11,0,7,0,7,1,0,0,0,62,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-persistence\src\main\java\io\hops\hopsworks\persistence\entity\jobs\configuration\history\JobFinalStatus.java,io.hops.hopsworks.persistence.entity.jobs.configuration.history.JobFinalStatus,enum,2,6,4,2,7,1,0,0,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,0,0,0,5,0,1,0,1,1,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\util\templates\jupyter\JupyterNotebookConfigTemplate.java,io.hops.hopsworks.common.util.templates.jupyter.JupyterNotebookConfigTemplate,class,3,4,1,3,21,2,0,23,170,0.9134201,0.0,0.0,21,0,21,0,0,0,21,0,0,0,22,2,2,20,0,0,22,0,0,107,20,0,0,0,0,2,0,22,0,22,0,0,0,0,76,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\provenance\ops\ProvOps.java,io.hops.hopsworks.common.provenance.ops.ProvOps$Field,interface,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-common\src\main\java\io\hops\hopsworks\common\dataset\FilePreviewMode.java,io.hops.hopsworks.common.dataset.FilePreviewMode,enum,1,3,2,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\hopsworks\hopsworks-api-auth\src\main\java\io\hops\hopsworks\api\auth\key\ApiKeyFilter.java,io.hops.hopsworks.api.auth.key.ApiKeyFilter,class,14,17,3,14,31,1,2,55,91,0.9285714,0.0,0.0,14,0,1,6,7,0,8,7,0,0,2,2,1,1,0,0,2,0,5,105,9,0,8,1,0,8,0,24,0,24,2,0,0,0,75,1025,0
