file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\technology\kubernetes\school-timetabling\src\test\java\org\acme\schooltimetabling\messaging\ActiveMQEmbeddedBrokerLifecycleManager.java,org.acme.schooltimetabling.messaging.ActiveMQEmbeddedBrokerLifecycleManager,class,3,4,1,3,5,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,32,1,0,1,2,0,2,1,1,0,1,2,1,0,1,22,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,class,11,11,0,11,13,1,0,7,0,0.81656796,0.0,0.0,13,0,0,0,0,13,13,0,0,0,26,25,0,25,0,1,25,0,43,110,0,0,0,0,2,146,314,27,12,28,0,0,0,0,70,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\school-timetabling\src\main\java\org\acme\schooltimetabling\rest\TimeslotResource.java,org.acme.schooltimetabling.rest.TimeslotResource,interface,2,2,0,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\main\java\org\acme\vaccinationscheduler\domain\Location.java,org.acme.vaccinationscheduler.domain.Location,class,1,10,9,1,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,1,13,1,0,0,0,0,1,0,2,0,2,0,0,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,class,5,9,4,5,16,1,0,13,39,0.8282829,0.0,0.0,11,1,10,1,0,0,10,0,0,0,9,1,0,9,0,0,1,0,4,72,10,0,0,0,1,11,5,15,9,17,1,0,0,3,58,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\maintenance-scheduling\src\main\java\org\acme\maintenancescheduling\persistence\CrewRepository.java,org.acme.maintenancescheduling.persistence.CrewRepository,class,2,4,2,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,class,16,17,1,16,14,1,0,34,43,0.6363636,0.0,0.0,11,7,0,7,0,4,4,0,0,0,1,0,0,0,0,1,0,0,61,99,6,3,1,0,0,5,60,41,2,40,1,0,0,0,73,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,class,5,14,9,5,12,1,0,0,28,0.72222227,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,48,7,0,0,0,0,2,0,8,1,6,0,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\call-center\src\main\java\org\acme\callcenter\rest\SimulationResource.java,org.acme.callcenter.rest.SimulationResource,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\build\quickstarts-showcase\src\main\java\org\optaplanner\quickstarts\all\rest\ExitResource.java,org.optaplanner.quickstarts.all.rest.ExitResource,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\build\quickstarts-showcase\src\test\java\org\optaplanner\quickstarts\all\rest\QuickstartLauncherResourceTest.java,org.optaplanner.quickstarts.all.rest.QuickstartLauncherResourceTest,class,3,3,0,3,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,1,0,1,0,0,0,0,11,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\main\java\org\acme\orderpicking\domain\Shelving.java,org.acme.orderpicking.domain.Shelving,class,2,6,4,2,5,1,0,2,4,0.70000005,0.0,0.0,5,1,4,0,0,1,5,0,0,0,4,1,1,3,0,0,1,0,0,24,4,0,0,0,0,3,1,4,1,4,0,0,1,0,61,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\school-timetabling\src\main\java\org\acme\schooltimetabling\domain\TimeTable.java,TimeTable,class,8,10,2,8,8,1,0,0,20,0.775,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,0,32,5,0,0,0,0,0,0,4,0,5,0,0,0,0,18,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\call-center\src\main\java\org\acme\callcenter\domain\Agent.java,org.acme.callcenter.domain.Agent,class,4,11,7,4,9,2,0,5,10,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,4,37,4,1,1,0,0,1,0,7,0,4,1,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\call-center\src\main\java\org\acme\callcenter\service\SolverService.java,org.acme.callcenter.service.SolverService,class,13,18,5,13,14,1,0,23,6,0.5185185,0.0,0.0,9,0,7,2,0,0,7,0,0,0,3,1,1,2,0,0,3,0,0,64,6,1,2,0,0,0,1,5,0,11,2,0,1,6,53,1,0
