file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\technology\kubernetes\school-timetabling\src\test\java\org\acme\schooltimetabling\messaging\ActiveMQEmbeddedBrokerLifecycleManager.java,org.acme.schooltimetabling.messaging.ActiveMQEmbeddedBrokerLifecycleManager,stop/0,false,42,0,0,0,0,3,1,10,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,12,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\technology\kubernetes\school-timetabling\src\test\java\org\acme\schooltimetabling\messaging\ActiveMQEmbeddedBrokerLifecycleManager.java,org.acme.schooltimetabling.messaging.ActiveMQEmbeddedBrokerLifecycleManager,start/0,false,21,1,0,0,0,2,8,19,1,0,0,8,0,0,0,0,1,0,1,1,0,0,1,1,0,1,22,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,regretDistance/0,false,294,3,3,0,3,1,4,12,0,0,0,4,0,0,0,0,0,2,22,77,0,6,0,0,0,0,10,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,scheduleHigherPriorityRatingPeople/0,false,232,2,1,0,1,1,4,5,0,0,0,4,0,0,0,0,0,0,18,41,0,2,0,0,0,0,7,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,preferredVaccinationCenter/0,false,276,2,2,0,2,1,3,5,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,preferredVaccineType/0,false,258,2,2,0,2,1,3,5,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,vaccinationSlotCapacity/0,false,64,5,4,0,4,1,3,5,0,2,0,3,0,0,0,0,0,0,14,10,2,0,0,0,0,0,8,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,idealDate/0,false,374,2,2,0,2,1,3,8,0,0,0,3,0,0,0,0,0,0,12,19,0,2,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,scheduleSecondOrLaterDosePeople/0,false,218,2,2,0,2,1,3,4,0,0,0,3,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,requiredVaccinationCenter/0,false,98,2,2,0,2,1,3,5,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,minimumAgeVaccineType/0,false,116,2,2,0,2,1,4,6,0,0,0,4,0,0,0,0,0,0,8,22,0,1,0,0,0,0,6,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,maximumAgeVaccineType/0,false,136,2,2,0,2,1,4,6,0,0,0,4,0,0,0,0,0,0,8,22,0,1,0,0,0,0,6,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,requiredVaccineType/0,false,80,2,2,0,2,1,3,5,0,0,0,3,0,0,0,0,0,0,6,8,0,0,0,0,0,0,5,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,readyDate/0,false,156,2,2,0,2,1,3,8,0,0,0,3,0,0,0,0,0,0,12,17,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\test\java\org\acme\vaccinationscheduler\solver\VaccinationScheduleConstraintProviderTest.java,org.acme.vaccinationscheduler.solver.VaccinationScheduleConstraintProviderTest,dueDate/0,false,185,2,2,0,2,1,3,8,0,0,0,3,0,0,0,0,0,0,12,17,0,0,0,0,0,0,4,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\main\java\org\acme\vaccinationscheduler\domain\Location.java,org.acme.vaccinationscheduler.domain.Location,Location/0,true,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\main\java\org\acme\vaccinationscheduler\domain\Location.java,org.acme.vaccinationscheduler.domain.Location,toString/0,false,20,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\vaccination-scheduling\src\main\java\org\acme\vaccinationscheduler\domain\Location.java,org.acme.vaccinationscheduler.domain.Location,"Location/2[double,double]",true,14,0,6,6,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setConsumerCount/1[int],false,51,1,5,5,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setSetupCostStandardDeviation/1[long],false,61,1,4,4,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setCapacity/1[long],false,36,1,5,5,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,build/0,false,76,4,8,4,4,6,13,24,1,8,0,13,0,0,0,0,0,1,11,5,6,9,1,0,0,3,38,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setAverageSetupCost/1[long],false,56,1,4,4,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setSouthWestCorner/1[org.acme.facilitylocation.domain.Location],false,66,2,4,4,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,DemoDataBuilder/0,true,29,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setDemand/1[long],false,41,1,6,6,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,builder/0,false,32,1,5,4,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setFacilityCount/1[int],false,46,1,5,5,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\facility-location\src\main\java\org\acme\facilitylocation\bootstrap\DemoDataBuilder.java,org.acme.facilitylocation.bootstrap.DemoDataBuilder,setNorthEastCorner/1[org.acme.facilitylocation.domain.Location],false,71,2,4,4,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,requiredNumberOfBucketsWithPenalization/0,false,40,5,5,0,5,1,9,17,0,14,0,9,4,2,0,0,0,0,2,25,14,0,0,0,0,0,20,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,mockTrolleyStep/1[org.acme.orderpicking.domain.OrderItem],false,202,2,3,2,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,"linkPathElements/2[org.acme.orderpicking.domain.Trolley,org.acme.orderpicking.domain.TrolleyStep[]]",false,232,3,4,1,3,2,3,9,0,1,2,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,9,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,"mockTrolley/3[int,int,org.acme.orderpicking.domain.TrolleyStep[]]",false,214,3,7,3,4,1,3,7,1,1,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,minimizeDistanceFromLastTrolleyStepToPathOrigin/0,false,123,6,6,0,6,1,7,9,0,5,0,7,2,2,0,0,0,0,0,5,5,0,0,0,0,0,21,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,mockTrolleyStep/1[org.acme.orderpicking.domain.WarehouseLocation],false,206,4,7,2,5,1,2,7,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,minimizeOrderSplitByTrolley/0,false,144,4,6,0,6,1,13,10,0,7,0,13,5,2,0,0,0,0,2,26,7,1,0,0,0,0,14,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,"mockOrder/2[java.lang.String,org.acme.orderpicking.domain.OrderItem[]]",false,182,2,8,2,6,2,6,11,1,3,2,6,0,0,1,0,0,0,1,1,3,1,1,0,0,0,8,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,minimizeDistanceFromPreviousTrolleyStep/0,false,111,6,6,0,6,1,8,7,0,2,0,8,1,1,0,0,0,0,0,3,2,0,0,0,0,0,14,0,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,trolleySteps/1[org.acme.orderpicking.domain.Trolley],false,222,3,2,1,1,2,2,9,1,2,1,2,0,0,1,1,0,0,0,0,3,0,1,0,0,0,8,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\use-cases\order-picking\src\test\java\org\acme\orderpicking\solver\OrderPickingConstraintProviderTest.java,org.acme.orderpicking.solver.OrderPickingConstraintProviderTest,mockOrderItem/1[int],false,194,2,6,2,4,1,2,7,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,10,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,getSubject/0,false,52,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,getTeacher/0,false,56,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,setRoom/1[org.acme.schooltimetabling.domain.Room],false,76,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,"Lesson/6[long,java.lang.String,java.lang.String,java.lang.String,org.acme.schooltimetabling.domain.Timeslot,org.acme.schooltimetabling.domain.Room]",true,33,2,6,6,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,getTimeslot/0,false,64,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,"Lesson/4[long,java.lang.String,java.lang.String,java.lang.String]",true,26,0,4,4,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,setTimeslot/1[org.acme.schooltimetabling.domain.Timeslot],false,68,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner-quickstarts\hello-world\src\main\java\org\acme\schooltimetabling\domain\Lesson.java,org.acme.schooltimetabling.domain.Lesson,getRoom/0,false,72,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
