file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-quarkus-integration\optaplanner-quarkus\devui-integration-test\src\main\java\org\optaplanner\quarkus\it\devui\solver\TestdataStringLengthConstraintProvider.java,org.optaplanner.quarkus.it.devui.solver.TestdataStringLengthConstraintProvider,class,4,4,0,4,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,2,0,0,0,2,0,0,0,1,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\main\java\org\optaplanner\core\impl\domain\variable\nextprev\NextElementVariableListener.java,org.optaplanner.core.impl.domain.variable.nextprev.NextElementVariableListener,class,6,7,1,6,15,1,0,7,8,0.4375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,0,2,0,2,0,0,57,0,3,2,0,0,0,8,18,5,17,2,0,0,0,29,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-constraint-streams-common\src\test\java\org\optaplanner\constraint\streams\common\inliner\AbstractScoreInlinerTest.java,org.optaplanner.constraint.streams.common.inliner.AbstractScoreInlinerTest$TestConstraint,innerclass,6,6,0,6,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,25,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\main\java\org\optaplanner\core\impl\domain\variable\listener\SourcedVariableListener.java,org.optaplanner.core.impl.domain.variable.listener.SourcedVariableListener,interface,4,8,4,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\tennis\optional\benchmark\TennisBenchmarkApp.java,org.optaplanner.examples.tennis.optional.benchmark.TennisBenchmarkApp,class,6,7,1,6,3,2,0,5,0,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,14,0,0,0,0,0,1,0,3,0,3,0,0,0,0,16,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-constraint-streams-bavet\src\main\java\org\optaplanner\constraint\streams\bavet\uni\Group3Mapping0CollectorUniNode.java,org.optaplanner.constraint.streams.bavet.uni.Group3Mapping0CollectorUniNode,class,11,12,1,11,4,4,0,9,4,0.5,0.0,0.0,4,1,1,0,2,1,4,0,0,0,1,0,0,1,0,0,1,0,0,20,2,0,0,0,0,1,0,5,0,6,0,0,0,1,36,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\test\java\org\optaplanner\core\impl\testdata\domain\shadow\inverserelation\TestdataInverseRelationEntity.java,org.optaplanner.core.impl.testdata.domain.shadow.inverserelation.TestdataInverseRelationEntity,class,8,11,3,8,8,1,0,6,9,0.42857143,0.0,0.0,7,2,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,27,3,0,1,0,0,2,0,2,0,1,1,0,0,0,19,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\test\java\org\optaplanner\core\impl\testdata\domain\TestdataSolution.java,org.optaplanner.core.impl.testdata.domain.TestdataSolution,class,11,33,22,11,13,1,1,7,37,0.72727275,0.0,0.0,11,3,11,0,0,0,11,0,0,0,3,0,0,3,0,0,0,0,1,51,6,2,0,0,0,4,4,11,3,11,1,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\travelingtournament\persistence\TravelingTournamentExporter.java,org.optaplanner.examples.travelingtournament.persistence.TravelingTournamentExporter,class,7,9,2,7,3,3,0,2,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,54,2,0,0,0,0,1,0,2,0,2,0,0,1,0,25,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-constraint-streams-bavet\src\main\java\org\optaplanner\constraint\streams\bavet\bi\BavetTriGroupBridgeBiConstraintStream.java,org.optaplanner.constraint.streams.bavet.bi.BavetTriGroupBridgeBiConstraintStream,class,17,18,1,17,6,4,0,7,1,0.5555556,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,2,0,0,27,2,0,0,0,0,0,0,4,0,4,0,0,0,0,28,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-quarkus-integration\optaplanner-quarkus-benchmark\integration-test\src\test\java\org\optaplanner\quarkus\benchmark\it\OptaPlannerBenchmarkTestResourceIT.java,org.optaplanner.quarkus.benchmark.it.OptaPlannerBenchmarkTestResourceIT,class,3,3,0,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\main\java\org\optaplanner\core\impl\heuristic\selector\value\ValueSelectorFactory.java,org.optaplanner.core.impl.heuristic.selector.value.ValueSelectorFactory$ListValueFilteringType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-benchmark\src\main\java\org\optaplanner\benchmark\impl\SolverBenchmarkFactory.java,org.optaplanner.benchmark.impl.SolverBenchmarkFactory,class,13,16,3,13,19,1,0,44,0,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,1,0,0,1,0,2,59,1,3,7,0,1,20,2,8,5,8,2,0,0,0,71,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\travelingtournament\persistence\TravelingTournamentExporter.java,org.optaplanner.examples.travelingtournament.persistence.TravelingTournamentExporter$TravelingTournamentOutputBuilder,innerclass,3,3,0,3,13,2,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,41,0,6,1,0,4,13,4,9,7,4,5,0,0,0,24,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-benchmark\src\main\java\org\optaplanner\benchmark\config\ranking\SolverRankingType.java,org.optaplanner.benchmark.config.ranking.SolverRankingType,enum,1,2,1,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-constraint-streams-bavet\src\main\java\org\optaplanner\constraint\streams\bavet\uni\FlattenLastUniNode.java,org.optaplanner.constraint.streams.bavet.uni.FlattenLastUniNode,class,6,8,2,6,4,3,0,2,4,0.5,0.0,0.0,4,0,0,0,3,1,4,0,0,0,1,0,0,1,0,0,1,0,0,16,3,0,0,0,0,0,0,1,0,1,0,0,0,0,19,16,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\test\java\org\optaplanner\examples\common\experimental\impl\IntervalTreeTest.java,org.optaplanner.examples.common.experimental.impl.IntervalTreeTest$TestInterval,innerclass,1,1,0,1,13,1,0,2,0,0.25,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,1,32,7,0,5,0,0,3,0,5,1,3,1,0,0,0,20,10,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\common\persistence\AbstractSolutionExporter.java,org.optaplanner.examples.common.persistence.AbstractSolutionExporter$OutputBuilder,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1033,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\main\java\org\optaplanner\core\impl\score\constraint\DefaultIndictment.java,org.optaplanner.core.impl.score.constraint.DefaultIndictment,class,7,8,1,7,15,1,0,12,0,0.57500005,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,2,0,1,59,9,0,2,0,0,9,0,11,3,8,1,0,0,1,39,17,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\test\java\org\optaplanner\examples\curriculumcourse\app\CurriculumCourseConstructionHeuristicTest.java,org.optaplanner.examples.curriculumcourse.app.CurriculumCourseConstructionHeuristicTest,class,5,5,0,5,4,4,0,1,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,1,0,0,1,0,0,0,1,0,0,0,1,14,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\test\java\org\optaplanner\core\impl\heuristic\selector\entity\decorator\CachingEntitySelectorTest.java,org.optaplanner.core.impl.heuristic.selector.entity.decorator.CachingEntitySelectorTest,class,11,12,1,11,8,1,0,30,28,0.0,0.0,0.0,8,0,1,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,5,82,0,0,0,0,0,18,9,20,0,18,0,0,0,1,56,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\vehiclerouting\swingui\VehicleRoutingWorldPanel.java,org.optaplanner.examples.vehiclerouting.swingui.VehicleRoutingWorldPanel$Anonymous2,anonymous,3,3,0,3,4,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,3,0,3,2,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\main\java\org\optaplanner\examples\vehiclerouting\swingui\VehicleRoutingWorldPanel.java,org.optaplanner.examples.vehiclerouting.swingui.VehicleRoutingWorldPanel$Anonymous1,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,1,1,0,0,0,12,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-examples\src\test\java\org\optaplanner\examples\vehiclerouting\persistence\VehicleRoutingImportDataFilesTest.java,org.optaplanner.examples.vehiclerouting.persistence.VehicleRoutingImportDataFilesTest,class,4,4,0,4,2,2,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\optaplanner-benchmark\src\main\java\org\optaplanner\benchmark\impl\ranking\TotalScoreSolverRankingComparator.java,org.optaplanner.benchmark.impl.ranking.TotalScoreSolverRankingComparator,class,4,9,5,4,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,64,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-constraint-streams-common\src\main\java\org\optaplanner\constraint\streams\common\uni\InnerUniConstraintStream.java,org.optaplanner.constraint.streams.common.uni.InnerUniConstraintStream,interface,14,22,8,14,40,1,0,27,703,0.0,0.0,0.0,38,2,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,1,114,34,0,1,0,0,0,0,0,0,2,1,0,0,1,63,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\incubator-kie-optaplanner\core\optaplanner-core-impl\src\main\java\org\optaplanner\core\impl\score\buildin\BendableScoreDefinition.java,org.optaplanner.core.impl.score.buildin.BendableScoreDefinition,class,7,8,1,7,28,3,0,22,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,13,89,11,8,8,0,4,20,14,31,9,23,1,0,0,0,56,1,0
