file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ColumnsAsListView,innerclass,2,2,0,2,4,3,0,1,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,class,4,4,0,4,5,1,0,12,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,0,94,12,6,12,0,0,0,0,24,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\Decompose.java,org.jblas.Decompose$LUDecomposition,innerclass,1,1,0,1,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,1,13,1,0,0,0,0,1,0,3,0,3,0,0,0,0,26,9,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\ranges\IndicesRange.java,org.jblas.ranges.IndicesRange,class,3,6,3,3,9,1,0,1,0,0.4375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,28,4,0,0,0,0,0,1,2,0,2,0,0,0,0,36,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\DoubleMatrix.java,org.jblas.DoubleMatrix$ColumnsAsListView,innerclass,2,2,0,2,4,3,0,1,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\exceptions\LapackException.java,org.jblas.exceptions.LapackException,class,0,6,6,0,2,4,4,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,2,0,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\util\LibraryLoader.java,org.jblas.util.LibraryLoader$Anonymous2,anonymous,1,1,0,1,9,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,29,0,2,2,1,1,6,3,2,2,2,5,0,0,0,22,-1,4
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\util\LibraryLoader.java,org.jblas.util.LibraryLoader$Anonymous1,anonymous,1,1,0,1,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,1,0,0,0,4,0,0,2,0,2,0,0,0,7,-1,2
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\ranges\RangeUtils.java,org.jblas.ranges.RangeUtils,class,7,10,3,7,6,1,0,1,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\Eigen.java,org.jblas.Eigen,class,11,13,2,11,44,1,0,32,172,0.82500005,0.0,0.0,20,20,20,0,0,0,20,0,0,0,2,2,0,2,0,0,2,0,24,292,20,2,4,0,0,20,148,94,20,80,2,0,0,0,127,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\DoubleMatrix.java,org.jblas.DoubleMatrix$Anonymous1,anonymous,0,0,0,0,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,0,3,2,0,2,1,0,0,0,7,-1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\NativeBlasLibraryLoader.java,org.jblas.NativeBlasLibraryLoader,class,5,7,2,5,13,1,0,12,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,43,0,0,0,2,0,30,12,6,2,6,2,0,0,0,85,0,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\exceptions\LapackPositivityException.java,org.jblas.exceptions.LapackPositivityException,class,1,2,1,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\AbstractTestJblas.java,org.jblas.AbstractTestJblas,class,2,4,2,2,2,1,2,2,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,3,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,41,1025,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\exceptions\LapackConvergenceException.java,org.jblas.exceptions.LapackConvergenceException,class,1,3,2,1,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\ranges\IntervalRange.java,org.jblas.ranges.IntervalRange,class,2,7,5,2,11,1,0,4,0,0.33333334,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,1,33,5,0,0,0,0,6,1,3,4,3,1,0,0,0,34,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSingular.java,org.jblas.TestSingular,class,4,4,0,4,6,1,0,19,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,50,0,4,0,0,0,0,52,22,0,14,2,0,0,0,21,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\DoubleMatrix.java,org.jblas.DoubleMatrix$RowsAsListView,innerclass,2,2,0,2,4,3,0,1,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\util\SanityChecks.java,org.jblas.util.SanityChecks,class,9,11,2,9,15,1,0,27,43,0.8,0.0,0.0,10,10,9,1,0,0,9,0,0,0,1,1,1,0,0,0,0,0,20,89,1,1,1,1,1,17,113,18,2,19,2,0,0,0,107,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestGeometry.java,org.jblas.TestGeometry,class,4,4,0,4,2,1,0,8,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,5,21,0,0,0,0,0,0,95,9,0,7,0,0,0,0,17,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\config\PrintProperty.java,PrintProperty,class,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\JblasAssert.java,org.jblas.JblasAssert,class,1,2,1,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\DoubleMatrix.java,org.jblas.DoubleMatrix,class,17,46,29,17,628,7,0,184,24337,0.8724668,0.0,0.0,318,19,315,3,0,0,315,0,0,0,9,5,5,3,0,1,5,0,66,1991,324,166,81,3,24,50,390,340,101,286,4,1,3,0,708,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ElementsAsListView,innerclass,2,2,0,2,4,3,0,1,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\util\Functions.java,org.jblas.util.Functions,class,0,3,3,0,7,1,0,2,4,0.5,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,2,16,5,0,1,0,1,0,3,1,4,1,1,0,0,0,11,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\Geometry.java,org.jblas.Geometry,class,3,7,4,3,24,1,0,34,91,0.0,0.0,0.0,14,14,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,74,14,8,2,0,0,2,10,22,0,22,1,0,0,0,76,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\ranges\AllRange.java,org.jblas.ranges.AllRange,class,2,4,2,2,9,1,0,4,0,0.53125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,1,33,5,0,0,0,0,1,1,4,1,4,0,0,0,0,37,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\ComplexDoubleMatrix.java,org.jblas.ComplexDoubleMatrix,class,10,20,10,10,435,1,0,149,23835,0.7518248,0.0,0.0,274,9,270,4,0,0,270,0,0,0,4,0,4,0,0,0,0,0,45,1136,258,79,40,2,10,35,278,187,55,158,3,0,0,0,354,1,0
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\exceptions\LapackArgumentException.java,org.jblas.exceptions.LapackArgumentException,class,1,3,2,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,36,1,0
