file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ColumnsAsListView,size/0,false,1607,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ColumnsAsListView,ColumnsAsListView/1[org.jblas.FloatMatrix],true,1597,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ColumnsAsListView,convertToFloatMatrix/0,false,1611,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\FloatMatrix.java,org.jblas.FloatMatrix$ColumnsAsListView,get/1[int],false,1602,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,testLeastSquaresDouble/0,false,51,3,4,0,4,1,4,5,0,2,0,4,0,0,0,0,0,0,0,26,2,3,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,testLeastSquaresFloat/0,false,59,3,4,0,4,1,4,5,0,2,0,4,0,0,0,0,0,0,0,26,2,3,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,testPinvDouble/0,false,75,3,6,0,6,1,6,10,0,4,0,6,0,0,0,0,0,0,0,16,4,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,testLeastSquaresWideMatrixDouble/0,false,67,3,5,0,5,1,5,5,0,2,0,5,0,0,0,0,0,0,0,14,2,0,0,0,0,0,10,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\test\java\org\jblas\TestSolve.java,org.jblas.TestSolve,testPinvFloat/0,false,90,3,5,0,5,1,5,6,0,2,0,5,0,0,0,0,0,0,0,12,2,0,0,0,0,0,9,1,0,false
C:\Users\h8men\OneDrive\Documentos\Cefet\TCC\jblas\src\main\java\org\jblas\Decompose.java,org.jblas.Decompose$LUDecomposition,"LUDecomposition/3[T,T,T]",true,29,1,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
